RDA element,RDA recording method,Alignment,M21 Authority encoding
date of expression,structured description,aligns with,"046 ** $k, l, o, p, u "
date of expression,structured description,aligns with,388 ** $a 
date of expression,identifier,aligns with,388 ** $0 
date of expression,IRI,aligns with,388 ** $1 
date of publication,structured description,aligns with,005  (recording a timespan when metadata is published) (data provenance)
date of representative expression,structured description,aligns with,387 ** $e 
date of representative expression,identifier,aligns with,387 ** $0 
date of representative expression,IRI,aligns with,387 ** $1 
date of termination,structured description,aligns with,046 ** $r 
date of termination,structured description,aligns with,110 ** $a 
date of termination,structured description,aligns with,111 ** $a 
date of termination,structured description,aligns with,410 ** $a 
date of termination,structured description,aligns with,411 ** $a 
date of termination,structured description,aligns with,710 ** $a 
date of termination,structured description,aligns with,711 ** $a 
date of termination,identifier,aligns with,710 ** $0 
date of termination,identifier,aligns with,711 ** $0 
date of termination,IRI,aligns with,710 ** $1 
date of termination,IRI,aligns with,711 ** $1 
date of usage,unstructured description,aligns with,667 ** $a 
date of work,structured description,aligns with,046 ** $k 
date of work,structured description,aligns with,100 ** $f 
date of work,structured description,aligns with,110 ** $f 
date of work,structured description,aligns with,111 ** $f 
date of work,structured description,aligns with,130 ** $f 
date of work,structured description,aligns with,400 ** $f 
date of work,structured description,aligns with,410 ** $f 
date of work,structured description,aligns with,411 ** $f 
date of work,structured description,aligns with,430 ** $f 
date of work,structured description,aligns with,700 ** $f 
date of work,structured description,aligns with,710 ** $f 
date of work,structured description,aligns with,711 ** $f 
date of work,structured description,aligns with,730 ** $f 
date of work,identifier,aligns with,700 ** $0 
date of work,identifier,aligns with,710 ** $0 
date of work,identifier,aligns with,711 ** $0 
date of work,identifier,aligns with,730 ** $0 
date of work,IRI,aligns with,700 ** $1 
date of work,IRI,aligns with,710 ** $1 
date of work,IRI,aligns with,711 ** $1 
date of work,IRI,aligns with,730 ** $1 
declination,structured description,aligns with,"034 ** $j, k "
dedicatee agent of work,structured description,aligns with,"500 ** $a, b, c, d, g, q "
dedicatee agent of work,structured description,aligns with,"510 ** $a, b, c, d, g "
dedicatee agent of work,identifier,aligns with,500 ** $0 
dedicatee agent of work,identifier,aligns with,510 ** $0 
dedicatee agent of work,IRI,aligns with,500 ** $1 
dedicatee agent of work,IRI,aligns with,510 ** $1 
dedicatee agent of work of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
dedicatee agent of work of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
dedicatee agent of work of,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
dedicatee agent of work of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
dedicatee agent of work of,structured description,aligns with,"672 ** $a, b, f "
dedicatee agent of work of,identifier,aligns with,500 ** $0 
dedicatee agent of work of,identifier,aligns with,510 ** $0 
dedicatee agent of work of,identifier,aligns with,511 ** $0 
dedicatee agent of work of,identifier,aligns with,530 ** $0 
dedicatee agent of work of,identifier,aligns with,"672 ** $w, 0 "
dedicatee agent of work of,IRI,aligns with,500 ** $1 
dedicatee agent of work of,IRI,aligns with,510 ** $1 
dedicatee agent of work of,IRI,aligns with,511 ** $1 
dedicatee agent of work of,IRI,aligns with,530 ** $1 
dedicatee agent of work of,IRI,aligns with,672 ** $1 
dedicatee collective agent of work,structured description,aligns with,"500 3* $a, c, d, g "
dedicatee collective agent of work,structured description,aligns with,"510 ** $a, b, c, d, g "
dedicatee collective agent of work,identifier,aligns with,500 3* $0 
dedicatee collective agent of work,identifier,aligns with,510 ** $0 
dedicatee collective agent of work,IRI,aligns with,500 3* $1 
dedicatee collective agent of work,IRI,aligns with,510 ** $1 
dedicatee collective agent of work of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
dedicatee collective agent of work of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
dedicatee collective agent of work of,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
dedicatee collective agent of work of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
dedicatee collective agent of work of,structured description,aligns with,"672 ** $a, b, f "
dedicatee collective agent of work of,identifier,aligns with,500 ** $0 
dedicatee collective agent of work of,identifier,aligns with,510 ** $0 
dedicatee collective agent of work of,identifier,aligns with,511 ** $0 
dedicatee collective agent of work of,identifier,aligns with,530 ** $0 
dedicatee collective agent of work of,identifier,aligns with,"672 ** $w, 0 "
dedicatee collective agent of work of,IRI,aligns with,500 ** $1 
dedicatee collective agent of work of,IRI,aligns with,510 ** $1 
dedicatee collective agent of work of,IRI,aligns with,511 ** $1 
dedicatee collective agent of work of,IRI,aligns with,530 ** $1 
dedicatee collective agent of work of,IRI,aligns with,672 ** $1 
dedicatee corporate body of work,structured description,aligns with,"510 ** $a, b, c, d, g "
dedicatee corporate body of work,identifier,aligns with,510 ** $0 
dedicatee corporate body of work,IRI,aligns with,510 ** $1 
dedicatee corporate body of work of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
dedicatee corporate body of work of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
dedicatee corporate body of work of,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
dedicatee corporate body of work of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
dedicatee corporate body of work of,structured description,aligns with,"672 ** $a, b, f "
dedicatee corporate body of work of,identifier,aligns with,500 ** $0 
dedicatee corporate body of work of,identifier,aligns with,510 ** $0 
dedicatee corporate body of work of,identifier,aligns with,511 ** $0 
dedicatee corporate body of work of,identifier,aligns with,530 ** $0 
dedicatee corporate body of work of,identifier,aligns with,"672 ** $w, 0 "
dedicatee corporate body of work of,IRI,aligns with,500 ** $1 
dedicatee corporate body of work of,IRI,aligns with,510 ** $1 
dedicatee corporate body of work of,IRI,aligns with,511 ** $1 
dedicatee corporate body of work of,IRI,aligns with,530 ** $1 
dedicatee corporate body of work of,IRI,aligns with,672 ** $1 
dedicatee family of work,structured description,aligns with,"500 3* $a, c, d, g "
dedicatee family of work,identifier,aligns with,500 3* $0 
dedicatee family of work,IRI,aligns with,500 3* $1 
dedicatee family of work of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
dedicatee family of work of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
dedicatee family of work of,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
dedicatee family of work of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
dedicatee family of work of,structured description,aligns with,"672 ** $a, b, f "
dedicatee family of work of,identifier,aligns with,500 ** $0 
dedicatee family of work of,identifier,aligns with,510 ** $0 
dedicatee family of work of,identifier,aligns with,511 ** $0 
dedicatee family of work of,identifier,aligns with,530 ** $0 
dedicatee family of work of,identifier,aligns with,"672 ** $w, 0 "
dedicatee family of work of,IRI,aligns with,500 ** $1 
dedicatee family of work of,IRI,aligns with,510 ** $1 
dedicatee family of work of,IRI,aligns with,511 ** $1 
dedicatee family of work of,IRI,aligns with,530 ** $1 
dedicatee family of work of,IRI,aligns with,672 ** $1 
dedicatee person of work,structured description,aligns with,"500 0* $a, b, c, d, g, q "
dedicatee person of work,structured description,aligns with,"500 1* $a, b, c, d, g, q "
dedicatee person of work,identifier,aligns with,500 0* $0 
dedicatee person of work,identifier,aligns with,500 1* $0 
dedicatee person of work,IRI,aligns with,500 0* $1 
dedicatee person of work,IRI,aligns with,500 1* $1 
dedicatee person of work of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
dedicatee person of work of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
dedicatee person of work of,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
dedicatee person of work of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
dedicatee person of work of,structured description,aligns with,"672 ** $a, b, f "
dedicatee person of work of,identifier,aligns with,500 ** $0 
dedicatee person of work of,identifier,aligns with,510 ** $0 
dedicatee person of work of,identifier,aligns with,511 ** $0 
dedicatee person of work of,identifier,aligns with,530 ** $0 
dedicatee person of work of,identifier,aligns with,"672 ** $w, 0 "
dedicatee person of work of,IRI,aligns with,500 ** $1 
dedicatee person of work of,IRI,aligns with,510 ** $1 
dedicatee person of work of,IRI,aligns with,511 ** $1 
dedicatee person of work of,IRI,aligns with,530 ** $1 
dedicatee person of work of,IRI,aligns with,672 ** $1 
dedicator agent,structured description,aligns with,"500 ** $a, b, c, d, g, q "
dedicator agent,structured description,aligns with,"510 ** $a, b, c, d, g "
dedicator agent,identifier,aligns with,500 ** $0 
dedicator agent,identifier,aligns with,510 ** $0 
dedicator agent,IRI,aligns with,500 ** $1 
dedicator agent,IRI,aligns with,510 ** $1 
dedicator agent of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
dedicator agent of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
dedicator agent of,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
dedicator agent of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
dedicator agent of,structured description,aligns with,"672 ** $a, b, f "
dedicator agent of,identifier,aligns with,500 ** $0 
dedicator agent of,identifier,aligns with,510 ** $0 
dedicator agent of,identifier,aligns with,511 ** $0 
dedicator agent of,identifier,aligns with,530 ** $0 
dedicator agent of,identifier,aligns with,"672 ** $w, 0 "
dedicator agent of,IRI,aligns with,500 ** $1 
dedicator agent of,IRI,aligns with,510 ** $1 
dedicator agent of,IRI,aligns with,511 ** $1 
dedicator agent of,IRI,aligns with,530 ** $1 
dedicator agent of,IRI,aligns with,672 ** $1 
dedicator collective agent,structured description,aligns with,"500 3* $a, c, d, g "
dedicator collective agent,structured description,aligns with,"510 ** $a, b, c, d, g "
dedicator collective agent,identifier,aligns with,500 3* $0 
dedicator collective agent,identifier,aligns with,510 ** $0 
dedicator collective agent,IRI,aligns with,500 3* $1 
dedicator collective agent,IRI,aligns with,510 ** $1 
dedicator collective agent of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
dedicator collective agent of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
dedicator collective agent of,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
dedicator collective agent of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
dedicator collective agent of,structured description,aligns with,"672 ** $a, b, f "
dedicator collective agent of,identifier,aligns with,500 ** $0 
dedicator collective agent of,identifier,aligns with,510 ** $0 
dedicator collective agent of,identifier,aligns with,511 ** $0 
dedicator collective agent of,identifier,aligns with,530 ** $0 
dedicator collective agent of,identifier,aligns with,"672 ** $w, 0 "
dedicator collective agent of,IRI,aligns with,500 ** $1 
dedicator collective agent of,IRI,aligns with,510 ** $1 
dedicator collective agent of,IRI,aligns with,511 ** $1 
dedicator collective agent of,IRI,aligns with,530 ** $1 
dedicator collective agent of,IRI,aligns with,672 ** $1 
dedicator corporate body,structured description,aligns with,"510 ** $a, b, c, d, g "
dedicator corporate body,identifier,aligns with,510 ** $0 
dedicator corporate body,IRI,aligns with,510 ** $1 
dedicator corporate body of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
dedicator corporate body of,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
dedicator corporate body of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
dedicator corporate body of,structured description,aligns with,"672 ** $a, b, f "
dedicator corporate body of,identifier,aligns with,500 ** $0 
dedicator corporate body of,identifier,aligns with,510 ** $0 
dedicator corporate body of,identifier,aligns with,511 ** $0 
dedicator corporate body of,identifier,aligns with,530 ** $0 
dedicator corporate body of,identifier,aligns with,"672 ** $w, 0 "
dedicator corporate body of,IRI,aligns with,500 ** $1 
dedicator corporate body of,IRI,aligns with,510 ** $1 
dedicator corporate body of,IRI,aligns with,511 ** $1 
dedicator corporate body of,IRI,aligns with,530 ** $1 
dedicator corporate body of,IRI,aligns with,672 ** $1 
dedicator corporate body of,IRI,aligns with,672 ** $1 
dedicator family,structured description,aligns with,"500 3* $a, c, d, g "
dedicator family,identifier,aligns with,500 3* $0 
dedicator family,IRI,aligns with,500 3* $1 
dedicator family of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
dedicator family of,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
dedicator family of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
dedicator family of,structured description,aligns with,"672 ** $a, b, f "
dedicator family of,identifier,aligns with,510 ** $0 
dedicator family of,identifier,aligns with,511 ** $0 
dedicator family of,identifier,aligns with,530 ** $0 
dedicator family of,identifier,aligns with,"672 ** $w, 0 "
dedicator family of,IRI,aligns with,500 ** $1 
dedicator family of,IRI,aligns with,510 ** $1 
dedicator family of,IRI,aligns with,511 ** $1 
dedicator family of,IRI,aligns with,530 ** $1 
dedicator family of,IRI,aligns with,672 ** $1 
dedicator person,structured description,aligns with,"500 0* $a, b, c, d, g, q "
dedicator person,structured description,aligns with,"500 1* $a, b, c, d, g, q "
dedicator person,identifier,aligns with,500 0* $0 
dedicator person,identifier,aligns with,500 1* $0 
dedicator person,IRI,aligns with,500 0* $1 
dedicator person,IRI,aligns with,500 1* $1 
dedicator person of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
dedicator person of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
dedicator person of,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
dedicator person of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
dedicator person of,structured description,aligns with,"672 ** $a, b, f "
dedicator person of,identifier,aligns with,500 ** $0 
dedicator person of,identifier,aligns with,510 ** $0 
dedicator person of,identifier,aligns with,511 ** $0 
dedicator person of,identifier,aligns with,530 ** $0 
dedicator person of,identifier,aligns with,"672 ** $w, 0 "
dedicator person of,IRI,aligns with,500 ** $1 
dedicator person of,IRI,aligns with,510 ** $1 
dedicator person of,IRI,aligns with,511 ** $1 
dedicator person of,IRI,aligns with,530 ** $1 
dedicator person of,IRI,aligns with,672 ** $1 
defendant corporate body,structured description,aligns with,"510 ** $a, b, c, d, g "
defendant corporate body,identifier,aligns with,510 ** $0 
defendant corporate body,IRI,aligns with,510 ** $1 
defendant corporate body of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
defendant corporate body of,structured description,aligns with,"672 ** $a, b, f "
defendant corporate body of,identifier,aligns with,530 ** $0 
defendant corporate body of,identifier,aligns with,"672 ** $w, 0 "
defendant corporate body of,IRI,aligns with,530 ** $1 
defendant corporate body of,IRI,aligns with,672 ** $1 
defendant person,structured description,aligns with,"500 0* $a, b, c, d, g, q "
defendant person,structured description,aligns with,"500 1* $a, b, c, d, g, q "
defendant person,identifier,aligns with,500 0* $0 
defendant person,identifier,aligns with,500 1* $0 
defendant person,IRI,aligns with,500 0* $1 
defendant person,IRI,aligns with,500 1* $1 
defendant person of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
defendant person of,structured description,aligns with,"672 ** $a, b, f "
defendant person of,identifier,aligns with,530 ** $0 
defendant person of,identifier,aligns with,"672 ** $w, 0 "
defendant person of,IRI,aligns with,530 ** $1 
defendant person of,IRI,aligns with,672 ** $1 
degree committee member,structured description,aligns with,"500 0* $a, b, c, d, g, q "
degree committee member,structured description,aligns with,"500 1* $a, b, c, d, g, q "
degree committee member,identifier,aligns with,500 0* $0 
degree committee member,identifier,aligns with,500 1* $0 
degree committee member,IRI,aligns with,500 0* $1 
degree committee member,IRI,aligns with,500 1* $1 
degree committee member of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
degree committee member of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
degree committee member of,structured description,aligns with,"672 ** $a, b, f "
degree committee member of,identifier,aligns with,500 ** $0 
degree committee member of,identifier,aligns with,530 ** $0 
degree committee member of,identifier,aligns with,"672 ** $w, 0 "
degree committee member of,IRI,aligns with,500 ** $1 
degree committee member of,IRI,aligns with,530 ** $1 
degree committee member of,IRI,aligns with,672 ** $1 
degree granting institution,structured description,aligns with,"510 ** $a, b "
degree granting institution,identifier,aligns with,510 ** $0 
degree granting institution,IRI,aligns with,510 ** $1 
degree granting institution of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
degree granting institution of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
degree granting institution of,structured description,aligns with,"672 ** $a, b, f "
degree granting institution of,identifier,aligns with,500 ** $0 
degree granting institution of,identifier,aligns with,530 ** $0 
degree granting institution of,identifier,aligns with,"672 ** $w, 0 "
degree granting institution of,IRI,aligns with,500 ** $1 
degree granting institution of,IRI,aligns with,530 ** $1 
degree granting institution of,IRI,aligns with,672 ** $1 
degree supervisor,structured description,aligns with,"500 0* $a, b, c, d, g, q "
degree supervisor,structured description,aligns with,"500 1* $a, b, c, d, g, q "
degree supervisor,identifier,aligns with,500 0* $0 
degree supervisor,identifier,aligns with,500 1* $0 
degree supervisor,IRI,aligns with,500 0* $1 
degree supervisor,IRI,aligns with,500 1* $1 
degree supervisor of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
degree supervisor of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
degree supervisor of,structured description,aligns with,"672 ** $a, b, f "
degree supervisor of,identifier,aligns with,500 ** $0 
degree supervisor of,identifier,aligns with,530 ** $0 
degree supervisor of,identifier,aligns with,"672 ** $w, 0 "
degree supervisor of,IRI,aligns with,500 ** $1 
degree supervisor of,IRI,aligns with,530 ** $1 
degree supervisor of,IRI,aligns with,672 ** $1 
derivative work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
derivative work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
derivative work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
derivative work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
derivative work,identifier,aligns with,500 ** $0 
derivative work,identifier,aligns with,510 ** $0 
derivative work,identifier,aligns with,511 ** $0 
derivative work,identifier,aligns with,530 ** $0 
derivative work,IRI,aligns with,500 ** $1 
derivative work,IRI,aligns with,510 ** $1 
derivative work,IRI,aligns with,511 ** $1 
derivative work,IRI,aligns with,530 ** $1 
descendant family of family,structured description,aligns with,"500 3* $a, c, d, g "
descendant family of family,identifier,aligns with,500 3* $0 
descendant family of family,IRI,aligns with,500 3* $1 
descendant family of family of,structured description,aligns with,"500 3* $a, c, d, g "
descendant family of family of,identifier,aligns with,500 3* $0 
descendant family of family of,IRI,aligns with,500 3* $1 
descendant family of person,structured description,aligns with,"500 3* $a, c, d, g "
descendant family of person,identifier,aligns with,500 3* $0 
descendant family of person,IRI,aligns with,500 3* $1 
descendant family of person of,structured description,aligns with,"500 0* $a, b, c, d, g, q "
descendant family of person of,structured description,aligns with,"500 1* $a, b, c, d, g, q "
descendant family of person of,identifier,aligns with,500 0* $0 
descendant family of person of,identifier,aligns with,500 1* $0 
descendant family of person of,IRI,aligns with,500 0* $1 
descendant family of person of,IRI,aligns with,500 1* $1 
description of agent,structured description,aligns with,"500 ** $a, b, c, d, g, q "
description of agent,structured description,aligns with,"510 ** $a, b, c, d, g "
description of agent,structured description,aligns with,"511 ** $a, c, d, e, g, n, q "
description of agent,identifier,aligns with,500 ** $0 
description of agent,identifier,aligns with,510 ** $0 
description of agent,identifier,aligns with,511 ** $0 
description of agent,IRI,aligns with,500 ** $1 
description of agent,IRI,aligns with,510 ** $1 
description of agent,IRI,aligns with,511 ** $1 
description of collective agent,structured description,aligns with,"500 3* $a, c, d, g "
description of collective agent,structured description,aligns with,"510 ** $a, b, c, d, g "
description of collective agent,structured description,aligns with,"511 ** $a, c, d, e, g, n, q "
description of collective agent,identifier,aligns with,500 3* $0 
description of collective agent,identifier,aligns with,510 ** $0 
description of collective agent,identifier,aligns with,511 ** $0 
description of collective agent,IRI,aligns with,500 3* $1 
description of collective agent,IRI,aligns with,510 ** $1 
description of collective agent,IRI,aligns with,511 ** $1 
description of corporate body,structured description,aligns with,"510 ** $a, b, c, d, g "
description of corporate body,structured description,aligns with,"511 ** $a, c, d, e, g, n, q "
description of corporate body,identifier,aligns with,510 ** $0 
description of corporate body,identifier,aligns with,511 ** $0 
description of corporate body,IRI,aligns with,510 ** $1 
description of corporate body,IRI,aligns with,511 ** $1 
description of expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
description of expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
description of expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
description of expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
description of expression,identifier,aligns with,500 ** $0 
description of expression,identifier,aligns with,510 ** $0 
description of expression,identifier,aligns with,511 ** $0 
description of expression,identifier,aligns with,530 ** $0 
description of expression,IRI,aligns with,500 ** $1 
description of expression,IRI,aligns with,510 ** $1 
description of expression,IRI,aligns with,511 ** $1 
description of expression,IRI,aligns with,530 ** $1 
description of family,structured description,aligns with,"500 3* $a, c, d, g "
description of family,identifier,aligns with,500 3* $0 
description of family,IRI,aligns with,500 3* $1 
description of person,structured description,aligns with,"500 0* $a, b, c, d, g, q "
description of person,structured description,aligns with,"500 1* $a, b, c, d, g, q "
description of person,identifier,aligns with,500 0* $0 
description of person,identifier,aligns with,500 1* $0 
description of person,IRI,aligns with,500 0* $1 
description of person,IRI,aligns with,500 1* $1 
description of place,structured description,aligns with,551 ** $a 
description of place,identifier,aligns with,551 ** $0 
description of place,IRI,aligns with,551 ** $1 
description of work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
description of work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
description of work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
description of work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
description of work,identifier,aligns with,500 ** $0 
description of work,identifier,aligns with,510 ** $0 
description of work,identifier,aligns with,511 ** $0 
description of work,identifier,aligns with,530 ** $0 
description of work,IRI,aligns with,500 ** $1 
description of work,IRI,aligns with,510 ** $1 
description of work,IRI,aligns with,511 ** $1 
description of work,IRI,aligns with,530 ** $1 
designation of version,structured description,aligns with,381 ** $a 
designation of version,identifier,aligns with,381 ** $0 
designation of version,IRI,aligns with,381 ** $1 
designer agent,structured description,aligns with,"500 ** $a, b, c, d, g, q "
designer agent,structured description,aligns with,"510 ** $a, b, c, d, g "
designer agent,identifier,aligns with,500 ** $0 
designer agent,identifier,aligns with,510 ** $0 
designer agent,IRI,aligns with,500 ** $1 
designer agent,IRI,aligns with,510 ** $1 
designer agent of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
designer agent of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
designer agent of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
designer agent of,structured description,aligns with,"672 ** $a, b, f "
designer agent of,identifier,aligns with,500 ** $0 
designer agent of,identifier,aligns with,510 ** $0 
designer agent of,identifier,aligns with,530 ** $0 
designer agent of,identifier,aligns with,"672 ** $w, 0 "
designer agent of,IRI,aligns with,500 ** $1 
designer agent of,IRI,aligns with,510 ** $1 
designer agent of,IRI,aligns with,530 ** $1 
designer agent of,IRI,aligns with,672 ** $1 
designer collective agent,structured description,aligns with,"500 3* $a, c, d, g "
designer collective agent,structured description,aligns with,"510 ** $a, b, c, d, g "
designer collective agent,identifier,aligns with,500 3* $0 
designer collective agent,identifier,aligns with,510 ** $0 
designer collective agent,IRI,aligns with,500 3* $1 
designer collective agent,IRI,aligns with,510 ** $1 
designer collective agent of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
designer collective agent of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
designer collective agent of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
designer collective agent of,structured description,aligns with,"672 ** $a, b, f "
designer collective agent of,identifier,aligns with,500 ** $0 
designer collective agent of,identifier,aligns with,510 ** $0 
designer collective agent of,identifier,aligns with,530 ** $0 
designer collective agent of,identifier,aligns with,"672 ** $w, 0 "
designer collective agent of,IRI,aligns with,500 ** $1 
designer collective agent of,IRI,aligns with,510 ** $1 
designer collective agent of,IRI,aligns with,530 ** $1 
designer collective agent of,IRI,aligns with,672 ** $1 
designer corporate body,structured description,aligns with,"510 ** $a, b, c, d, g "
designer corporate body,identifier,aligns with,510 ** $0 
designer corporate body,IRI,aligns with,510 ** $1 
designer corporate body of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
designer corporate body of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
designer corporate body of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
designer corporate body of,structured description,aligns with,"672 ** $a, b, f "
designer corporate body of,identifier,aligns with,500 ** $0 
designer corporate body of,identifier,aligns with,510 ** $0 
designer corporate body of,identifier,aligns with,530 ** $0 
designer corporate body of,identifier,aligns with,"672 ** $w, 0 "
designer corporate body of,IRI,aligns with,500 ** $1 
designer corporate body of,IRI,aligns with,510 ** $1 
designer corporate body of,IRI,aligns with,530 ** $1 
designer corporate body of,IRI,aligns with,672 ** $1 
designer family,structured description,aligns with,"500 3* $a, c, d, g "
designer family,identifier,aligns with,500 3* $0 
designer family,IRI,aligns with,500 3* $1 
designer family of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
designer family of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
designer family of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
designer family of,structured description,aligns with,"672 ** $a, b, f "
designer family of,identifier,aligns with,500 ** $0 
designer family of,identifier,aligns with,510 ** $0 
designer family of,identifier,aligns with,530 ** $0 
designer family of,identifier,aligns with,"672 ** $w, 0 "
designer family of,IRI,aligns with,500 ** $1 
designer family of,IRI,aligns with,510 ** $1 
designer family of,IRI,aligns with,530 ** $1 
designer family of,IRI,aligns with,672 ** $1 
designer person,structured description,aligns with,"500 0* $a, b, c, d, g, q "
designer person,structured description,aligns with,"500 1* $a, b, c, d, g, q "
designer person,identifier,aligns with,500 0* $0 
designer person,identifier,aligns with,500 1* $0 
designer person,IRI,aligns with,500 0* $1 
designer person,IRI,aligns with,500 1* $1 
designer person of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
designer person of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
designer person of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
designer person of,structured description,aligns with,"672 ** $a, b, f "
designer person of,identifier,aligns with,500 ** $0 
designer person of,identifier,aligns with,510 ** $0 
designer person of,identifier,aligns with,530 ** $0 
designer person of,identifier,aligns with,"672 ** $w, 0 "
designer person of,IRI,aligns with,500 ** $1 
designer person of,IRI,aligns with,510 ** $1 
designer person of,IRI,aligns with,530 ** $1 
designer person of,IRI,aligns with,672 ** $1 
digest of expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
digest of expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
digest of expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
