*preferred label[0]_en,alternative label[0]_en,definition[0]_en,scope note[0]_en,*uri,*status,related to[0]
rolls (Deprecated),,"Wound lengths of material (paper, film, tape, etc.). (Deprecated)",,http://rdaregistry.info/termList/extent/1084,Deprecated,
sheet (Deprecated),,"A flat piece of thin material (paper, plastic, etc.). (Deprecated)",,http://rdaregistry.info/termList/extent/1085,Deprecated,
sheets (Deprecated),,"Flat pieces of thin material (paper, plastic, etc.). (Deprecated)",,http://rdaregistry.info/termList/extent/1086,Deprecated,
volume (Deprecated),,One or more sheets bound or fastened together to form a single unit. (Deprecated),,http://rdaregistry.info/termList/extent/1087,Deprecated,
volumes (Deprecated),,One or more sheets bound or fastened together to form a single units. (Deprecated),,http://rdaregistry.info/termList/extent/1088,Deprecated,
video cartridge (Deprecated),,A cartridge containing a video tape. (Deprecated),,http://rdaregistry.info/termList/extent/1089,Deprecated,
video cartridges (Deprecated),,Cartridges containing a video tape. (Deprecated),,http://rdaregistry.info/termList/extent/1090,Deprecated,
videocassettes (Deprecated),,Cassettes containing a video tape. (Deprecated),,http://rdaregistry.info/termList/extent/1091,Deprecated,
videocassette (Deprecated),,A cassette containing a video tape. (Deprecated),,http://rdaregistry.info/termList/extent/1092,Deprecated,
videodisc (Deprecated),,"A disc on which video signals, with or without sound, are recorded. (Deprecated)",,http://rdaregistry.info/termList/extent/1093,Deprecated,
videodiscs (Deprecated),,"Discs on which video signals, with or without sound, are recorded. (Deprecated)",,http://rdaregistry.info/termList/extent/1094,Deprecated,
videotape reel (Deprecated),,An open reel holding a video tape for use with reel-to-reel video equipment. (Deprecated),,http://rdaregistry.info/termList/extent/1095,Deprecated,
videotape reels (Deprecated),,Open reels holding a video tape for use with reel-to-reel video equipment. (Deprecated),,http://rdaregistry.info/termList/extent/1096,Deprecated,
