RDA,mapping,MARC 21 Authority encoding string and recording method
rdaw:P10406,rdakit:hasM21,065 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,065 ** $2 [identifier]
rdaw:P10061,rdakit:hasM21,065 ** $5 [identifier] (recording an agent who records metadata)
rdam:P30083,rdakit:hasM21,065 ** $5 [identifier] (recording an agent who publishes metadata)
rdae:P20065,rdakit:hasM21,065 ** $6 [identifier] (recording a script of description)
rdaw:P10256,rdakit:hasM21,065 ** $a [structured description]
rdaw:P10256,rdakit:hasM21,065 ** $b [structured description]
rdae:P20065,rdakit:hasM21,066 ** $a [identifier] (recording a script of description)
rdae:P20065,rdakit:hasM21,066 ** $b [identifier] (recording a script of description)
rdae:P20065,rdakit:hasM21,066 ** $c [identifier] (recording a script of description)
rdaw:P10406,rdakit:hasM21,070 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,070 ** $1 [IRI]
rdae:P20065,rdakit:hasM21,070 ** $6 [identifier] (recording a script of description)
rdaw:P10406,rdakit:hasM21,072 ** $2 [identifier]
rdae:P20065,rdakit:hasM21,072 ** $6 [identifier] (recording a script of description)
rdaw:P10256,rdakit:hasM21,072 ** $a [structured description]
rdae:P20065,rdakit:hasM21,073 ** $6 [identifier] (recording a script of description)
rdaw:P10406,rdakit:hasM21,075 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,075 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,075 ** $2 [identifier]
rdaw:P10406,rdakit:hasM21,080 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,080 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,080 ** $2 [identifier]
rdae:P20065,rdakit:hasM21,080 ** $6 [identifier] (recording a script of description)
rdaw:P10256,rdakit:hasM21,080 ** $a [structured description]
rdaw:P10406,rdakit:hasM21,082 ** $2 [identifier]
rdaw:P10061,rdakit:hasM21,082 ** $5 [identifier] (recording an agent who records metadata)
rdam:P30083,rdakit:hasM21,082 ** $5 [identifier] (recording an agent who publishes metadata)
rdae:P20065,rdakit:hasM21,082 ** $6 [identifier] (recording a script of description)
rdaw:P10256,rdakit:hasM21,082 ** $a [structured description]
