RDA,mapping,DC term
rdae:P20410,rdfs:subPropertyOf,dct:contributor
rdae:P20411,rdfs:subPropertyOf,dct:contributor
rdae:P20412,rdfs:subPropertyOf,dct:contributor
rdae:P20413,rdfs:subPropertyOf,dct:contributor
rdae:P20414,rdfs:subPropertyOf,dct:contributor
rdae:P20415,rdfs:subPropertyOf,dct:contributor
rdae:P20416,rdfs:subPropertyOf,dct:contributor
rdae:P20417,rdfs:subPropertyOf,dct:contributor
rdae:P20418,rdfs:subPropertyOf,dct:contributor
rdae:P20419,rdfs:subPropertyOf,dct:contributor
rdae:P20420,rdfs:subPropertyOf,dct:contributor
rdae:P20421,rdfs:subPropertyOf,dct:contributor
rdae:P20422,rdfs:subPropertyOf,dct:contributor
rdae:P20423,rdfs:subPropertyOf,dct:contributor
rdae:P20424,rdfs:subPropertyOf,dct:contributor
rdae:P20425,rdfs:subPropertyOf,dct:contributor
rdae:P20426,rdfs:subPropertyOf,dct:contributor
rdae:P20427,rdfs:subPropertyOf,dct:contributor
rdae:P20428,rdfs:subPropertyOf,dct:contributor
rdae:P20429,rdfs:subPropertyOf,dct:contributor
rdae:P20430,rdfs:subPropertyOf,dct:contributor
rdae:P20431,rdfs:subPropertyOf,dct:contributor
rdae:P20432,rdfs:subPropertyOf,dct:contributor
rdae:P20433,rdfs:subPropertyOf,dct:contributor
rdae:P20434,rdfs:subPropertyOf,dct:contributor
rdae:P20435,rdfs:subPropertyOf,dct:contributor
rdae:P20436,rdfs:subPropertyOf,dct:contributor
rdae:P20437,rdfs:subPropertyOf,dct:contributor
rdae:P20438,rdfs:subPropertyOf,dct:contributor
rdae:P20439,rdfs:subPropertyOf,dct:contributor
rdae:P20440,rdfs:subPropertyOf,dct:contributor
rdae:P20441,rdfs:subPropertyOf,dct:contributor
rdae:P20442,rdfs:subPropertyOf,dct:contributor
rdae:P20443,rdfs:subPropertyOf,dct:contributor
rdae:P20444,rdfs:subPropertyOf,dct:contributor
rdae:P20445,rdfs:subPropertyOf,dct:contributor
rdae:P20446,rdfs:subPropertyOf,dct:contributor
rdae:P20447,rdfs:subPropertyOf,dct:contributor
rdae:P20448,rdfs:subPropertyOf,dct:contributor
rdae:P20449,rdfs:subPropertyOf,dct:contributor
rdae:P20450,rdfs:subPropertyOf,dct:contributor
rdae:P20451,rdfs:subPropertyOf,dct:contributor
rdae:P20452,rdfs:subPropertyOf,dct:contributor
rdae:P20453,rdfs:subPropertyOf,dct:contributor
rdae:P20454,rdfs:subPropertyOf,dct:contributor
rdae:P20455,rdfs:subPropertyOf,dct:contributor
rdae:P20456,rdfs:subPropertyOf,dct:contributor
rdae:P20457,rdfs:subPropertyOf,dct:contributor
rdae:P20458,rdfs:subPropertyOf,dct:contributor
rdae:P20459,rdfs:subPropertyOf,dct:contributor
rdae:P20460,rdfs:subPropertyOf,dct:contributor
rdae:P20461,rdfs:subPropertyOf,dct:contributor
rdae:P20462,rdfs:subPropertyOf,dct:contributor
rdae:P20463,rdfs:subPropertyOf,dct:contributor
rdae:P20464,rdfs:subPropertyOf,dct:contributor
rdae:P20465,rdfs:subPropertyOf,dct:contributor
rdae:P20466,rdfs:subPropertyOf,dct:contributor
rdae:P20467,rdfs:subPropertyOf,dct:contributor
rdae:P20468,rdfs:subPropertyOf,dct:contributor
rdae:P20469,rdfs:subPropertyOf,dct:contributor
rdae:P20470,rdfs:subPropertyOf,dct:contributor
rdae:P20471,rdfs:subPropertyOf,dct:contributor
rdae:P20472,rdfs:subPropertyOf,dct:contributor
rdae:P20473,rdfs:subPropertyOf,dct:contributor
rdae:P20474,rdfs:subPropertyOf,dct:contributor
rdae:P20475,rdfs:subPropertyOf,dct:contributor
rdae:P20476,rdfs:subPropertyOf,dct:contributor
rdae:P20477,rdfs:subPropertyOf,dct:contributor
rdae:P20478,rdfs:subPropertyOf,dct:contributor
rdae:P20479,rdfs:subPropertyOf,dct:contributor
rdae:P20480,rdfs:subPropertyOf,dct:contributor
rdae:P20481,rdfs:subPropertyOf,dct:contributor
rdae:P20482,rdfs:subPropertyOf,dct:contributor
rdae:P20483,rdfs:subPropertyOf,dct:contributor
rdae:P20484,rdfs:subPropertyOf,dct:contributor
rdae:P20485,rdfs:subPropertyOf,dct:contributor
rdae:P20486,rdfs:subPropertyOf,dct:contributor
rdae:P20487,rdfs:subPropertyOf,dct:contributor
rdae:P20488,rdfs:subPropertyOf,dct:contributor
rdae:P20489,rdfs:subPropertyOf,dct:contributor
rdae:P20490,rdfs:subPropertyOf,dct:contributor
rdae:P20491,rdfs:subPropertyOf,dct:contributor
rdae:P20492,rdfs:subPropertyOf,dct:contributor
rdae:P20493,rdfs:subPropertyOf,dct:contributor
rdae:P20494,rdfs:subPropertyOf,dct:contributor
rdae:P20495,rdfs:subPropertyOf,dct:contributor
rdae:P20496,rdfs:subPropertyOf,dct:contributor
rdae:P20497,rdfs:subPropertyOf,dct:contributor
rdae:P20498,rdfs:subPropertyOf,dct:contributor
rdae:P20499,rdfs:subPropertyOf,dct:contributor
rdae:P20500,rdfs:subPropertyOf,dct:contributor
rdae:P20501,rdfs:subPropertyOf,dct:contributor
rdae:P20502,rdfs:subPropertyOf,dct:contributor
rdae:P20503,rdfs:subPropertyOf,dct:contributor
rdae:P20504,rdfs:subPropertyOf,dct:contributor
rdae:P20505,rdfs:subPropertyOf,dct:contributor
rdae:P20506,rdfs:subPropertyOf,dct:contributor
rdae:P20507,rdfs:subPropertyOf,dct:contributor
rdae:P20508,rdfs:subPropertyOf,dct:contributor
rdae:P20509,rdfs:subPropertyOf,dct:contributor
rdae:P20510,rdfs:subPropertyOf,dct:contributor
rdae:P20511,rdfs:subPropertyOf,dct:contributor
rdae:P20512,rdfs:subPropertyOf,dct:contributor
rdae:P20513,rdfs:subPropertyOf,dct:contributor
rdae:P20514,rdfs:subPropertyOf,dct:contributor
rdae:P20515,rdfs:subPropertyOf,dct:contributor
rdae:P20516,rdfs:subPropertyOf,dct:contributor
rdae:P20517,rdfs:subPropertyOf,dct:contributor
rdae:P20518,rdfs:subPropertyOf,dct:contributor
rdae:P20519,rdfs:subPropertyOf,dct:contributor
rdae:P20520,rdfs:subPropertyOf,dct:contributor
rdae:P20521,rdfs:subPropertyOf,dct:contributor
rdae:P20522,rdfs:subPropertyOf,dct:contributor
rdae:P20523,rdfs:subPropertyOf,dct:contributor
rdae:P20524,rdfs:subPropertyOf,dct:contributor
rdae:P20525,rdfs:subPropertyOf,dct:contributor
rdae:P20526,rdfs:subPropertyOf,dct:contributor
rdae:P20527,rdfs:subPropertyOf,dct:contributor
rdae:P20528,rdfs:subPropertyOf,dct:contributor
rdae:P20529,rdfs:subPropertyOf,dct:contributor
rdae:P20530,rdfs:subPropertyOf,dct:contributor
rdae:P20531,rdfs:subPropertyOf,dct:contributor
rdae:P20532,rdfs:subPropertyOf,dct:contributor
rdae:P20533,rdfs:subPropertyOf,dct:contributor
