canonical uri,mapping,lexical uri
rdaa:P50143,owl:sameAs,rdaa:musicalDirectorAgentOf.en
rdaa:P50144,owl:sameAs,rdaa:costumeDesignerAgentOf.en
rdaa:P50145,owl:sameAs,rdaa:translatorAgentOf.en
rdaa:P50146,owl:sameAs,rdaa:artDirectorAgentOf.en
rdaa:P50147,owl:sameAs,rdaa:performerAgentOf.en
rdaa:P50148,owl:sameAs,rdaa:courtReporterAgentOf.en
rdaa:P50155,owl:sameAs,rdaa:intervieweeAgentOfExpressionOf.en
rdaa:P50157,owl:sameAs,rdaa:abridgerAgentOf.en
rdaa:P50158,owl:sameAs,rdaa:recordingEngineerAgentOf.en
rdaa:P50160,owl:sameAs,rdaa:recordistAgentOf.en
rdaa:P50161,owl:sameAs,rdaa:creatorAgentOfExpressionOf.en
rdaa:P50162,owl:sameAs,rdaa:currentOwnerAgentOf.en
rdaa:P50163,owl:sameAs,rdaa:formerOwnerAgentOf.en
rdaa:P50164,owl:sameAs,rdaa:custodianAgentOf.en
rdaa:P50165,owl:sameAs,rdaa:ownerAgentOf.en
rdaa:P50166,owl:sameAs,rdaa:honoureeAgentOfWorkOf.en
rdaa:P50167,owl:sameAs,rdaa:honoureeAgentOfItemOf.en
rdaa:P50168,owl:sameAs,rdaa:broadcasterAgentOf.en
rdaa:P50169,owl:sameAs,rdaa:filmDistributorAgentOf.en
rdaa:P50170,owl:sameAs,rdaa:bookDesignerAgentOf.en
rdaa:P50171,owl:sameAs,rdaa:engraverAgentOf.en
rdaa:P50172,owl:sameAs,rdaa:brailleEmbosserAgentOf.en
rdaa:P50173,owl:sameAs,rdaa:printmakerAgentOf.en
rdaa:P50174,owl:sameAs,rdaa:casterAgentOf.en
rdaa:P50175,owl:sameAs,rdaa:lithographerAgentOf.en
rdaa:P50176,owl:sameAs,rdaa:platemakerAgentOf.en
rdaa:P50177,owl:sameAs,rdaa:etcherAgentOf.en
rdaa:P50178,owl:sameAs,rdaa:collotyperAgentOf.en
rdaa:P50179,owl:sameAs,rdaa:printerAgentOf.en
rdaa:P50180,owl:sameAs,rdaa:presenterAgentOf.en
rdaa:P50183,owl:sameAs,rdaa:editorAgentOfMovingImageWorkOf.en
rdaa:P50184,owl:sameAs,rdaa:programmerAgentOf.en
rdaa:P50185,owl:sameAs,rdaa:designerAgentOf.en
rdaa:P50186,owl:sameAs,rdaa:cartographerAgentOfWorkOf.en
rdaa:P50187,owl:sameAs,rdaa:composerAgentOfWorkOf.en
rdaa:P50188,owl:sameAs,rdaa:inventorAgentOf.en
rdaa:P50189,owl:sameAs,rdaa:compilerAgentOf.en
rdaa:P50190,owl:sameAs,rdaa:photographerAgentOfWorkOf.en
rdaa:P50191,owl:sameAs,rdaa:interviewerAgentOfWorkOf.en
rdaa:P50192,owl:sameAs,rdaa:artistAgentOf.en
rdaa:P50193,owl:sameAs,rdaa:intervieweeAgentOfWorkOf.en
rdaa:P50194,owl:sameAs,rdaa:choreographerAgentOf.en
rdaa:P50195,owl:sameAs,rdaa:authorAgentOf.en
rdaa:P50196,owl:sameAs,rdaa:architectAgentOf.en
rdaa:P50197,owl:sameAs,rdaa:filmmakerAgentOf.en
rdaa:P50198,owl:sameAs,rdaa:productionDesignerAgentOf.en
rdaa:P50199,owl:sameAs,rdaa:distributorAgentOf.en
rdaa:P50200,owl:sameAs,rdaa:producerAgentOfUnpublishedManifestationOf.en
rdaa:P50201,owl:sameAs,rdaa:producerAgentOf.en
rdaa:P50202,owl:sameAs,rdaa:manufacturerAgentOf.en
rdaa:P50203,owl:sameAs,rdaa:publisherAgentOf.en
rdaa:P50204,owl:sameAs,rdaa:creatorAgentOfWorkOf.en
rdaa:P50205,owl:sameAs,rdaa:directorAgentOf.en
rdaa:P50206,owl:sameAs,rdaa:restorationistAgentOfItemOf.en
rdaa:P50207,owl:sameAs,rdaa:directorAgentOfPhotographyOf.en
rdaa:P50208,owl:sameAs,rdaa:dedicateeAgentOfWorkOf.en
rdaa:P50209,owl:sameAs,rdaa:addresseeAgentOf.en
rdaa:P50210,owl:sameAs,rdaa:dedicateeAgentOfItemOf.en
rdaa:P50211,owl:sameAs,rdaa:consultantAgentOf.en
rdaa:P50212,owl:sameAs,rdaa:minuteTakerAgentOf.en
rdaa:P50213,owl:sameAs,rdaa:filmProducerAgentOf.en
rdaa:P50214,owl:sameAs,rdaa:radioProducerAgentOf.en
rdaa:P50215,owl:sameAs,rdaa:televisionProducerAgentOf.en
rdaa:P50217,owl:sameAs,rdaa:voiceActorAgentOf.en
rdaa:P50218,owl:sameAs,rdaa:relatedCorporateBodyOfAgent.en
rdaa:P50219,owl:sameAs,rdaa:relatedFamilyOfAgent.en
rdaa:P50220,owl:sameAs,rdaa:relatedPersonOfAgent.en
rdaa:P50221,owl:sameAs,rdaa:landscapeArchitectAgentOf.en
rdaa:P50222,owl:sameAs,rdaa:sculptorAgentOf.en
rdaa:P50223,owl:sameAs,rdaa:screenwriterAgentOf.en
rdaa:P50224,owl:sameAs,rdaa:lyricistAgentOf.en
rdaa:P50225,owl:sameAs,rdaa:librettistAgentOf.en
rdaa:P50226,owl:sameAs,rdaa:sponsoredWorkOfAgent.en
rdaa:P50229,owl:sameAs,rdaa:predecessorOfSplit.en
rdaa:P50230,owl:sameAs,rdaa:corporateBodyMemberOfCorporateBodyOf.en
rdaa:P50231,owl:sameAs,rdaa:corporateBodyMemberOfCorporateBody.en
rdaa:P50232,owl:sameAs,rdaa:componentOfMerger.en
rdaa:P50233,owl:sameAs,rdaa:personMemberOfFamilyOf.en
rdaa:P50234,owl:sameAs,rdaa:officerOf.en
rdaa:P50235,owl:sameAs,rdaa:languageOfFamily.en
rdaa:P50236,owl:sameAs,rdaa:periodOfActivityOfCorporateBody.en
rdaa:P50237,owl:sameAs,rdaa:categoryOfCorporateBody.en
rdaa:P50238,owl:sameAs,rdaa:categoryOfGovernment.en
rdaa:P50240,owl:sameAs,rdaa:broaderAffiliatedBody.en
rdaa:P50241,owl:sameAs,rdaa:localAffiliate.en
rdaa:P50242,owl:sameAs,rdaa:papermakerAgentOf.en
rdaa:P50243,owl:sameAs,rdaa:visualEffectsProviderAgentOf.en
rdaa:P50244,owl:sameAs,rdaa:specialEffectsProviderAgentOf.en
rdaa:P50245,owl:sameAs,rdaa:lettererAgentOf.en
rdaa:P50246,owl:sameAs,rdaa:calligrapherAgentOf.en
rdaa:P50247,owl:sameAs,rdaa:bookArtistAgentOf.en
rdaa:P50248,owl:sameAs,rdaa:rapporteurAgentOf.en
rdaa:P50249,owl:sameAs,rdaa:subjectPersonOf.en
rdaa:P50250,owl:sameAs,rdaa:subjectFamilyOf.en
rdaa:P50251,owl:sameAs,rdaa:subjectCorporateBodyOf.en
rdaa:P50252,owl:sameAs,rdaa:graduate.en
rdaa:P50253,owl:sameAs,rdaa:graduateOf.en
rdaa:P50255,owl:sameAs,rdaa:soundDesignerAgentOf.en
rdaa:P50256,owl:sameAs,rdaa:lightingDesignerAgentOf.en
rdaa:P50257,owl:sameAs,rdaa:degreeCommitteeMemberOf.en
rdaa:P50258,owl:sameAs,rdaa:defendantCorporateBodyOf.en
rdaa:P50259,owl:sameAs,rdaa:defendantPersonOf.en
rdaa:P50261,owl:sameAs,rdaa:onscreenParticipantAgentOf.en
rdaa:P50262,owl:sameAs,rdaa:commissioningAgentOf.en
rdaa:P50263,owl:sameAs,rdaa:softwareDeveloperAgentOf.en
rdaa:P50264,owl:sameAs,rdaa:participantInTreatyOf.en
rdaa:P50265,owl:sameAs,rdaa:researcherAgentOf.en
rdaa:P50266,owl:sameAs,rdaa:colouristAgentOf.en
rdaa:P50267,owl:sameAs,rdaa:makeupArtistAgentOf.en
rdaa:P50268,owl:sameAs,rdaa:choralConductorAgentOf.en
rdaa:P50269,owl:sameAs,rdaa:instrumentalConductorAgentOf.en
rdaa:P50270,owl:sameAs,rdaa:organizerAgentOf.en
rdaa:P50271,owl:sameAs,rdaa:censorAgentOf.en
rdaa:P50273,owl:sameAs,rdaa:restorationistAgentOfExpressionOf.en
rdaa:P50274,owl:sameAs,rdaa:colleague.en
rdaa:P50275,owl:sameAs,rdaa:assistant.en
rdaa:P50276,owl:sameAs,rdaa:assistantTo.en
rdaa:P50277,owl:sameAs,rdaa:coworker.en
rdaa:P50278,owl:sameAs,rdaa:partner.en
rdaa:P50279,owl:sameAs,rdaa:fellowStudent.en
rdaa:P50280,owl:sameAs,rdaa:friend.en
rdaa:P50281,owl:sameAs,rdaa:student.en
rdaa:P50282,owl:sameAs,rdaa:teacher.en
rdaa:P50283,owl:sameAs,rdaa:enrolledStudent.en
rdaa:P50284,owl:sameAs,rdaa:chiefExecutive.en
rdaa:P50285,owl:sameAs,rdaa:trustee.en
rdaa:P50286,owl:sameAs,rdaa:chiefExecutiveOf.en
rdaa:P50287,owl:sameAs,rdaa:trusteeOf.en
rdaa:P50288,owl:sameAs,rdaa:studentAt.en
rdaa:P50289,owl:sameAs,rdaa:editorialDirectorAgentOf.en
rdaa:P50290,owl:sameAs,rdaa:founderAgentOfWorkOf.en
rdaa:P50291,owl:sameAs,rdaa:surname.en
rdaa:P50292,owl:sameAs,rdaa:givenName.en
rdaa:P50293,owl:sameAs,rdaa:remixArtistAgentOf.en
