Canonical URI,Lexical alias (English)
rdae:P20205,rdae:relatedExpressionExpression.en
rdae:P20206,rdae:supplementaryContent.en
rdae:P20207,rdae:illustrativeContent.en
rdae:P20208,rdae:accessibilityContent.en
rdae:P20209,rdae:formatOfNotatedMusic.en
rdae:P20210,rdae:otherDetailsOfCartographicContent.en
rdae:P20211,rdae:revisedAs.en
rdae:P20212,rdae:mergedToFormExpression.en
rdae:P20213,rdae:additionalScaleInformation.en
rdae:P20214,rdae:dateOfExpression.en
rdae:P20215,rdae:mediumOfPerformanceOfMusicalContent.en
rdae:P20216,rdae:projectionOfCartographicContent.en
rdae:P20217,rdae:placeAndDateOfCapture.en
rdae:P20218,rdae:placeOfCapture.en
rdae:P20219,rdae:duration.en
rdae:P20224,rdae:colourContent.en
rdae:P20225,rdae:soundContent.en
rdae:P20226,rdae:horizontalScaleOfCartographicContent.en
rdae:P20227,rdae:scaleOfStillImageOrThreeDimensionalForm.en
rdae:P20228,rdae:scale.en
rdae:P20229,rdae:aspectRatioDesignation.en
rdae:P20230,rdae:verticalScaleOfCartographicContent.en
rdae:P20231,rdae:workExpressed.en
rdae:P20232,rdae:accompanyingExpressionRelationship.en
rdae:P20233,rdae:derivativeExpressionRelationship.en
rdae:P20235,rdae:sequentialExpressionRelationship.en
rdae:P20236,rdae:wholePartExpressionRelationship.en
rdae:P20237,rdae:writerOfAfterword.en
rdae:P20238,rdae:writerOfPostface.en
rdae:P20239,rdae:musicalTheatreAdaptationOfExpression.en
rdae:P20240,rdae:operaAdaptationOfExpression.en
rdae:P20241,rdae:adaptedAsMusicalTheatreExpression.en
rdae:P20242,rdae:adaptedAsOperaExpression.en
rdae:P20243,rdae:musicExpression.en
rdae:P20244,rdae:musicForExpression.en
rdae:P20245,rdae:videoMusicExpression.en
rdae:P20246,rdae:musicForVideoExpression.en
rdae:P20247,rdae:televisionProgramMusicExpression.en
rdae:P20248,rdae:musicForTelevisionProgramExpression.en
rdae:P20249,rdae:radioProgramMusicExpression.en
rdae:P20250,rdae:musicForRadioProgramExpression.en
rdae:P20251,rdae:motionPictureMusicExpression.en
rdae:P20252,rdae:musicForMotionPictureExpression.en
rdae:P20253,rdae:choreographyExpression.en
rdae:P20254,rdae:choreographyForExpression.en
rdae:P20255,rdae:adaptedAsGraphicNovelExpression.en
rdae:P20256,rdae:graphicNovelizationOfExpression.en
rdae:P20257,rdae:visualEffectsProvider.en
rdae:P20258,rdae:specialEffectsProvider.en
rdae:P20259,rdae:letterer.en
rdae:P20260,rdae:detailsOfAspectRatioDesignation.en
rdae:P20261,rdae:detailsOfColourContent.en
rdae:P20262,rdae:detailsOfFormOfMusicalNotation.en
rdae:P20263,rdae:detailsOfFormOfNotatedMovement.en
rdae:P20264,rdae:detailsOfFormatOfNotatedMusic.en
rdae:P20265,rdae:detailsOfFormOfTactileNotation.en
rdae:P20266,rdae:detailsOfScript.en
rdae:P20267,rdae:detailsOfIllustrativeContent.en
rdae:P20268,rdae:subjectOfExpression.en
rdae:P20269,rdae:describedInExpression.en
rdae:P20270,rdae:analysedInExpression.en
rdae:P20271,rdae:commentaryInExpression.en
rdae:P20272,rdae:critiquedInExpression.en
