Canonical uri,Lexical alias (English)
rdaa:P50236,rdaa:periodOfActivityOfCorporateBody.en
rdaa:P50237,rdaa:categoryOfCorporateBody.en
rdaa:P50238,rdaa:categoryOfGovernment.en
rdaa:P50240,rdaa:broaderAffiliatedBody.en
rdaa:P50241,rdaa:localAffiliate.en
rdaa:P50242,rdaa:papermakerAgentOf.en
rdaa:P50243,rdaa:visualEffectsProviderAgentOf.en
rdaa:P50244,rdaa:specialEffectsProviderAgentOf.en
rdaa:P50245,rdaa:lettererAgentOf.en
rdaa:P50246,rdaa:calligrapherAgentOf.en
rdaa:P50247,rdaa:bookArtistAgentOf.en
rdaa:P50248,rdaa:rapporteurAgentOf.en
rdaa:P50249,rdaa:subjectPersonOf.en
rdaa:P50250,rdaa:subjectFamilyOf.en
rdaa:P50251,rdaa:subjectCorporateBodyOf.en
rdaa:P50252,rdaa:graduate.en
rdaa:P50253,rdaa:graduateOf.en
rdaa:P50255,rdaa:soundDesignerAgentOf.en
rdaa:P50256,rdaa:lightingDesignerAgentOf.en
rdaa:P50257,rdaa:degreeCommitteeMemberOf.en
rdaa:P50258,rdaa:defendantCorporateBodyOf.en
rdaa:P50259,rdaa:defendantPersonOf.en
rdaa:P50261,rdaa:onscreenParticipantAgentOf.en
rdaa:P50262,rdaa:commissioningAgentOf.en
rdaa:P50263,rdaa:softwareDeveloperAgentOf.en
rdaa:P50264,rdaa:participantInTreatyOf.en
rdaa:P50265,rdaa:researcherAgentOf.en
rdaa:P50266,rdaa:colouristAgentOf.en
rdaa:P50267,rdaa:makeupArtistAgentOf.en
rdaa:P50268,rdaa:choralConductorAgentOf.en
rdaa:P50269,rdaa:instrumentalConductorAgentOf.en
rdaa:P50270,rdaa:organizerAgentOf.en
rdaa:P50271,rdaa:censorAgentOf.en
rdaa:P50273,rdaa:restorationistAgentOfExpressionOf.en
rdaa:P50274,rdaa:colleague.en
rdaa:P50275,rdaa:assistant.en
rdaa:P50276,rdaa:assistantTo.en
rdaa:P50277,rdaa:coworker.en
rdaa:P50278,rdaa:partner.en
rdaa:P50279,rdaa:fellowStudent.en
rdaa:P50280,rdaa:friend.en
rdaa:P50281,rdaa:student.en
rdaa:P50282,rdaa:teacher.en
rdaa:P50283,rdaa:enrolledStudent.en
rdaa:P50284,rdaa:chiefExecutive.en
rdaa:P50285,rdaa:trustee.en
rdaa:P50286,rdaa:chiefExecutiveOf.en
rdaa:P50287,rdaa:trusteeOf.en
rdaa:P50288,rdaa:studentAt.en
rdaa:P50289,rdaa:editorialDirectorAgentOf.en
rdaa:P50290,rdaa:founderAgentOfWorkOf.en
rdaa:P50291,rdaa:surname.en
rdaa:P50292,rdaa:givenName.en
rdaa:P50293,rdaa:remixArtistAgentOf.en
rdaa:P50294,rdaa:castingDirectorAgentOf.en
rdaa:P50295,rdaa:audioProducerAgentOf.en
rdaa:P50296,rdaa:audioEngineerAgentOf.en
rdaa:P50297,rdaa:mixingEngineerAgentOf.en
rdaa:P50298,rdaa:djAgentOf.en
rdaa:P50299,rdaa:dubbingDirectorAgentOf.en
rdaa:P50300,rdaa:musicProgrammerAgentOf.en
rdaa:P50301,rdaa:absorbedCorporateBody.en
rdaa:P50302,rdaa:absorbingCorporateBody.en
rdaa:P50303,rdaa:jointlyHeldConference.en
rdaa:P50304,rdaa:relatedRDAEntityOfAgent.en
rdaa:P50305,rdaa:relatedWorkOfAgent.en
rdaa:P50306,rdaa:relatedExpressionOfAgent.en
rdaa:P50307,rdaa:relatedManifestationOfAgent.en
rdaa:P50308,rdaa:relatedItemOfAgent.en
rdaa:P50309,rdaa:relatedAgentOfAgent.en
rdaa:P50310,rdaa:relatedRDAEntityOfPerson.en
rdaa:P50311,rdaa:relatedWorkOfPerson.en
rdaa:P50312,rdaa:relatedExpressionOfPerson.en
rdaa:P50313,rdaa:relatedManifestationOfPerson.en
rdaa:P50314,rdaa:relatedItemOfPerson.en
rdaa:P50315,rdaa:relatedAgentOfPerson.en
rdaa:P50316,rdaa:relatedPersonOfPerson.en
rdaa:P50317,rdaa:relatedFamilyOfPerson.en
rdaa:P50318,rdaa:relatedCorporateBodyOfPerson.en
rdaa:P50319,rdaa:relatedRDAEntityOfFamily.en
rdaa:P50320,rdaa:relatedWorkOfFamily.en
rdaa:P50321,rdaa:relatedExpressionOfFamily.en
rdaa:P50322,rdaa:relatedManifestationOfFamily.en
rdaa:P50323,rdaa:relatedItemOfFamily.en
rdaa:P50324,rdaa:relatedAgentOfFamily.en
rdaa:P50325,rdaa:relatedPersonOfFamily.en
rdaa:P50326,rdaa:relatedFamilyOfFamily.en
rdaa:P50327,rdaa:relatedCorporateBodyOfFamily.en
rdaa:P50328,rdaa:relatedRDAEntityOfCorporateBody.en
rdaa:P50329,rdaa:relatedWorkOfCorporateBody.en
rdaa:P50330,rdaa:relatedExpressionOfCorporateBody.en
rdaa:P50331,rdaa:relatedManifestationOfCorporateBody.en
rdaa:P50332,rdaa:relatedItemOfCorporateBody.en
rdaa:P50333,rdaa:relatedAgentOfCorporateBody.en
rdaa:P50334,rdaa:relatedPersonOfCorporateBody.en
rdaa:P50335,rdaa:relatedFamilyOfCorporateBody.en
rdaa:P50336,rdaa:relatedCorporateBodyOfCorporateBody.en
rdaa:P50337,rdaa:relatedCollectiveAgentOfAgent.en
rdaa:P50338,rdaa:relatedPlaceOfAgent.en
rdaa:P50339,rdaa:relatedTimespanOfAgent.en
rdaa:P50340,rdaa:relatedNomenOfAgent.en
rdaa:P50341,rdaa:relatedCollectiveAgentOfCollectiveAgent.en
rdaa:P50342,rdaa:relatedPlaceOfCollectiveAgent.en
rdaa:P50343,rdaa:relatedTimespanOfCollectiveAgent.en
rdaa:P50344,rdaa:relatedNomenOfCollectiveAgent.en
rdaa:P50345,rdaa:relatedCollectiveAgentOfPerson.en
rdaa:P50346,rdaa:relatedPlaceOfPerson.en
rdaa:P50347,rdaa:relatedTimespanOfPerson.en
rdaa:P50348,rdaa:relatedNomenOfPerson.en
rdaa:P50349,rdaa:relatedCollectiveAgentOfCorporateBody.en
rdaa:P50350,rdaa:relatedPlaceOfCorporateBody.en
rdaa:P50351,rdaa:relatedTimespanOfCorporateBody.en
rdaa:P50352,rdaa:relatedNomenOfCorporateBody.en
rdaa:P50353,rdaa:relatedCollectiveAgentOfFamily.en
rdaa:P50354,rdaa:relatedPlaceOfFamily.en
rdaa:P50355,rdaa:relatedTimespanOfFamily.en
rdaa:P50356,rdaa:relatedNomenOfFamily.en
rdaa:P50357,rdaa:relatedWorkOfCollectiveAgent.en
