RDA,mapping,DCT
rdae:P20430,has broader,dct:contributor
rdae:P20431,has broader,dct:contributor
rdae:P20432,has broader,dct:contributor
rdae:P20433,has broader,dct:contributor
rdae:P20434,has broader,dct:contributor
rdae:P20435,has broader,dct:contributor
rdae:P20436,has broader,dct:contributor
rdae:P20437,has broader,dct:contributor
rdae:P20438,has broader,dct:contributor
rdae:P20439,has broader,dct:contributor
rdae:P20440,has broader,dct:contributor
rdae:P20441,has broader,dct:contributor
rdae:P20442,has broader,dct:contributor
rdae:P20443,has broader,dct:contributor
rdae:P20444,has broader,dct:contributor
rdae:P20445,has broader,dct:contributor
rdae:P20446,has broader,dct:contributor
rdae:P20447,has broader,dct:contributor
rdae:P20448,has broader,dct:contributor
rdae:P20449,has broader,dct:contributor
rdae:P20450,has broader,dct:contributor
rdae:P20451,has broader,dct:contributor
rdae:P20452,has broader,dct:contributor
rdae:P20453,has broader,dct:contributor
rdae:P20454,has broader,dct:contributor
rdae:P20455,has broader,dct:contributor
rdae:P20456,has broader,dct:contributor
rdae:P20457,has broader,dct:contributor
rdae:P20458,has broader,dct:contributor
rdae:P20459,has broader,dct:contributor
rdae:P20460,has broader,dct:contributor
rdae:P20461,has broader,dct:contributor
rdae:P20462,has broader,dct:contributor
rdae:P20463,has broader,dct:contributor
rdae:P20464,has broader,dct:contributor
rdae:P20465,has broader,dct:contributor
rdae:P20466,has broader,dct:contributor
rdae:P20467,has broader,dct:contributor
rdae:P20468,has broader,dct:contributor
rdae:P20469,has broader,dct:contributor
rdae:P20470,has broader,dct:contributor
rdae:P20471,has broader,dct:contributor
rdae:P20472,has broader,dct:contributor
rdae:P20473,has broader,dct:contributor
rdae:P20474,has broader,dct:contributor
rdae:P20475,has broader,dct:contributor
rdae:P20476,has broader,dct:contributor
rdae:P20477,has broader,dct:contributor
rdae:P20478,has broader,dct:contributor
rdae:P20479,has broader,dct:contributor
rdae:P20480,has broader,dct:contributor
rdae:P20481,has broader,dct:contributor
rdae:P20482,has broader,dct:contributor
rdae:P20483,has broader,dct:contributor
rdae:P20484,has broader,dct:contributor
rdae:P20485,has broader,dct:contributor
rdae:P20486,has broader,dct:contributor
rdae:P20487,has broader,dct:contributor
rdae:P20488,has broader,dct:contributor
rdae:P20489,has broader,dct:contributor
rdae:P20490,has broader,dct:contributor
rdae:P20491,has broader,dct:contributor
rdae:P20492,has broader,dct:contributor
rdae:P20493,has broader,dct:contributor
rdae:P20494,has broader,dct:contributor
rdae:P20495,has broader,dct:contributor
rdae:P20496,has broader,dct:contributor
rdae:P20497,has broader,dct:contributor
rdae:P20498,has broader,dct:contributor
rdae:P20499,has broader,dct:contributor
rdae:P20500,has broader,dct:contributor
rdae:P20501,has broader,dct:contributor
rdae:P20502,has broader,dct:contributor
rdae:P20503,has broader,dct:contributor
rdae:P20504,has broader,dct:contributor
rdae:P20505,has broader,dct:contributor
rdae:P20506,has broader,dct:contributor
rdae:P20507,has broader,dct:contributor
rdae:P20508,has broader,dct:contributor
rdae:P20509,has broader,dct:contributor
rdae:P20510,has broader,dct:contributor
rdae:P20511,has broader,dct:contributor
rdae:P20512,has broader,dct:contributor
rdae:P20513,has broader,dct:contributor
rdae:P20514,has broader,dct:contributor
rdae:P20515,has broader,dct:contributor
rdae:P20516,has broader,dct:contributor
rdae:P20517,has broader,dct:contributor
rdae:P20518,has broader,dct:contributor
rdae:P20519,has broader,dct:contributor
rdae:P20520,has broader,dct:contributor
rdae:P20521,has broader,dct:contributor
rdae:P20522,has broader,dct:contributor
rdae:P20523,has broader,dct:contributor
rdae:P20524,has broader,dct:contributor
rdae:P20525,has broader,dct:contributor
rdae:P20526,has broader,dct:contributor
rdae:P20527,has broader,dct:contributor
rdae:P20528,has broader,dct:contributor
rdae:P20529,has broader,dct:contributor
