Canonical URI,Lexical alias (English)
rdaw:P10232,rdaw:wholePartWorkRelationship.en
rdaw:P10233,rdaw:musicalTheatreAdaptationOfWork.en
rdaw:P10234,rdaw:operaAdaptationOf.en
rdaw:P10235,rdaw:adaptedAsMusicalTheatreWork.en
rdaw:P10236,rdaw:adaptedAsOperaWork.en
rdaw:P10237,rdaw:musicWork.en
rdaw:P10238,rdaw:musicForWork.en
rdaw:P10239,rdaw:videoMusicWork.en
rdaw:P10240,rdaw:musicForVideoWork.en
rdaw:P10241,rdaw:televisionProgramMusicWork.en
rdaw:P10242,rdaw:musicForTelevisionProgramWork.en
rdaw:P10243,rdaw:radioProgramMusicWork.en
rdaw:P10244,rdaw:musicForRadioProgramWork.en
rdaw:P10245,rdaw:musicForMotionPictureWork.en
rdaw:P10246,rdaw:motionPictureMusicWork.en
rdaw:P10247,rdaw:choreographyWork.en
rdaw:P10248,rdaw:choreographyForWork.en
rdaw:P10249,rdaw:adaptedAsVideoGameWork.en
rdaw:P10250,rdaw:videoGameAdaptationOfWork.en
rdaw:P10251,rdaw:adaptedAsGraphicNovelWork.en
rdaw:P10252,rdaw:graphicNovelizationOfWork.en
rdaw:P10253,rdaw:calligrapher.en
rdaw:P10254,rdaw:bookArtist.en
rdaw:P10255,rdaw:rapporteur.en
rdaw:P10256,rdaw:subjectRelationship.en
rdaw:P10257,rdaw:subjectWork.en
rdaw:P10258,rdaw:subjectExpression.en
rdaw:P10259,rdaw:subjectManifestation.en
rdaw:P10260,rdaw:subjectItem.en
rdaw:P10261,rdaw:subjectPerson.en
rdaw:P10262,rdaw:subjectFamily.en
rdaw:P10263,rdaw:subjectCorporateBody.en
rdaw:P10264,rdaw:subjectOfWork.en
rdaw:P10265,rdaw:descriptionOfItem.en
rdaw:P10266,rdaw:analysisOfItem.en
rdaw:P10267,rdaw:evaluationOfItem.en
rdaw:P10268,rdaw:reviewOfItem.en
rdaw:P10269,rdaw:critiqueOfItem.en
rdaw:P10270,rdaw:commentaryOnItem.en
rdaw:P10271,rdaw:descriptionOfManifestation.en
rdaw:P10272,rdaw:analysisOfManifestation.en
rdaw:P10273,rdaw:evaluationOfManifestation.en
rdaw:P10274,rdaw:reviewOfManifestation.en
rdaw:P10275,rdaw:critiqueOfManifestation.en
rdaw:P10276,rdaw:commentaryOnManifestation.en
rdaw:P10277,rdaw:descriptionOfExpression.en
rdaw:P10278,rdaw:analysisOfExpression.en
rdaw:P10279,rdaw:evaluationOfExpression.en
rdaw:P10280,rdaw:reviewOfExpression.en
rdaw:P10281,rdaw:critiqueOfExpression.en
rdaw:P10282,rdaw:commentaryOnExpression.en
rdaw:P10283,rdaw:SubjectRelationshipOf.en
rdaw:P10284,rdaw:degreeCommitteeMember.en
rdaw:P10285,rdaw:defendantCorporateBody.en
rdaw:P10286,rdaw:defendantPerson.en
rdaw:P10287,rdaw:commissioningBody.en
rdaw:P10288,rdaw:oratorioAdaptationWork.en
rdaw:P10289,rdaw:adaptedAsOratorioWork.en
rdaw:P10290,rdaw:inspiredBy.en
rdaw:P10291,rdaw:inspirationFor.en
rdaw:P10292,rdaw:participantInATreaty.en
rdaw:P10293,rdaw:researcher.en
rdaw:P10294,rdaw:commemoration.en
rdaw:P10295,rdaw:commemorationOf.en
rdaw:P10296,rdaw:referentialWorkRelationship.en
rdaw:P10297,rdaw:organizer.en
rdaw:P10298,rdaw:editorialDirector.en
rdaw:P10299,rdaw:founderOfWork.en
rdaw:P10300,rdaw:latitude.en
rdaw:P10301,rdaw:longitude.en
rdaw:P10302,rdaw:rightAscension.en
rdaw:P10303,rdaw:declination.en
rdaw:P10304,rdaw:audioProducer.en
rdaw:P10305,rdaw:castingDirector.en
rdaw:P10306,rdaw:remixArtist.en
rdaw:P10307,rdaw:relatedEntityWork.en
rdaw:P10308,rdaw:relatedExpressionWork.en
rdaw:P10309,rdaw:relatedManifestationWork.en
rdaw:P10310,rdaw:relatedItemWork.en
rdaw:P10311,rdaw:relatedAgentWork.en
rdaw:P10312,rdaw:relatedPersonWork.en
rdaw:P10313,rdaw:relatedFamilyWork.en
rdaw:P10314,rdaw:relatedCorporateBodyWork.en
rdaw:P10315,rdaw:relatedCollectiveAgentWork.en
rdaw:P10316,rdaw:relatedPlaceWork.en
rdaw:P10317,rdaw:relatedTimespanWork.en
rdaw:P10318,rdaw:relatedNomenWork.en
rdaw:P10319,rdaw:subjectAgent.en
rdaw:P10320,rdaw:subjectCollectiveAgent.en
rdaw:P10321,rdaw:subjectPlace.en
rdaw:P10322,rdaw:subjectTimespan.en
rdaw:P10323,rdaw:subjectNomen.en
