rdau:P60166,rdau:parallelPlaceOfProduction,,,,,,,,,,,,,
rdau:P60167,rdau:parallelPlaceOfPublication,,,,,,,,,,,,,
rdau:P60168,rdau:reprintOf,,,,,,,,,,,,,
rdau:P60169,rdau:filmProducer,,,,,,,,,,,,,
rdau:P60170,rdau:radioProducer,,,,,,,,,,,,,
rdau:P60171,rdau:televisionProducer,,,,,,,,,,,,,
rdau:P60172,rdau:parallelProducersName,,,,,,,,,,,,,
rdau:P60173,rdau:parallelPublishersName,,,,,,,,,,,,,
rdau:P60174,rdau:adaptedAsARadioProgram,,,,,,,,,,,,,
rdau:P60175,rdau:academicDegree,,,,,,,,,,,,,
rdau:P60176,rdau:custodialHistoryOfResource,,,,,,,,,,,,,
rdau:P60177,rdau:abstractedIn,,,,,,,,,,,,,
rdau:P60178,rdau:indexedIn,,,,,,,,,,,,,
rdau:P60179,rdau:preservationFacsimile,,,,,,,,,,,,,
rdau:P60180,rdau:choreography,,,,,,,,,,,,,
rdau:P60181,rdau:errata,,,,,,,,,,,,,
rdau:P60182,rdau:illustrations,,,,,,,,,,,,,
rdau:P60183,rdau:insert,,,,,,,,,,,,,
rdau:P60184,rdau:adaptedAsAMotionPictureScreenplay,,,,,,,,,,,,,
rdau:P60185,rdau:adaptedAsAScreenplay,,,,,,,,,,,,,
rdau:P60186,rdau:adaptedAsATelevisionScreenplay,,,,,,,,,,,,,
rdau:P60187,rdau:adaptedAsAVideoScreenplay,,,,,,,,,,,,,
rdau:P60188,rdau:adaptedAsARadioScript,,,,,,,,,,,,,
rdau:P60189,rdau:freelyTranslatedAs,,,,,,,,,,,,,
rdau:P60190,rdau:descriptionOf,,,,,,,,,,,,,
rdau:P60191,rdau:equivalent,,,,,,,,,,,,,
rdau:P60192,rdau:subseriesOf,,,,,,,,,,,,,
rdau:P60193,rdau:inSeries,,,,,,,,,,,,,
rdau:P60194,rdau:insertedIn,,,,,,,,,,,,,
rdau:P60195,rdau:alsoIssuedAs,,,,,,,,,,,,,
rdau:P60196,rdau:accompaniedBy,,,,,,,,,,,,,
rdau:P60197,rdau:mirrorSite,,,,,,,,,,,,,
rdau:P60198,rdau:complementedBy,,,,,,,,,,,,,
rdau:P60199,rdau:continuedInPartBy,,,,,,,,,,,,,
rdau:P60200,rdau:digitalTransfer,,,,,,,,,,,,,
rdau:P60201,rdau:screenplayFor,,,,,,,,,,,,,
rdau:P60202,rdau:incidentalMusicFor,,,,,,,,,,,,,
rdau:P60203,rdau:abstract,,,,,,,,,,,,,
rdau:P60204,rdau:augmentedBy,,,,,,,,,,,,,
rdau:P60205,rdau:summary,,,,,,,,,,,,,
rdau:P60206,rdau:catalogue,,,,,,,,,,,,,
rdau:P60207,rdau:specialIssue,,,,,,,,,,,,,
rdau:P60208,rdau:concordance,,,,,,,,,,,,,
rdau:P60209,rdau:addenda,,,,,,,,,,,,,
rdau:P60210,rdau:basisForLibretto,,,,,,,,,,,,,
rdau:P60211,rdau:reviewedIn,,,,,,,,,,,,,
rdau:P60212,rdau:critiquedIn,,,,,,,,,,,,,
rdau:P60213,rdau:commentaryIn,,,,,,,,,,,,,
rdau:P60214,rdau:imitatedAs,,,,,,,,,,,,,
rdau:P60215,rdau:describedIn,,,,,,,,,,,,,
rdau:P60216,rdau:expandedAs,,,,,,,,,,,,,
rdau:P60217,rdau:facsimile,,,,,,,,,,,,,
rdau:P60218,rdau:evaluatedIn,,,,,,,,,,,,,
rdau:P60219,rdau:analysedIn,,,,,,,,,,,,,
rdau:P60220,rdau:prequel,,,,,,,,,,,,,
rdau:P60221,rdau:appendix,,,,,,,,,,,,,
rdau:P60222,rdau:guide,,,,,,,,,,,,,
rdau:P60223,rdau:abridgementOf,,,,,,,,,,,,,
rdau:P60224,rdau:abstractOf,,,,,,,,,,,,,
rdau:P60225,rdau:dramatizationOf,,,,,,,,,,,,,
rdau:P60226,rdau:verseAdaptationOf,,,,,,,,,,,,,
rdau:P60227,rdau:motionPictureAdaptationOf,,,,,,,,,,,,,
rdau:P60228,rdau:novelizationOf,,,,,,,,,,,,,
rdau:P60229,rdau:radioAdaptationOf,,,,,,,,,,,,,
rdau:P60230,rdau:televisionAdaptationOf,,,,,,,,,,,,,
rdau:P60231,rdau:screenplayBasedOn,,,,,,,,,,,,,
rdau:P60232,rdau:motionPictureScreenplayBasedOn,,,,,,,,,,,,,
rdau:P60233,rdau:televisionScreenplayBasedOn,,,,,,,,,,,,,
rdau:P60234,rdau:videoScreenplayBasedOn,,,,,,,,,,,,,
rdau:P60235,rdau:radioScriptBasedOn,,,,,,,,,,,,,
rdau:P60236,rdau:videoAdaptationOf,,,,,,,,,,,,,
rdau:P60237,rdau:boundWith,,,,,,,,,,,,,
rdau:P60238,rdau:digestOf,,,,,,,,,,,,,
rdau:P60239,rdau:analysisOf,,,,,,,,,,,,,
rdau:P60240,rdau:seriesContainerOf,,,,,,,,,,,,,
rdau:P60241,rdau:adaptationOf,,,,,,,,,,,,,
