Canonical URI,Lexical alias (English)
rdam:P30184,rdam:configurationOfPlaybackChannels.en
rdam:P30185,rdam:tapeConfiguration.en
rdam:P30186,rdam:mount.en
rdam:P30187,rdam:productionMethod.en
rdam:P30191,rdam:generation.en
rdam:P30196,rdam:polarity.en
rdam:P30197,rdam:bookFormat.en
rdam:P30198,rdam:reductionRatio.en
rdam:P30199,rdam:fontSize.en
rdam:P30200,rdam:projectionSpeed.en
rdam:P30201,rdam:playingSpeed.en
rdam:P30202,rdam:encodedBitrate.en
rdam:P30203,rdam:parallelTitleProper.en
rdam:P30204,rdam:parallelTitleProperOfSeries.en
rdam:P30205,rdam:parallelTitleProperOfSubseries.en
rdam:P30206,rdam:recordingMedium.en
rdam:P30208,rdam:baseMaterial.en
rdam:P30209,rdam:keyTitle.en
rdam:P30210,rdam:accompanyingManifestationRelationship.en
rdam:P30212,rdam:equivalentManifestationRelationship.en
rdam:P30213,rdam:wholePartManifestationRelationship.en
rdam:P30214,rdam:noteOnCarrier.en
rdam:P30215,rdam:papermaker.en
rdam:P30216,rdam:detailsOfAppliedMaterial.en
rdam:P30217,rdam:detailsOfBaseMaterial.en
rdam:P30218,rdam:detailsOfBookFormat.en
rdam:P30219,rdam:detailsOfBroadcastStandard.en
rdam:P30220,rdam:detailsOfConfigurationOfPlaybackChannels.en
rdam:P30221,rdam:detailsOfDigitalFileCharacteristic.en
rdam:P30222,rdam:detailsOfDigitalRepresentationOfCartographicContent.en
rdam:P30223,rdam:detailsOfEmulsionOnMicrofilmAndMicrofiche.en
rdam:P30224,rdam:detailsOfEncodingFormat.en
rdam:P30225,rdam:detailsOfFileType.en
rdam:P30226,rdam:detailsOfFontSize.en
rdam:P30232,rdam:detailsOfGrooveCharacteristic.en
rdam:P30233,rdam:detailsOfLayout.en
rdam:P30234,rdam:detailsOfMount.en
rdam:P30235,rdam:detailsOfPlayingSpeed.en
rdam:P30236,rdam:detailsOfPolarity.en
rdam:P30237,rdam:detailsOfPresentationFormat.en
rdam:P30238,rdam:detailsOfProductionMethod.en
rdam:P30241,rdam:detailsOfProjectionCharacteristicOfMotionPictureFilm.en
rdam:P30242,rdam:detailsOfProjectionSpeed.en
rdam:P30243,rdam:detailsOfRecordingMedium.en
rdam:P30244,rdam:detailsOfReductionRatioDesignation.en
rdam:P30245,rdam:detailsOfSoundCharacteristic.en
rdam:P30246,rdam:detailsOfSpecialPlaybackCharacteristic.en
rdam:P30247,rdam:detailsOfTapeConfiguration.en
rdam:P30248,rdam:detailsOfTrackConfiguration.en
rdam:P30249,rdam:detailsOfTypeOfRecording.en
rdam:P30250,rdam:detailsOfVideoCharacteristic.en
rdam:P30251,rdam:detailsOfVideoFormat.en
rdam:P30252,rdam:detailsOfGeneration.en
rdam:P30253,rdam:subjectOfManifestation.en
rdam:P30254,rdam:describedInManifestation.en
rdam:P30255,rdam:analysedInManifestation.en
rdam:P30256,rdam:commentaryInManifestation.en
rdam:P30257,rdam:critiquedInManifestation.en
rdam:P30258,rdam:evaluatedInManifestation.en
rdam:P30259,rdam:reviewedInManifestation.en
rdam:P30260,rdam:noteOnIdentifierForTheManifestation.en
rdam:P30261,rdam:cartographicDataType.en
rdam:P30262,rdam:detailsOfCartographicDataType.en
rdam:P30263,rdam:reductionRatioDesignation.en
rdam:P30264,rdam:relatedEntityManifestation.en
rdam:P30265,rdam:relatedWorkManifestation.en
rdam:P30266,rdam:relatedExpressionManifestation.en
rdam:P30267,rdam:relatedAgentManifestation.en
rdam:P30268,rdam:relatedPersonManifestation.en
rdam:P30269,rdam:relatedFamilyManifestation.en
rdam:P30270,rdam:relatedCorporateBodyManifestation.en
rdam:P30271,rdam:relatedCollectiveAgentManifestation.en
rdam:P30272,rdam:relatedPlaceManifestation.en
rdam:P30273,rdam:relatedTimespanManifestation.en
rdam:P30274,rdam:relatedNomenManifestation.en
