*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],inverseOf,*status,owl:propertyChainAxiom
has producer family,rdawo:producerFamily.en,rdawo:P10595,property,rdac:C10001,rdac:C10008,rdaw:P10595,rdawo:P10578,rdawo:P10501,rdaao:P51003,Published,
has director family,rdawo:directorFamily.en,rdawo:P10596,property,rdac:C10001,rdac:C10008,rdaw:P10596,rdawo:P10578,rdawo:P10502,rdaao:P51014,Published,
has issuing family,rdawo:issuingFamily.en,rdawo:P10597,property,rdac:C10001,rdac:C10008,rdaw:P10597,rdawo:P10313,rdawo:P10503,rdaao:P50999,Published,
has organizer family,rdawo:organizerFamily.en,rdawo:P10598,property,rdac:C10001,rdac:C10008,rdaw:P10598,rdawo:P10578,rdawo:P10504,rdaao:P51007,Published,
has consultant family,rdawo:consultantFamily.en,rdawo:P10599,property,rdac:C10001,rdac:C10008,rdaw:P10599,rdawo:P10578,rdawo:P10505,rdaao:P51009,Published,
is description of nomen,rdawo:descriptionOfNomen.en,rdawo:P10600,property,rdac:C10001,rdac:C10012,rdaw:P10600,rdawo:P10323,rdawo:P10360,rdano:P80178,Published,
is description of place,rdawo:descriptionOfPlace.en,rdawo:P10601,property,rdac:C10001,rdac:C10009,rdaw:P10601,rdawo:P10321,rdawo:P10360,rdapo:P70054,Published,
is description of timespan,rdawo:descriptionOfTimespan.en,rdawo:P10602,property,rdac:C10001,rdac:C10010,rdaw:P10602,rdawo:P10322,rdawo:P10360,rdato:P70060,Published,
has sponsoring collective agent of work,rdawo:sponsoringCollectiveAgentOfWork.en,rdawo:P10604,property,rdac:C10001,rdac:C10011,rdaw:P10604,rdawo:P10315,rdawo:P10067,rdaao:P51100,Published,
has sponsoring corporate body of work,rdawo:sponsoringCorporateBodyOfWork.en,rdawo:P10605,property,rdac:C10001,rdac:C10005,rdaw:P10605,rdawo:P10314,rdawo:P10604,rdaao:P51101,Published,
has sponsoring family of work,rdawo:sponsoringFamilyOfWork.en,rdawo:P10606,property,rdac:C10001,rdac:C10008,rdaw:P10606,rdawo:P10313,rdawo:P10604,rdaao:P51102,Published,
has sponsoring person of work,rdawo:sponsoringPersonOfWork.en,rdawo:P10607,property,rdac:C10001,rdac:C10004,rdaw:P10607,rdawo:P10312,rdawo:P10067,rdaao:P51103,Published,
is metadata description of agent,rdawo:metadataDescriptionOfAgent.en,rdawo:P10610,property,rdac:C10001,rdac:C10002,rdaw:P10610,rdawo:P10338,,rdaao:P51108,Published,
is metadata description of collective agent,rdawo:metadataDescriptionOfCollectiveAgent.en,rdawo:P10611,property,rdac:C10001,rdac:C10011,rdaw:P10611,rdawo:P10339,rdawo:P10610,rdaao:P51109,Published,
is metadata description of corporate body,rdawo:metadataDescriptionOfCorporateBody.en,rdawo:P10612,property,rdac:C10001,rdac:C10005,rdaw:P10612,rdawo:P10326,rdawo:P10611,rdaao:P51110,Published,
is metadata description of family,rdawo:metadataDescriptionOfFamily.en,rdawo:P10613,property,rdac:C10001,rdac:C10008,rdaw:P10613,rdawo:P10327,rdawo:P10611,rdaao:P51111,Published,
is metadata description of person,rdawo:metadataDescriptionOfPerson.en,rdawo:P10614,property,rdac:C10001,rdac:C10004,rdaw:P10614,rdawo:P10325,rdawo:P10610,rdaao:P51112,Published,
is metadata description of expression,rdawo:metadataDescriptionOfExpression.en,rdawo:P10615,property,rdac:C10001,rdac:C10006,rdaw:P10615,rdawo:P10277,,rdaeo:P20576,Published,
is metadata description of item,rdawo:metadataDescriptionOfItem.en,rdawo:P10616,property,rdac:C10001,rdac:C10003,rdaw:P10616,rdawo:P10265,,rdaio:P40164,Published,
is metadata description of manifestation,rdawo:metadataDescriptionOfManifestation.en,rdawo:P10617,property,rdac:C10001,rdac:C10007,rdaw:P10617,rdawo:P10271,,rdamo:P30462,Published,
is metadata description of nomen,rdawo:metadataDescriptionOfNomen.en,rdawo:P10618,property,rdac:C10001,rdac:C10012,rdaw:P10618,rdawo:P10600,,rdano:P80188,Published,
is metadata description of place,rdawo:metadataDescriptionOfPlace.en,rdawo:P10619,property,rdac:C10001,rdac:C10009,rdaw:P10619,rdawo:P10601,,rdapo:P70057,Published,
