*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has creator corporate body of manifestation,rdamd:creatorCorporateBodyOfManifestation.en,rdamd:P30421,property,rdac:C10007,rdam:P30421,rdamd:P30270,rdamd:P30392,Published
has creator family of manifestation,rdamd:creatorFamilyOfManifestation.en,rdamd:P30450,property,rdac:C10007,rdam:P30450,rdamd:P30269,rdamd:P30392,Published
has creator person of manifestation,rdamd:creatorPersonOfManifestation.en,rdamd:P30363,property,rdac:C10007,rdam:P30363,rdamd:P30268,rdamd:P30329,Published
has date of distribution,rdamd:dateOfDistribution.en,rdamd:P30008,property,rdac:C10007,rdam:P30008,rdamd:P30278,,Published
has date of manifestation,rdamd:dateOfManifestation.en,rdamd:P30278,property,rdac:C10007,rdam:P30278,rdamd:P30273,,Published
has date of manufacture,rdamd:dateOfManufacture.en,rdamd:P30010,property,rdac:C10007,rdam:P30010,rdamd:P30278,,Published
has date of production,rdamd:dateOfProduction.en,rdamd:P30009,property,rdac:C10007,rdam:P30009,rdamd:P30278,,Published
has date of publication,rdamd:dateOfPublication.en,rdamd:P30011,property,rdac:C10007,rdam:P30011,rdamd:P30278,,Published
has designation of edition,rdamd:designationOfEdition.en,rdamd:P30133,property,rdac:C10007,rdam:P30133,,,Published
has designation of named revision of edition,rdamd:designationOfNamedRevisionOfEdition.en,rdamd:P30132,property,rdac:C10007,rdam:P30132,,,Published
has details of applied material,rdamd:detailsOfAppliedMaterial.en,rdamd:P30216,property,rdac:C10007,rdam:P30216,,,Published
has details of base material,rdamd:detailsOfBaseMaterial.en,rdamd:P30217,property,rdac:C10007,rdam:P30217,,,Published
has details of bibliographic format,rdamd:detailsOfBibliographicFormat.en,rdamd:P30218,property,rdac:C10007,rdam:P30218,,,Published
has details of broadcast standard,rdamd:detailsOfBroadcastStandard.en,rdamd:P30219,property,rdac:C10007,rdam:P30219,rdamd:P30250,,Published
has details of cartographic data type,rdamd:detailsOfCartographicDataType.en,rdamd:P30262,property,rdac:C10007,rdam:P30262,,,Published
has details of configuration of playback channels,rdamd:detailsOfConfigurationOfPlaybackChannels.en,rdamd:P30220,property,rdac:C10007,rdam:P30220,rdamd:P30245,,Published
has details of digital file characteristic,rdamd:detailsOfDigitalFileCharacteristic.en,rdamd:P30221,property,rdac:C10007,rdam:P30221,,,Published
has details of digital representation of cartographic content,rdamd:detailsOfDigitalRepresentationOfCartographicContent.en,rdamd:P30222,property,rdac:C10007,rdam:P30222,rdamd:P30221,,Published
has details of emulsion on microfilm and microfiche,rdamd:detailsOfEmulsionOnMicrofilmAndMicrofiche.en,rdamd:P30223,property,rdac:C10007,rdam:P30223,rdamd:P30216,,Published
has details of encoding format,rdamd:detailsOfEncodingFormat.en,rdamd:P30224,property,rdac:C10007,rdam:P30224,rdamd:P30221,,Published
has details of file type,rdamd:detailsOfFileType.en,rdamd:P30225,property,rdac:C10007,rdam:P30225,rdamd:P30221,,Published
has details of font size,rdamd:detailsOfFontSize.en,rdamd:P30226,property,rdac:C10007,rdam:P30226,,,Published
has details of generation,rdamd:detailsOfGeneration.en,rdamd:P30252,property,rdac:C10007,rdam:P30252,,,Published
has details of groove characteristic,rdamd:detailsOfGrooveCharacteristic.en,rdamd:P30232,property,rdac:C10007,rdam:P30232,rdamd:P30245,,Published
has details of layout,rdamd:detailsOfLayout.en,rdamd:P30233,property,rdac:C10007,rdam:P30233,,,Published
has details of mount,rdamd:detailsOfMount.en,rdamd:P30234,property,rdac:C10007,rdam:P30234,,,Published
has details of playing speed,rdamd:detailsOfPlayingSpeed.en,rdamd:P30235,property,rdac:C10007,rdam:P30235,,,Published
has details of polarity,rdamd:detailsOfPolarity.en,rdamd:P30236,property,rdac:C10007,rdam:P30236,,,Published
has details of presentation format,rdamd:detailsOfPresentationFormat.en,rdamd:P30237,property,rdac:C10007,rdam:P30237,,,Published
has details of production method,rdamd:detailsOfProductionMethod.en,rdamd:P30238,property,rdac:C10007,rdam:P30238,,,Published
has details of projection characteristic of motion picture film,rdamd:detailsOfProjectionCharacteristicOfMotionPictureFilm.en,rdamd:P30241,property,rdac:C10007,rdam:P30241,,,Published
has details of projection speed,rdamd:detailsOfProjectionSpeed.en,rdamd:P30242,property,rdac:C10007,rdam:P30242,rdamd:P30241,,Published
has details of recording medium,rdamd:detailsOfRecordingMedium.en,rdamd:P30243,property,rdac:C10007,rdam:P30243,rdamd:P30245,,Published
has details of reduction ratio designation,rdamd:detailsOfReductionRatioDesignation.en,rdamd:P30244,property,rdac:C10007,rdam:P30244,,,Published
has details of regional encoding,rdamd:detailsOfRegionalEncoding.en,rdamd:P30275,property,rdac:C10007,rdam:P30275,rdamd:P30221,,Published
has details of sound characteristic,rdamd:detailsOfSoundCharacteristic.en,rdamd:P30245,property,rdac:C10007,rdam:P30245,,,Published
has details of special playback characteristic,rdamd:detailsOfSpecialPlaybackCharacteristic.en,rdamd:P30246,property,rdac:C10007,rdam:P30246,rdamd:P30245,,Published
has details of tape configuration,rdamd:detailsOfTapeConfiguration.en,rdamd:P30247,property,rdac:C10007,rdam:P30247,rdamd:P30245,,Published
has details of track configuration,rdamd:detailsOfTrackConfiguration.en,rdamd:P30248,property,rdac:C10007,rdam:P30248,rdamd:P30245,,Published
has details of type of recording,rdamd:detailsOfTypeOfRecording.en,rdamd:P30249,property,rdac:C10007,rdam:P30249,rdamd:P30245,,Published
has details of video characteristic,rdamd:detailsOfVideoCharacteristic.en,rdamd:P30250,property,rdac:C10007,rdam:P30250,,,Published
has details of video format,rdamd:detailsOfVideoFormat.en,rdamd:P30251,property,rdac:C10007,rdam:P30251,rdamd:P30250,,Published
has digital file characteristic,rdamd:digitalFileCharacteristic.en,rdamd:P30124,property,rdac:C10007,rdam:P30124,,,Published
has digital representation of cartographic content,rdamd:digitalRepresentationOfCartographicContent.en,rdamd:P30102,property,rdac:C10007,rdam:P30102,rdamd:P30124,,Published
has digital transfer of manifestation,rdamd:digitalTransferManifestation.en,rdamd:P30029,property,rdac:C10007,rdam:P30029,rdamd:P30039,,Published
is digital transfer of item of,rdamd:digitalTransferOfItemOf.en,rdamd:P30298,property,rdac:C10007,rdam:P30298,rdamd:P30303,,Published
is digital transfer of manifestation of,rdamd:digitalTransferOfManifestationOf.en,rdamd:P30040,property,rdac:C10007,rdam:P30040,rdamd:P30043,,Published
has dimensions,rdamd:dimensions.en,rdamd:P30169,property,rdac:C10007,rdam:P30169,,,Published
has dimensions of cartographic image,rdamd:dimensionsOfCartographicImage.en,rdamd:P30170,property,rdac:C10007,rdam:P30170,rdamd:P30171,,Published
has dimensions of still image,rdamd:dimensionsOfStillImage.en,rdamd:P30171,property,rdac:C10007,rdam:P30171,rdamd:P30169,,Published
has distribution statement,rdamd:distributionStatement.en,rdamd:P30108,property,rdac:C10007,rdam:P30108,,,Published
has distributor agent,rdamd:distributorAgent.en,rdamd:P30080,property,rdac:C10007,rdam:P30080,rdamd:P30267,,Published
has distributor collective agent,rdamd:distributorCollectiveAgent.en,rdamd:P30388,property,rdac:C10007,rdam:P30388,rdamd:P30271,rdamd:P30080,Published
has distributor corporate body,rdamd:distributorCorporateBody.en,rdamd:P30417,property,rdac:C10007,rdam:P30417,rdamd:P30270,rdamd:P30388,Published
has distributor family,rdamd:distributorFamily.en,rdamd:P30446,property,rdac:C10007,rdam:P30446,rdamd:P30269,rdamd:P30388,Published
has distributor person,rdamd:distributorPerson.en,rdamd:P30359,property,rdac:C10007,rdam:P30359,rdamd:P30268,rdamd:P30080,Published
has edition statement,rdamd:editionStatement.en,rdamd:P30107,property,rdac:C10007,rdam:P30107,,,Published
is electronic reproduction of item of,rdamd:electronicReproductionOfItemOf.en,rdamd:P30299,property,rdac:C10007,rdam:P30299,rdamd:P30303,,Published
has electronic reproduction of manifestation,rdamd:electronicReproductionOfManifestation.en,rdamd:P30016,property,rdac:C10007,rdam:P30016,rdamd:P30039,,Published
is electronic reproduction of manifestation of,rdamd:electronicReproductionOfManifestationOf.en,rdamd:P30136,property,rdac:C10007,rdam:P30136,rdamd:P30043,,Published
has emulsion on microfilm and microfiche,rdamd:emulsionOnMicrofilmAndMicrofiche.en,rdamd:P30122,property,rdac:C10007,rdam:P30122,rdamd:P30084,,Published
has encoded bitrate,rdamd:encodedBitrate.en,rdamd:P30202,property,rdac:C10007,rdam:P30202,rdamd:P30124,,Published
has encoding format,rdamd:encodingFormat.en,rdamd:P30096,property,rdac:C10007,rdam:P30096,rdamd:P30124,,Published
has engraver agent,rdamd:engraverAgent.en,rdamd:P30070,property,rdac:C10007,rdam:P30070,rdamd:P30082,,Published
