*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,hasUnconstrained,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type
has collection registrar collective agent,rdai:collectionRegistrarCollectiveAgent.en,Relates an item to a collective agent who is a curator who lists or inventories items in a collection aggregate.,,,,collection registrar collective agent,A collective agent who is a curator who lists or inventories items in a collection aggregate.,rdai:P40122,property,rdac:C10003,rdau:P60067,rdai:P40115,rdai:P40005,,Published,,2
has depositor collective agent,rdai:depositorCollectiveAgent.en,Relates an item to a collective agent who is a current owner of an item who deposits the item into the custody of another agent without transferring ownership.,,,,depositor collective agent,A collective agent who is a current owner of an item who deposits the item into the custody of another agent without transferring ownership.,rdai:P40123,property,rdac:C10003,rdau:P60068,rdai:P40117,rdai:P40006,,Published,,2
has donor collective agent,rdai:donorCollectiveAgent.en,Relates an item to a collective agent who is a former owner of an item who donates the item to another owner.,,,,donor collective agent,A collective agent who is a former owner of an item who donates the item to another owner.,rdai:P40124,property,rdac:C10003,rdau:P60091,rdai:P40118,rdai:P40007,,Published,,2
has seller collective agent,rdai:sellerCollectiveAgent.en,Relates an item to a collective agent who is a former owner of an item who sells the item to another owner.,,,,seller collective agent,A collective agent who is a former owner of an item who sells the item to another owner.,rdai:P40125,property,rdac:C10003,rdau:P60092,rdai:P40118,rdai:P40008,,Published,,2
has related collective agent of item,rdai:relatedCollectiveAgentOfItem.en,Relates an item to a collective agent who is associated with an item.,,,,related collective agent of item,A collective agent who is associated with an item.,rdai:P40076,property,rdac:C10003,rdau:P61008,rdai:P40072,rdax:P00012,,Published,,1
has honouree collective agent of item,rdai:honoureeCollectiveAgentOfItem.en,Relates an item to a collective agent who is honoured by an item.,,,,honouree collective agent of item,A collective agent who is honoured by an item.,rdai:P40126,property,rdac:C10003,rdau:P60406,rdai:P40076,rdai:P40022,,Published,,2
has restorationist collective agent of item,rdai:restorationistCollectiveAgentOfItem.en,"Relates an item to a collective agent who is responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition.",,,,restorationist collective agent of item,"A collective agent who is responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition.",rdai:P40127,property,rdac:C10003,rdau:P60450,rdai:P40128,rdai:P40024,,Published,,2
has modifier collective agent,rdai:modifierCollectiveAgent.en,Relates an item to a collective agent that makes changes to an item without creating a new manifestation.,,,,modifier collective agent,A collective agent who makes changes to an item without creating a new manifestation.,rdai:P40128,property,rdac:C10003,rdau:P61031,rdai:P40076,rdai:P40093,,Published,,2
has dedicatee corporate body of item,rdai:dedicateeCorporateBodyOfItem.en,Relates an item to a corporate body to whom an item is dedicated.,,,,dedicatee corporate body of item,A corporate body to whom an item is dedicated.,rdai:P40129,property,rdac:C10003,rdau:P60455,rdai:P40075,rdai:P40113,,Published,,2
has binder corporate body,rdai:binderCorporateBody.en,Relates an item to a corporate body who binds an item.,,,,binder corporate body,A corporate body who binds an item.,rdai:P40130,property,rdac:C10003,rdau:P60458,rdai:P40144,rdai:P40114,,Published,,2
has curator corporate body,rdai:curatorCorporateBody.en,Relates an item to a corporate body who conceives or manages the aggregation of an item in an exhibition or collection.,,,,curator corporate body,A corporate body who conceives or manages the aggregation of an item in an exhibition or collection.,rdai:P40131,property,rdac:C10003,rdau:P60376,rdai:P40075,rdai:P40115,,Published,,2
has illuminator corporate body,rdai:illuminatorCorporateBody.en,"Relates an item to a corporate body who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",,,,illuminator corporate body,"A corporate body who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",rdai:P40132,property,rdac:C10003,rdau:P60421,rdai:P40144,rdai:P40116,,Published,,2
has current owner corporate body,rdai:currentOwnerCorporateBody.en,Relates an item to a corporate body who has current legal possession of an item.,,,,current owner corporate body,A corporate body who has current legal possession of an item.,rdai:P40133,property,rdac:C10003,rdau:P60400,rdai:P40136,rdai:P40117,,Published,,2
has owner corporate body,rdai:ownerCorporateBody.en,Relates an item to a corporate body who has current or former legal possession of an item.,,,,owner corporate body,A corporate body who has current or former legal possession of an item.,rdai:P40136,property,rdac:C10003,rdau:P60404,rdai:P40075,rdai:P40120,,Published,,2
has former owner corporate body,rdai:formerOwnerCorporateBody.en,Relates an item to a corporate body who has former legal possession of an item.,,,,former owner corporate body,A corporate body who has former legal possession of an item.,rdai:P40134,property,rdac:C10003,rdau:P60401,rdai:P40136,rdai:P40118,,Published,,2
has custodian corporate body,rdai:custodianCorporateBody.en,Relates an item to a corporate body who has legal custody of an item.,,,,custodian corporate body,A corporate body who has legal custody of an item.,rdai:P40135,property,rdac:C10003,rdau:P60402,rdai:P40075,rdai:P40119,,Published,,2
has collector corporate body,rdai:collectorCorporateBody.en,"Relates an item to a corporate body who is a curator who brings together items from various sources that are arranged, described, or catalogued as a collection.",,,,collector corporate body,"A corporate body who is a curator who brings together items from various sources that are arranged, described, or catalogued as a collection.",rdai:P40137,property,rdac:C10003,rdau:P60066,rdai:P40131,rdai:P40121,,Published,,2
has collection registrar corporate body,rdai:collectionRegistrarCorporateBody.en,Relates an item to a corporate body who is a curator who lists or inventories items in a collection aggregate.,,,,collection registrar corporate body,A corporate body who is a curator who lists or inventories items in a collection aggregate.,rdai:P40138,property,rdac:C10003,rdau:P60067,rdai:P40131,rdai:P40122,,Published,,2
has depositor corporate body,rdai:depositorCorporateBody.en,Relates an item to a corporate body who is a current owner of an item who deposits the item into the custody of another agent without transferring ownership.,,,,depositor corporate body,A corporate body who is a current owner of an item who deposits the item into the custody of another agent without transferring ownership.,rdai:P40139,property,rdac:C10003,rdau:P60068,rdai:P40133,rdai:P40123,,Published,,2
has donor corporate body,rdai:donorCorporateBody.en,Relates an item to a corporate body who is a former owner of an item who donates the item to another owner.,,,,donor corporate body,A corporate body who is a former owner of an item who donates the item to another owner.,rdai:P40140,property,rdac:C10003,rdau:P60091,rdai:P40134,rdai:P40124,,Published,,2
has seller corporate body,rdai:sellerCorporateBody.en,Relates an item to a corporate body who is a former owner of an item who sells the item to another owner.,,,,seller corporate body,A corporate body who is a former owner of an item who sells the item to another owner.,rdai:P40141,property,rdac:C10003,rdau:P60092,rdai:P40134,rdai:P40125,,Published,,2
has related corporate body of item,rdai:relatedCorporateBodyOfItem.en,Relates an item to a corporate body who is associated with an item.,,,,related corporate body of item,A corporate body who is associated with an item.,rdai:P40075,property,rdac:C10003,rdau:P61008,rdai:P40076,rdax:P00009,,Published,,1
has honouree corporate body of item,rdai:honoureeCorporateBodyOfItem.en,Relates an item to a corporate body who is honoured by an item.,,,,honouree corporate body of item,A corporate body who is honoured by an item.,rdai:P40142,property,rdac:C10003,rdau:P60406,rdai:P40075,rdai:P40126,,Published,,2
has restorationist corporate body of item,rdai:restorationistCorporateBodyOfItem.en,"Relates an item to a corporate body who is responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition.",,,,restorationist corporate body of item,"A corporate body who is responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition.",rdai:P40143,property,rdac:C10003,rdau:P60450,rdai:P40144,rdai:P40127,,Published,,2
has modifier corporate body,rdai:modifierCorporateBody.en,Relates an item to a corporate body that makes changes to an item without creating a new manifestation.,,,,modifier corporate body,A corporate body who makes changes to an item without creating a new manifestation.,rdai:P40144,property,rdac:C10003,rdau:P61031,rdai:P40075,rdai:P40128,,Published,,2
has dedicatee family of item,rdai:dedicateeFamilyOfItem.en,Relates an item to a family to whom an item is dedicated.,,,,dedicatee family of item,A family to whom an item is dedicated.,rdai:P40145,property,rdac:C10003,rdau:P60455,rdai:P40074,rdai:P40113,,Published,,2
has binder family,rdai:binderFamily.en,Relates an item to a family who binds an item.,,,,binder family,A family who binds an item.,rdai:P40146,property,rdac:C10003,rdau:P60458,rdai:P40160,rdai:P40114,,Published,,2
has curator family,rdai:curatorFamily.en,Relates an item to a family who conceives or manages the aggregation of an item in an exhibition or collection.,,,,curator family,A family who conceives or manages the aggregation of an item in an exhibition or collection.,rdai:P40147,property,rdac:C10003,rdau:P60376,rdai:P40074,rdai:P40115,,Published,,2
has illuminator family,rdai:illuminatorFamily.en,"Relates an item to a family who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",,,,illuminator family,"A family who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",rdai:P40148,property,rdac:C10003,rdau:P60421,rdai:P40160,rdai:P40116,,Published,,2
has current owner family,rdai:currentOwnerFamily.en,Relates an item to a family who has current legal possession of an item.,,,,current owner family,A family who has current legal possession of an item.,rdai:P40149,property,rdac:C10003,rdau:P60400,rdai:P40152,rdai:P40117,,Published,,2
has owner family,rdai:ownerFamily.en,Relates an item to a family who has current or former legal possession of an item.,,,,owner family,A family who has current or former legal possession of an item.,rdai:P40152,property,rdac:C10003,rdau:P60404,rdai:P40074,rdai:P40120,,Published,,2
