reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,domain,range,hasUnconstrained,subClassOf[0],subPropertyOf[0],subPropertyOf[1],inverseOf,sameAs[0],*status,instructionNumber,"has element type","See Also[0]"
35950,"is publisher collective agent of",rdaa:publisherCollectiveAgentOf.en,"Relates a collective agent to a manifestation that involves a responsibility of a collective agent for publishing, releasing, or issuing.",,,,,,,,,,,"publisher collective agent of","A manifestation that involves a responsibility of a collective agent for publishing, releasing, or issuing.",rdaa:P50658,property,publisherCollectiveAgentOf,rdac:C10011,,rdau:P60670,,rdaa:P50645,rdaa:P50203,,,Published,,2,
35953,"is etcher collective agent of",rdaa:etcherCollectiveAgentOf.en,"Relates a collective agent to a manifestation that involves a responsibility of a collective agent for subjecting metal, glass, or some other surface used for printing, to acid or another corrosive substance.",,,,,,,,,,,"etcher collective agent of","A manifestation that involves a responsibility of a collective agent for subjecting metal, glass, or some other surface used for printing, to acid or another corrosive substance.",rdaa:P50659,property,etcherCollectiveAgentOf,rdac:C10011,,rdau:P60644,,rdaa:P50656,rdaa:P50177,,,Published,,2,
35955,"is book designer collective agent of",rdaa:bookDesignerCollectiveAgentOf.en,"Relates a collective agent to a manifestation that involves a responsibility of a collective agent for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used.",,,,,,,,,,,"book designer collective agent of","A manifestation that involves a responsibility of a collective agent for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used.",rdaa:P50660,property,bookDesignerCollectiveAgentOf,rdac:C10011,,rdau:P60637,,rdaa:P50656,rdaa:P50170,,,Published,,2,
35957,"is collotyper collective agent of",rdaa:collotyperCollectiveAgentOf.en,"Relates a collective agent to a manifestation that involves a responsibility of a collective agent for using a photomechanical process for making prints directly from a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces.",,,,,,,,,,,"collotyper collective agent of","A manifestation that involves a responsibility of a collective agent for using a photomechanical process for making prints directly from a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces.",rdaa:P50661,property,collotyperCollectiveAgentOf,rdac:C10011,,rdau:P60645,,rdaa:P50656,rdaa:P50178,,,Published,,2,
35959,"is contributor collective agent of cartography of",rdaa:contributorCollectiveAgentOfCartographyOf.en,"Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a cartographic work that is created by a collective agent.",,,,,,,,,,,"contributor collective agent of cartography of","A manifestation that is an aggregate that embodies an expression of a cartographic work that is created by a collective agent.",rdaa:P50662,property,contributorCollectiveAgentOfCartographyOf,rdac:C10011,,rdau:P61129,,rdaa:P50672,rdaa:P50463,,,Published,,2,
35961,"is contributor collective agent of choreography of",rdaa:contributorCollectiveAgentOfChoreographyOf.en,"Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a choreographic work that is created by a collective agent.",,,,,,,,,,,"contributor collective agent of choreography of","A manifestation that is an aggregate that embodies an expression of a choreographic work that is created by a collective agent.",rdaa:P50663,property,contributorCollectiveAgentOfChoreographyOf,rdac:C10011,,rdau:P61130,,rdaa:P50672,rdaa:P50464,,,Published,,2,
35963,"is contributor collective agent of moving image of",rdaa:contributorCollectiveAgentOfMovingImageOf.en,"Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a moving image work that is created by a collective agent.",,,,,,,,,,,"contributor collective agent of moving image of","A manifestation that is an aggregate that embodies an expression of a moving image work that is created by a collective agent.",rdaa:P50664,property,contributorCollectiveAgentOfMovingImageOf,rdac:C10011,,rdau:P61125,,rdaa:P50672,rdaa:P50474,,,Published,,2,
35966,"is contributor collective agent of music of",rdaa:contributorCollectiveAgentOfMusicOf.en,"Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a musical work that is created by a collective agent.",,,,,,,,,,,"contributor collective agent of music of","A manifestation that is an aggregate that embodies an expression of a musical work that is created by a collective agent.",rdaa:P50665,property,contributorCollectiveAgentOfMusicOf,rdac:C10011,,rdau:P61128,,rdaa:P50672,rdaa:P50459,,,Published,,2,
35968,"is contributor collective agent of speech of",rdaa:contributorCollectiveAgentOfSpeechOf.en,"Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a vocal work that is created by a collective agent.",,,,,,,,,,,"contributor collective agent of speech of","A manifestation that is an aggregate that embodies an expression of a vocal work that is created by a collective agent.",rdaa:P50666,property,contributorCollectiveAgentOfSpeechOf,rdac:C10011,,rdau:P61127,,rdaa:P50672,rdaa:P50483,,,Published,,2,
35970,"is contributor collective agent of still image of",rdaa:contributorCollectiveAgentOfStillImageOf.en,"Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a still image work that is created by a collective agent.",,,,,,,,,,,"contributor collective agent of still image of","A manifestation that is an aggregate that embodies an expression of a still image work that is created by a collective agent.",rdaa:P50667,property,contributorCollectiveAgentOfStillImageOf,rdac:C10011,,rdau:P60624,,rdaa:P50672,rdaa:P50469,,,Published,,2,
35972,"is contributor collective agent of text of",rdaa:contributorCollectiveAgentOfTextOf.en,"Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a textual work that is created by a collective agent.",,,,,,,,,,,"contributor collective agent of text of","A manifestation that is an aggregate that embodies an expression of a textual work that is created by a collective agent.",rdaa:P50668,property,contributorCollectiveAgentOfTextOf,rdac:C10011,,rdau:P61131,,rdaa:P50672,rdaa:P50475,,,Published,,2,
35974,"is contributor collective agent of object of",rdaa:contributorCollectiveAgentOfObjectOf.en,"Relates a collective agent to a manifestation that is an aggregate that embodies an expression of an object work that is created by a collective agent.",,,,,,,,,,,"contributor collective agent of object of","A manifestation that is an aggregate that embodies an expression of an object work that is created by a collective agent.",rdaa:P50669,property,contributorCollectiveAgentOfObjectOf,rdac:C10011,,rdau:P61126,,rdaa:P50672,rdaa:P50484,,,Published,,2,
35976,"is contributor collective agent of computer content of",rdaa:contributorCollectiveAgentOfComputerContentOf.en,"Relates a collective agent to a manifestation that is an aggregate that embodies an expression of computer content created by a collective agent.",,,,,,,,,,,"contributor collective agent of computer content of","A manifestation that is an aggregate that embodies an expression of computer content created by a collective agent.",rdaa:P50670,property,contributorCollectiveAgentOfComputerContentOf,rdac:C10011,,rdau:P61124,,rdaa:P50672,rdaa:P50485,,,Published,,2,
35979,"is surveyor collective agent of",rdaa:surveyorCollectiveAgentOf.en,"Relates a collective agent to a manifestation that is an aggregate that includes a contribution by a collective agent of providing measurements or dimensional relationships for a geographic area.",,,,,,,,,,,"surveyor collective agent of","A manifestation that is an aggregate that includes a contribution by a collective agent of providing measurements or dimensional relationships for a geographic area.",rdaa:P50671,property,surveyorCollectiveAgentOf,rdac:C10011,,rdau:P60605,,rdaa:P50662,rdaa:P50460,,,Published,,2,
35981,"is contributor collective agent to aggregate of",rdaa:contributorCollectiveAgentToAggregateOf.en,"Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a work that is created by a collective agent.",,,,,,,,,,,"contributor collective agent to aggregate of","A manifestation that is an aggregate that embodies an expression of a work that is created by a collective agent.",rdaa:P50672,property,contributorCollectiveAgentToAggregateOf,rdac:C10011,,rdau:P61081,,rdaa:P50364,rdaa:P50476,,,Published,,2,
35983,"is composer collective agent of work of",rdaa:composerCollectiveAgentOfWorkOf.en,"Relates a collective agent to a musical work that involves a responsibility of a collective agent for music.",,,,,,,,,,,"composer collective agent of work of","A musical work that involves a responsibility of a collective agent for music.",rdaa:P50673,property,composerCollectiveAgentOfWorkOf,rdac:C10011,,rdau:P60655,,rdaa:P50693,rdaa:P50187,,,Published,,2,
35985,"is addressee collective agent of",rdaa:addresseeCollectiveAgentOf.en,"Relates a collective agent to a work or a portion of a work that is addressed to a collective agent.",,,,,,,,,,,"addressee collective agent of","A work or a portion of a work that is addressed to a collective agent.",rdaa:P50674,property,addresseeCollectiveAgentOf,rdac:C10011,,rdau:P60690,,rdaa:P50357,rdaa:P50209,,,Published,,2,
