*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has screenwriter collective agent,rdawd:screenwriterCollectiveAgent.en,rdawd:P10476,property,rdac:C10001,rdaw:P10476,rdawd:P10483,rdawd:P10203,Published
has lyricist collective agent,rdawd:lyricistCollectiveAgent.en,rdawd:P10477,property,rdac:C10001,rdaw:P10477,rdawd:P10483,rdawd:P10204,Published
has librettist collective agent,rdawd:librettistCollectiveAgent.en,rdawd:P10478,property,rdac:C10001,rdaw:P10478,rdawd:P10483,rdawd:P10205,Published
has rapporteur collective agent,rdawd:rapporteurCollectiveAgent.en,rdawd:P10479,property,rdac:C10001,rdaw:P10479,rdawd:P10483,rdawd:P10255,Published
has honouree collective agent of work,rdawd:honoureeCollectiveAgentOfWork.en,rdawd:P10480,property,rdac:C10001,rdaw:P10480,rdawd:P10315,rdawd:P10049,Published
has choreographer collective agent,rdawd:choreographerCollectiveAgent.en,rdawd:P10481,property,rdac:C10001,rdaw:P10481,rdawd:P10484,rdawd:P10060,Published
has cartographer collective agent of work,rdawd:cartographerCollectiveAgentOfWork.en,rdawd:P10482,property,rdac:C10001,rdaw:P10482,rdawd:P10484,rdawd:P10052,Published
has author collective agent,rdawd:authorCollectiveAgent.en,rdawd:P10483,property,rdac:C10001,rdaw:P10483,rdawd:P10484,rdawd:P10061,Published
has creator collective agent of work,rdawd:creatorCollectiveAgentOfWork.en,rdawd:P10484,property,rdac:C10001,rdaw:P10484,rdawd:P10315,rdawd:P10065,Published
has architect collective agent,rdawd:architectCollectiveAgent.en,rdawd:P10485,property,rdac:C10001,rdaw:P10485,rdawd:P10484,rdawd:P10062,Published
has commissioning body collective agent,rdawd:commissioningBodyCollectiveAgent.en,rdawd:P10486,property,rdac:C10001,rdaw:P10486,rdawd:P10315,rdawd:P10287,Published
has programmer collective agent,rdawd:programmerCollectiveAgent.en,rdawd:P10487,property,rdac:C10001,rdaw:P10487,rdawd:P10484,rdawd:P10050,Published
has designer collective agent,rdawd:designerCollectiveAgent.en,rdawd:P10488,property,rdac:C10001,rdaw:P10488,rdawd:P10484,rdawd:P10051,Published
has composer collective agent of work,rdawd:composerCollectiveAgentOfWork.en,rdawd:P10489,property,rdac:C10001,rdaw:P10489,rdawd:P10484,rdawd:P10053,Published
has inventor collective agent,rdawd:inventorCollectiveAgent.en,rdawd:P10490,property,rdac:C10001,rdaw:P10490,rdawd:P10484,rdawd:P10054,Published
has compiler collective agent,rdawd:compilerCollectiveAgent.en,rdawd:P10491,property,rdac:C10001,rdaw:P10491,rdawd:P10484,rdawd:P10055,Published
has photographer collective agent of work,rdawd:photographerOfWorkCollectiveAgent.en,rdawd:P10492,property,rdac:C10001,rdaw:P10492,rdawd:P10484,rdawd:P10056,Published
has interviewer collective agent of work,rdawd:interviewerCollectiveAgentOfWork.en,rdawd:P10493,property,rdac:C10001,rdaw:P10493,rdawd:P10484,rdawd:P10057,Published
has interviewee collective agent of work,rdawd:intervieweeCollectiveAgentOfWork.en,rdawd:P10494,property,rdac:C10001,rdaw:P10494,rdawd:P10484,rdawd:P10059,Published
has aggregator collective agent,rdawd:aggregatorCollectiveAgent.en,rdawd:P10495,property,rdac:C10001,rdaw:P10495,rdawd:P10484,rdawd:P10393,Published
has remix artist collective agent,rdawd:remixArtistCollectiveAgent.en,rdawd:P10496,property,rdac:C10001,rdaw:P10496,rdawd:P10484,rdawd:P10306,Published
has filmmaker collective agent,rdawd:filmmakerCollectiveAgent.en,rdawd:P10497,property,rdac:C10001,rdaw:P10497,rdawd:P10484,rdawd:P10063,Published
has artist collective agent,rdawd:artistCollectiveAgent.en,rdawd:P10498,property,rdac:C10001,rdaw:P10498,rdawd:P10484,rdawd:P10058,Published
has founder collective agent of work,rdawd:founderCollectiveAgentOfWork.en,rdawd:P10499,property,rdac:C10001,rdaw:P10499,rdawd:P10484,rdawd:P10299,Published
has casting director collective agent,rdawd:castingDirectorCollectiveAgent.en,rdawd:P10500,property,rdac:C10001,rdaw:P10500,rdawd:P10484,rdawd:P10305,Published
has producer collective agent,rdawd:producerCollectiveAgent.en,rdawd:P10501,property,rdac:C10001,rdaw:P10501,rdawd:P10484,rdawd:P10064,Published
has director collective agent,rdawd:directorCollectiveAgent.en,rdawd:P10502,property,rdac:C10001,rdaw:P10502,rdawd:P10484,rdawd:P10066,Published
has issuing body collective agent,rdawd:issuingBodyCollectiveAgent.en,rdawd:P10503,property,rdac:C10001,rdaw:P10503,rdawd:P10315,rdawd:P10046,Published
has organizer collective agent,rdawd:organizerCollectiveAgent.en,rdawd:P10504,property,rdac:C10001,rdaw:P10504,rdawd:P10484,rdawd:P10297,Published
has consultant collective agent,rdawd:consultantCollectiveAgent.en,rdawd:P10505,property,rdac:C10001,rdaw:P10505,rdawd:P10484,rdawd:P10071,Published
has dedicatee corporate body of work,rdawd:dedicateeCorporateBodyOfWork.en,rdawd:P10506,property,rdac:C10001,rdaw:P10506,rdawd:P10314,rdawd:P10459,Published
has addressee corporate body,rdawd:addresseeCorporateBody.en,rdawd:P10507,property,rdac:C10001,rdaw:P10507,rdawd:P10314,rdawd:P10460,Published
has dedicator corporate body,rdawd:dedicatorCorporateBody.en,rdawd:P10508,property,rdac:C10001,rdaw:P10508,rdawd:P10531,rdawd:P10461,Published
has director corporate body of photography,rdawd:directorCorporateBodyOfPhotography.en,rdawd:P10509,property,rdac:C10001,rdaw:P10509,rdawd:P10531,rdawd:P10462,Published
has researcher corporate body,rdawd:researcherCorporateBody.en,rdawd:P10510,property,rdac:C10001,rdaw:P10510,rdawd:P10531,rdawd:P10463,Published
has editorial director corporate body,rdawd:editorialDirectorCorporateBody.en,rdawd:P10511,property,rdac:C10001,rdaw:P10511,rdawd:P10531,rdawd:P10464,Published
has film director corporate body,rdawd:filmDirectorCorporateBody.en,rdawd:P10512,property,rdac:C10001,rdaw:P10512,rdawd:P10549,rdawd:P10465,Published
has radio director corporate body,rdawd:radioDirectorCorporateBody.en,rdawd:P10513,property,rdac:C10001,rdaw:P10513,rdawd:P10549,rdawd:P10466,Published
has television director corporate body,rdawd:televisionDirectorCorporateBody.en,rdawd:P10514,property,rdac:C10001,rdaw:P10514,rdawd:P10549,rdawd:P10467,Published
has audio producer corporate body,rdawd:audioProducerCorporateBody.en,rdawd:P10515,property,rdac:C10001,rdaw:P10515,rdawd:P10548,rdawd:P10468,Published
has film producer corporate body,rdawd:filmProducerCorporateBody.en,rdawd:P10516,property,rdac:C10001,rdaw:P10516,rdawd:P10548,rdawd:P10469,Published
has radio producer corporate body,rdawd:radioProducerCorporateBody.en,rdawd:P10517,property,rdac:C10001,rdaw:P10517,rdawd:P10548,rdawd:P10470,Published
has television producer corporate body,rdawd:televisionProducerCorporateBody.en,rdawd:P10518,property,rdac:C10001,rdaw:P10518,rdawd:P10548,rdawd:P10471,Published
has landscape architect corporate body,rdawd:landscapeArchitectCorporateBody.en,rdawd:P10519,property,rdac:C10001,rdaw:P10519,rdawd:P10532,rdawd:P10472,Published
has calligrapher corporate body,rdawd:calligrapherCorporateBody.en,rdawd:P10520,property,rdac:C10001,rdaw:P10520,rdawd:P10545,rdawd:P10473,Published
has sculptor corporate body,rdawd:sculptorCorporateBody.en,rdawd:P10521,property,rdac:C10001,rdaw:P10521,rdawd:P10545,rdawd:P10474,Published
has book artist corporate body,rdawd:bookArtistCorporateBody.en,rdawd:P10522,property,rdac:C10001,rdaw:P10522,rdawd:P10545,rdawd:P10475,Published
has screenwriter corporate body,rdawd:screenwriterCorporateBody.en,rdawd:P10523,property,rdac:C10001,rdaw:P10523,rdawd:P10530,rdawd:P10476,Published
has lyricist corporate body,rdawd:lyricistCorporateBody.en,rdawd:P10524,property,rdac:C10001,rdaw:P10524,rdawd:P10530,rdawd:P10477,Published
has librettist corporate body,rdawd:librettistCorporateBody.en,rdawd:P10525,property,rdac:C10001,rdaw:P10525,rdawd:P10530,rdawd:P10478,Published
has rapporteur corporate body,rdawd:rapporteurCorporateBody.en,rdawd:P10526,property,rdac:C10001,rdaw:P10526,rdawd:P10530,rdawd:P10479,Published
has honouree corporate body of work,rdawd:honoureeCorporateBodyOfWork.en,rdawd:P10527,property,rdac:C10001,rdaw:P10527,rdawd:P10314,rdawd:P10480,Published
has choreographer corporate body,rdawd:choreographerCorporateBody.en,rdawd:P10528,property,rdac:C10001,rdaw:P10528,rdawd:P10531,rdawd:P10481,Published
has cartographer corporate body of work,rdawd:cartographerCorporateBodyOfWork.en,rdawd:P10529,property,rdac:C10001,rdaw:P10529,rdawd:P10531,rdawd:P10482,Published
has author corporate body,rdawd:authorCorporateBody.en,rdawd:P10530,property,rdac:C10001,rdaw:P10530,rdawd:P10531,rdawd:P10483,Published
has creator corporate body of work,rdawd:creatorCorporateBodyOfWork.en,rdawd:P10531,property,rdac:C10001,rdaw:P10531,rdawd:P10314,rdawd:P10484,Published
has architect corporate body,rdawd:architectCorporateBody.en,rdawd:P10532,property,rdac:C10001,rdaw:P10532,rdawd:P10531,rdawd:P10485,Published
has commissioning body corporate body,rdawd:commissioningBodyCorporateBody.en,rdawd:P10533,property,rdac:C10001,rdaw:P10533,rdawd:P10314,rdawd:P10486,Published
has programmer corporate body,rdawd:programmerCorporateBody.en,rdawd:P10534,property,rdac:C10001,rdaw:P10534,rdawd:P10531,rdawd:P10487,Published
has designer corporate body,rdawd:designerCorporateBody.en,rdawd:P10535,property,rdac:C10001,rdaw:P10535,rdawd:P10531,rdawd:P10488,Published
has composer corporate body of work,rdawd:composerCorporateBodyOfWork.en,rdawd:P10536,property,rdac:C10001,rdaw:P10536,rdawd:P10531,rdawd:P10489,Published
has inventor corporate body,rdawd:inventorCorporateBody.en,rdawd:P10537,property,rdac:C10001,rdaw:P10537,rdawd:P10531,rdawd:P10490,Published
has compiler corporate body,rdawd:compilerCorporateBody.en,rdawd:P10538,property,rdac:C10001,rdaw:P10538,rdawd:P10531,rdawd:P10491,Published
has photographer corporate body of work,rdawd:photographerOfWorkCorporateBody.en,rdawd:P10539,property,rdac:C10001,rdaw:P10539,rdawd:P10531,rdawd:P10492,Published
has interviewer corporate body of work,rdawd:interviewerCorporateBodyOfWork.en,rdawd:P10540,property,rdac:C10001,rdaw:P10540,rdawd:P10531,rdawd:P10493,Published
has interviewee corporate body of work,rdawd:intervieweeCorporateBodyOfWork.en,rdawd:P10541,property,rdac:C10001,rdaw:P10541,rdawd:P10531,rdawd:P10494,Published
has aggregator corporate body,rdawd:aggregatorCorporateBody.en,rdawd:P10542,property,rdac:C10001,rdaw:P10542,rdawd:P10531,rdawd:P10495,Published
has remix artist corporate body,rdawd:remixArtistCorporateBody.en,rdawd:P10543,property,rdac:C10001,rdaw:P10543,rdawd:P10531,rdawd:P10496,Published
has filmmaker corporate body,rdawd:filmmakerCorporateBody.en,rdawd:P10544,property,rdac:C10001,rdaw:P10544,rdawd:P10531,rdawd:P10497,Published
has artist corporate body,rdawd:artistCorporateBody.en,rdawd:P10545,property,rdac:C10001,rdaw:P10545,rdawd:P10531,rdawd:P10498,Published
has founder corporate body of work,rdawd:founderCorporateBodyOfWork.en,rdawd:P10546,property,rdac:C10001,rdaw:P10546,rdawd:P10531,rdawd:P10499,Published
has casting director corporate body,rdawd:castingDirectorCorporateBody.en,rdawd:P10547,property,rdac:C10001,rdaw:P10547,rdawd:P10531,rdawd:P10500,Published
