*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has musical director person,rdaed:musicalDirectorPerson.en,rdaed:P20342,property,rdac:C10006,rdae:P20342,rdaed:P20366,rdaed:P20035,Published
has sound designer person,rdaed:soundDesignerPerson.en,rdaed:P20343,property,rdac:C10006,rdae:P20343,rdaed:P20366,rdaed:P20276,Published
has lighting designer person,rdaed:lightingDesignerPerson.en,rdaed:P20344,property,rdac:C10006,rdae:P20344,rdaed:P20366,rdaed:P20277,Published
has costume designer person,rdaed:costumeDesignerPerson.en,rdaed:P20345,property,rdac:C10006,rdae:P20345,rdaed:P20366,rdaed:P20036,Published
has translator person,rdaed:translatorPerson.en,rdaed:P20346,property,rdac:C10006,rdae:P20346,rdaed:P20389,rdaed:P20037,Published
has reviser person,rdaed:reviserPerson.en,rdaed:P20347,property,rdac:C10006,rdae:P20347,rdaed:P20389,rdaed:P20327,Published
has audio engineer person,rdaed:audioEngineerPerson.en,rdaed:P20348,property,rdac:C10006,rdae:P20348,rdaed:P20366,rdaed:P20292,Published
has DJ person,rdaed:djPerson.en,rdaed:P20349,property,rdac:C10006,rdae:P20349,rdaed:P20366,rdaed:P20296,Published
has art director person,rdaed:artDirectorPerson.en,rdaed:P20350,property,rdac:C10006,rdae:P20350,rdaed:P20366,rdaed:P20038,Published
has performer person,rdaed:performerPerson.en,rdaed:P20351,property,rdac:C10006,rdae:P20351,rdaed:P20366,rdaed:P20039,Published
has court reporter person,rdaed:courtReporterPerson.en,rdaed:P20352,property,rdac:C10006,rdae:P20352,rdaed:P20367,rdaed:P20040,Published
has software developer person,rdaed:softwareDeveloperPerson.en,rdaed:P20353,property,rdac:C10006,rdae:P20353,rdaed:P20367,rdaed:P20280,Published
has interviewee person of expression,rdaa:intervieweePersonOfExpression.en,rdaed:P20354,property,rdac:C10006,rdae:P20354,rdaed:P20366,rdaed:P20047,Published
has restorationist person of expression,rdaed:restorationistPersonOfExpression.en,rdaed:P20355,property,rdac:C10006,rdae:P20355,rdaed:P20347,rdaed:P20289,Published
has censor person,rdaed:censorPerson.en,rdaed:P20356,property,rdac:C10006,rdae:P20356,rdaed:P20347,rdaed:P20287,Published
has abridger person,rdaed:abridgerPerson.en,rdaed:P20357,property,rdac:C10006,rdae:P20357,rdaed:P20347,rdaed:P20049,Published
has recordist person,rdaed:recordistPerson.en,rdaed:P20358,property,rdac:C10006,rdae:P20358,rdaed:P20366,rdaed:P20052,Published
has transcriber person,rdaed:transcriberPerson.en,rdaed:P20359,property,rdac:C10006,rdae:P20359,rdaed:P20347,rdaed:P20034,Published
has special effects provider person,rdaed:specialEffectsProviderPerson.en,rdaed:P20360,property,rdac:C10006,rdae:P20360,rdaed:P20366,rdaed:P20258,Published
has visual effects provider person,rdaed:visualEffectsProviderPerson.en,rdaed:P20361,property,rdac:C10006,rdae:P20361,rdaed:P20366,rdaed:P20257,Published
has music programmer person,rdaed:musicProgrammerPerson.en,rdaed:P20362,property,rdac:C10006,rdae:P20362,rdaed:P20366,rdaed:P20294,Published
has onscreen participant person,rdaed:onscreenParticipantPerson.en,rdaed:P20363,property,rdac:C10006,rdae:P20363,rdaed:P20366,rdaed:P20279,Published
has stage director person,rdaed:stageDirectorPerson.en,rdaed:P20364,property,rdac:C10006,rdae:P20364,rdaed:P20366,rdaed:P20031,Published
has arranger person of music,rdaed:arrangerPersonOfMusic.en,rdaed:P20365,property,rdac:C10006,rdae:P20365,rdaed:P20347,rdaed:P20029,Published
has contributor person to performance,rdaed:contributorPersonToPerformance.en,rdaed:P20366,property,rdac:C10006,rdae:P20366,rdaed:P20367,rdaed:P20329,Published
has contributor person to amalgamation,rdaed:contributorPersonToAmalgamation.en,rdaed:P20367,property,rdac:C10006,rdae:P20367,rdaed:P20389,rdaed:P20328,Published
has instrumental conductor person,rdaed:instrumentalConductorPerson.en,rdaed:P20368,property,rdac:C10006,rdae:P20368,rdaed:P20383,rdaed:P20286,Published
has actor person,rdaed:actorPerson.en,rdaed:P20369,property,rdac:C10006,rdae:P20369,rdaed:P20351,rdaed:P20012,Published
has onscreen presenter person,rdaed:onscreenPresenterPerson.en,rdaed:P20370,property,rdac:C10006,rdae:P20370,rdaed:P20351,rdaed:P20013,Published
has dancer person,rdaed:dancerPerson.en,rdaed:P20371,property,rdac:C10006,rdae:P20371,rdaed:P20351,rdaed:P20014,Published
has host person,rdaed:hostPerson.en,rdaed:P20372,property,rdac:C10006,rdae:P20372,rdaed:P20351,rdaed:P20016,Published
has moderator person,rdaed:moderatorPerson.en,rdaed:P20373,property,rdac:C10006,rdae:P20373,rdaed:P20351,rdaed:P20017,Published
has puppeteer person,rdaed:puppeteerPerson.en,rdaed:P20374,property,rdac:C10006,rdae:P20374,rdaed:P20351,rdaed:P20018,Published
has panelist person,rdaed:panelistPerson.en,rdaed:P20375,property,rdac:C10006,rdae:P20375,rdaed:P20351,rdaed:P20019,Published
has instrumentalist person,rdaed:instrumentalistPerson.en,rdaed:P20376,property,rdac:C10006,rdae:P20376,rdaed:P20351,rdaed:P20020,Published
has commentator person,rdaed:commentatorPerson.en,rdaed:P20377,property,rdac:C10006,rdae:P20377,rdaed:P20351,rdaed:P20021,Published
has narrator person,rdaed:narratorPerson.en,rdaed:P20378,property,rdac:C10006,rdae:P20378,rdaed:P20351,rdaed:P20022,Published
has storyteller person,rdaed:storytellerPerson.en,rdaed:P20379,property,rdac:C10006,rdae:P20379,rdaed:P20351,rdaed:P20023,Published
has speaker person,rdaed:speakerPerson.en,rdaed:P20380,property,rdac:C10006,rdae:P20380,rdaed:P20351,rdaed:P20024,Published
has instructor person,rdaed:instructorPerson.en,rdaed:P20381,property,rdac:C10006,rdae:P20381,rdaed:P20351,rdaed:P20015,Published
has singer person,rdaed:singerPerson.en,rdaed:P20382,property,rdac:C10006,rdae:P20382,rdaed:P20351,rdaed:P20025,Published
has conductor person,rdaed:conductorPerson.en,rdaed:P20383,property,rdac:C10006,rdae:P20383,rdaed:P20351,rdaed:P20011,Published
has voice actor person,rdaed:voiceActorPerson.en,rdaed:P20384,property,rdac:C10006,rdae:P20384,rdaed:P20369,rdaed:P20070,Published
has mixing engineer person,rdaed:mixingEngineerPerson.en,rdaed:P20385,property,rdac:C10006,rdae:P20385,rdaed:P20348,rdaed:P20293,Published
has recording engineer person,rdaed:recordingEngineerPerson.en,rdaed:P20386,property,rdac:C10006,rdae:P20386,rdaed:P20348,rdaed:P20050,Published
has letterer person,rdaed:lettererPerson.en,rdaed:P20387,property,rdac:C10006,rdae:P20387,rdaed:P20367,rdaed:P20259,Published
has presenter person,rdaed:presenterPerson.en,rdaed:P20388,property,rdac:C10006,rdae:P20388,rdaed:P20351,rdaed:P20054,Published
has creator person of expression,rdaed:creatorPersonOfExpression.en,rdaed:P20389,property,rdac:C10006,rdae:P20389,rdaed:P20302,rdaed:P20053,Published
has editor person of moving image work,rdaed:editorPersonOfMovingImageWork.en,rdaed:P20390,property,rdac:C10006,rdae:P20390,rdaed:P20367,rdaed:P20055,Published
has production designer person,rdaed:productionDesignerPerson.en,rdaed:P20391,property,rdac:C10006,rdae:P20391,rdaed:P20366,rdaed:P20056,Published
has minute taker person,rdaed:minuteTakerPerson.en,rdaed:P20392,property,rdac:C10006,rdae:P20392,rdaed:P20367,rdaed:P20058,Published
has dubbing director person,rdaed:dubbingDirectorPerson.en,rdaed:P20393,property,rdac:C10006,rdae:P20393,rdaed:P20366,rdaed:P20295,Published
has animator person,rdaed:animatorPerson.en,rdaed:P20394,property,rdac:C10006,rdae:P20394,rdaed:P20366,rdaed:P20028,Published
has choral conductor collective agent,rdaed:choralConductorCollectiveAgent.en,rdaed:P20395,property,rdac:C10006,rdae:P20395,rdaed:P20442,rdaed:P20285,Published
has interviewer collective agent of expression,rdaa:interviewerCollectiveAgentOfExpression.en,rdaed:P20396,property,rdac:C10006,rdae:P20396,rdaed:P20425,rdaed:P20032,Published
has editor collective agent of text,rdaed:editorCollectiveAgentOfText.en,rdaed:P20397,property,rdac:C10006,rdae:P20397,rdaed:P20426,rdaed:P20330,Published
has draftsman collective agent,rdaed:draftsmanCollectiveAgent.en,rdaed:P20398,property,rdac:C10006,rdae:P20398,rdaed:P20426,rdaed:P20033,Published
has colourist collective agent,rdaed:colouristCollectiveAgent.en,rdaed:P20399,property,rdac:C10006,rdae:P20399,rdaed:P20426,rdaed:P20283,Published
has makeup artist collective agent,rdaed:makeupArtistCollectiveAgent.en,rdaed:P20400,property,rdac:C10006,rdae:P20400,rdaed:P20425,rdaed:P20284,Published
has musical director collective agent,rdaed:musicalDirectorCollectiveAgent.en,rdaed:P20401,property,rdac:C10006,rdae:P20401,rdaed:P20425,rdaed:P20035,Published
has sound designer collective agent,rdaed:soundDesignerCollectiveAgent.en,rdaed:P20402,property,rdac:C10006,rdae:P20402,rdaed:P20425,rdaed:P20276,Published
has lighting designer collective agent,rdaed:lightingDesignerCollectiveAgent.en,rdaed:P20403,property,rdac:C10006,rdae:P20403,rdaed:P20425,rdaed:P20277,Published
has costume designer collective agent,rdaed:costumeDesignerCollectiveAgent.en,rdaed:P20404,property,rdac:C10006,rdae:P20404,rdaed:P20425,rdaed:P20036,Published
has translator collective agent,rdaed:translatorCollectiveAgent.en,rdaed:P20405,property,rdac:C10006,rdae:P20405,rdaed:P20448,rdaed:P20037,Published
has reviser collective agent,rdaed:reviserCollectiveAgent.en,rdaed:P20406,property,rdac:C10006,rdae:P20406,rdaed:P20448,rdaed:P20327,Published
has audio engineer collective agent,rdaed:audioEngineerCollectiveAgent.en,rdaed:P20407,property,rdac:C10006,rdae:P20407,rdaed:P20425,rdaed:P20292,Published
has DJ collective agent,rdaed:djCollectiveAgent.en,rdaed:P20408,property,rdac:C10006,rdae:P20408,rdaed:P20425,rdaed:P20296,Published
has art director collective agent,rdaed:artDirectorCollectiveAgent.en,rdaed:P20409,property,rdac:C10006,rdae:P20409,rdaed:P20425,rdaed:P20038,Published
has performer collective agent,rdaed:performerCollectiveAgent.en,rdaed:P20410,property,rdac:C10006,rdae:P20410,rdaed:P20425,rdaed:P20039,Published
has court reporter collective agent,rdaed:courtReporterCollectiveAgent.en,rdaed:P20411,property,rdac:C10006,rdae:P20411,rdaed:P20426,rdaed:P20040,Published
has software developer collective agent,rdaed:softwareDeveloperCollectiveAgent.en,rdaed:P20412,property,rdac:C10006,rdae:P20412,rdaed:P20426,rdaed:P20280,Published
has interviewee collective agent of expression,rdaa:intervieweeCollectiveAgentOfExpression.en,rdaed:P20413,property,rdac:C10006,rdae:P20413,rdaed:P20425,rdaed:P20047,Published
has restorationist collective agent of expression,rdaed:restorationistCollectiveAgentOfExpression.en,rdaed:P20414,property,rdac:C10006,rdae:P20414,rdaed:P20406,rdaed:P20289,Published
has censor collective agent,rdaed:censorCollectiveAgent.en,rdaed:P20415,property,rdac:C10006,rdae:P20415,rdaed:P20406,rdaed:P20287,Published
has abridger collective agent,rdaed:abridgerCollectiveAgent.en,rdaed:P20416,property,rdac:C10006,rdae:P20416,rdaed:P20406,rdaed:P20049,Published
has recordist collective agent,rdaed:recordistCollectiveAgent.en,rdaed:P20417,property,rdac:C10006,rdae:P20417,rdaed:P20425,rdaed:P20052,Published
