*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],inverseOf,*status,owl:propertyChainAxiom
is judge of,rdaao:judgeOf.en,rdaao:P50126,property,rdac:C10004,rdac:C10001,rdaa:P50126,rdaao:P50542,,rdawo:P10044,Published,
is praeses of,rdaao:praesesOf.en,rdaao:P50127,property,rdac:C10004,rdac:C10001,rdaa:P50127,rdaao:P50542,,rdawo:P10045,Published,
is annotator of,rdaao:annotatorOf.en,rdaao:P50128,property,rdac:C10004,rdac:C10003,rdaa:P50128,rdaao:P50636,,rdaio:P40015,Published,
is autographer of,rdaao:autographerOf.en,rdaao:P50129,property,rdac:C10004,rdac:C10003,rdaa:P50129,rdaao:P50636,,rdaio:P40016,Published,
is issuing agent of,rdaao:issuingAgentOf.en,rdaao:P50130,property,rdac:C10002,rdac:C10001,rdaa:P50130,rdaao:P50305,,rdawo:P10046,Published,
is other agent associated with work of (Deprecated),rdaao:otherAgentWorkOf.en,rdaao:P50131,property,rdac:C10002,rdac:C10001,rdaa:P50131,rdaao:P50305,,rdawo:P10047,Deprecated,
is dedicator agent of,rdaao:dedicatorAgentOf.en,rdaao:P50132,property,rdac:C10002,rdac:C10001,rdaa:P50132,rdaao:P50305,,rdawo:P10048,Published,
is curator agent of (Deprecated),rdaao:curatorAgentOf.en,rdaao:P50133,property,rdac:C10002,rdac:C10003,rdaa:P50133,rdaao:P50308,,rdaio:P40017,Deprecated,
is composer of expression of (Deprecated),rdaao:composerOfExpressionOf.en,rdaao:P50134,property,rdac:C10002,rdac:C10006,rdaa:P50134,rdaao:P50451,,rdaeo:P20026,Deprecated,
is surveyor of (Deprecated),rdaao:surveyorOf.en,rdaao:P50135,property,rdac:C10002,rdac:C10006,rdaa:P50135,rdaao:P50451,,rdaeo:P20027,Deprecated,
is animator agent of,rdaao:animatorAgentOf.en,rdaao:P50136,property,rdac:C10002,rdac:C10006,rdaa:P50136,rdaao:P50449,,rdaeo:P20028,Published,
is arranger agent of music of,rdaao:arrangerAgentOfMusicOf.en,rdaao:P50137,property,rdac:C10002,rdac:C10006,rdaa:P50137,rdaao:P50447,,rdaeo:P20029,Published,
is writer of added text of (Deprecated),rdaao:writerOfAddedTextOf.en,rdaao:P50138,property,rdac:C10002,rdac:C10006,rdaa:P50138,rdaao:P50154,,rdaeo:P20030,Deprecated,
is stage director agent of,rdaao:stageDirectorAgentOf.en,rdaao:P50139,property,rdac:C10002,rdac:C10006,rdaa:P50139,rdaao:P50449,,rdaeo:P20031,Published,
is interviewer agent of expression of,rdaao:interviewerAgentOfExpressionOf.en,rdaao:P50140,property,rdac:C10002,rdac:C10006,rdaa:P50140,rdaao:P50449,,rdaeo:P20032,Published,
is draftsman agent of,rdaao:draftsmanAgentOf.en,rdaao:P50141,property,rdac:C10002,rdac:C10006,rdaa:P50141,rdaao:P50448,,rdaeo:P20033,Published,
is transcriber agent of,rdaao:transcriberAgentOf.en,rdaao:P50142,property,rdac:C10002,rdac:C10006,rdaa:P50142,rdaao:P50447,,rdaeo:P20034,Published,
is musical director agent of,rdaao:musicalDirectorAgentOf.en,rdaao:P50143,property,rdac:C10002,rdac:C10006,rdaa:P50143,rdaao:P50449,,rdaeo:P20035,Published,
is costume designer agent of,rdaao:costumeDesignerAgentOf.en,rdaao:P50144,property,rdac:C10002,rdac:C10006,rdaa:P50144,rdaao:P50449,,rdaeo:P20036,Published,
is translator agent of,rdaao:translatorAgentOf.en,rdaao:P50145,property,rdac:C10002,rdac:C10006,rdaa:P50145,rdaao:P50161,,rdaeo:P20037,Published,
is art director agent of,rdaao:artDirectorAgentOf.en,rdaao:P50146,property,rdac:C10002,rdac:C10006,rdaa:P50146,rdaao:P50449,,rdaeo:P20038,Published,
is performer agent of,rdaao:performerAgentOf.en,rdaao:P50147,property,rdac:C10002,rdac:C10006,rdaa:P50147,rdaao:P50449,,rdaeo:P20039,Published,
is court reporter agent of,rdaao:courtReporterAgentOf.en,rdaao:P50148,property,rdac:C10002,rdac:C10006,rdaa:P50148,rdaao:P50448,,rdaeo:P20040,Published,
is writer of preface of (Deprecated),rdaao:writerOfPrefaceOf.en,rdaao:P50149,property,rdac:C10002,rdac:C10006,rdaa:P50149,rdaao:P50154,,rdaeo:P20041,Deprecated,
is cartographer of expression of (Deprecated),rdaao:cartographerOfExpressionOf.en,rdaao:P50150,property,rdac:C10002,rdac:C10006,rdaa:P50150,rdaao:P50451,,rdaeo:P20042,Deprecated,
is choreographer of expression of (Deprecated),rdaao:choreographerOfExpressionOf.en,rdaao:P50151,property,rdac:C10002,rdac:C10006,rdaa:P50151,rdaao:P50451,,rdaeo:P20043,Deprecated,
is writer of added commentary of (Deprecated),rdaao:writerOfAddedCommentaryOf.en,rdaao:P50152,property,rdac:C10002,rdac:C10006,rdaa:P50152,rdaao:P50154,,rdaeo:P20044,Deprecated,
is writer of introduction of (Deprecated),rdaao:writerOfIntroductionOf.en,rdaao:P50153,property,rdac:C10002,rdac:C10006,rdaa:P50153,rdaao:P50154,,rdaeo:P20045,Deprecated,
is writer of supplementary textual content of (Deprecated),rdaao:writerOfSupplementaryTextualContentOf.en,rdaao:P50154,property,rdac:C10002,rdac:C10006,rdaa:P50154,rdaao:P50452,,rdaeo:P20046,Deprecated,
is interviewee agent of expression of,rdaao:intervieweeAgentOfExpressionOf.en,rdaao:P50155,property,rdac:C10002,rdac:C10006,rdaa:P50155,rdaao:P50449,,rdaeo:P20047,Published,
is editor of (Deprecated),rdaao:editorOf.en,rdaao:P50156,property,rdac:C10002,rdac:C10006,rdaa:P50156,rdaao:P50451,,rdaeo:P20048,Deprecated,
is abridger agent of,rdaao:abridgerAgentOf.en,rdaao:P50157,property,rdac:C10002,rdac:C10006,rdaa:P50157,rdaao:P50447,,rdaeo:P20049,Published,
