*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
is puppeteer agent of,rdaad:puppeteerAgentOf.en,rdaad:P50077,property,rdac:C10002,rdaa:P50077,rdaad:P50147,,Published
is puppeteer collective agent of,rdaad:puppeteerCollectiveAgentOf.en,rdaad:P50747,property,rdac:C10011,rdaa:P50747,rdaad:P50754,rdaad:P50077,Published
is puppeteer corporate body of,rdaad:puppeteerCorporateBodyOf.en,rdaad:P50898,property,rdac:C10005,rdaa:P50898,rdaad:P50905,rdaad:P50747,Published
is puppeteer family of,rdaad:puppeteerFamilyOf.en,rdaad:P51049,property,rdac:C10008,rdaa:P51049,rdaad:P51056,rdaad:P50747,Published
is puppeteer person of,rdaad:puppeteerPersonOf.en,rdaad:P50596,property,rdac:C10004,rdaa:P50596,rdaad:P50603,rdaad:P50077,Published
is radio director agent of,rdaad:radioDirectorAgentOf.en,rdaad:P50049,property,rdac:C10002,rdaa:P50049,rdaad:P50205,,Published
is radio director collective agent of,rdaad:radioDirectorCollectiveAgentOf.en,rdaad:P50714,property,rdac:C10011,rdaa:P50714,rdaad:P50712,rdaad:P50049,Published
is radio director corporate body of,rdaad:radioDirectorCorporateBodyOf.en,rdaad:P50865,property,rdac:C10005,rdaa:P50865,rdaad:P50863,rdaad:P50714,Published
is radio director family of,rdaad:radioDirectorFamilyOf.en,rdaad:P51016,property,rdac:C10008,rdaa:P51016,rdaad:P51014,rdaad:P50714,Published
is radio director person of,rdaad:radioDirectorPersonOf.en,rdaad:P50563,property,rdac:C10004,rdaa:P50563,rdaad:P50561,rdaad:P50049,Published
is radio producer agent of,rdaad:radioProducerAgentOf.en,rdaad:P50214,property,rdac:C10002,rdaa:P50214,rdaad:P50201,,Published
is radio producer collective agent of,rdaad:radioProducerCollectiveAgentOf.en,rdaad:P50703,property,rdac:C10011,rdaa:P50703,rdaad:P50701,rdaad:P50214,Published
is radio producer corporate body of,rdaad:radioProducerCorporateBodyOf.en,rdaad:P50854,property,rdac:C10005,rdaa:P50854,rdaad:P50852,rdaad:P50703,Published
is radio producer family of,rdaad:radioProducerFamilyOf.en,rdaad:P51005,property,rdac:C10008,rdaa:P51005,rdaad:P51003,rdaad:P50703,Published
is radio producer person of,rdaad:radioProducerPersonOf.en,rdaad:P50552,property,rdac:C10004,rdaa:P50552,rdaad:P50550,rdaad:P50214,Published
is rapporteur agent of,rdaad:rapporteurAgentOf.en,rdaad:P50248,property,rdac:C10002,rdaa:P50248,rdaad:P50195,,Published
is rapporteur collective agent of,rdaad:rapporteurCollectiveAgentOf.en,rdaad:P50708,property,rdac:C10011,rdaa:P50708,rdaad:P50692,rdaad:P50248,Published
is rapporteur corporate body of,rdaad:rapporteurCorporateBodyOf.en,rdaad:P50859,property,rdac:C10005,rdaa:P50859,rdaad:P50843,rdaad:P50708,Published
is rapporteur family of,rdaad:rapporteurFamilyOf.en,rdaad:P51010,property,rdac:C10008,rdaa:P51010,rdaad:P50994,rdaad:P50708,Published
is rapporteur person of,rdaad:rapporteurPersonOf.en,rdaad:P50557,property,rdac:C10004,rdaa:P50557,rdaad:P50541,rdaad:P50248,Published
is recording engineer agent of,rdaad:recordingEngineerAgentOf.en,rdaad:P50158,property,rdac:C10002,rdaa:P50158,rdaad:P50296,,Published
is recording engineer collective agent of,rdaad:recordingEngineerCollectiveAgentOf.en,rdaad:P50768,property,rdac:C10011,rdaa:P50768,rdaad:P50746,rdaad:P50158,Published
is recording engineer corporate body of,rdaad:recordingEngineerCorporateBodyOf.en,rdaad:P50919,property,rdac:C10005,rdaa:P50919,rdaad:P50897,rdaad:P50768,Published
is recording engineer family of,rdaad:recordingEngineerFamilyOf.en,rdaad:P51070,property,rdac:C10008,rdaa:P51070,rdaad:P51048,rdaad:P50768,Published
is recording engineer person of,rdaad:recordingEngineerPersonOf.en,rdaad:P50617,property,rdac:C10004,rdaa:P50617,rdaad:P50595,rdaad:P50158,Published
is recordist agent of,rdaad:recordistAgentOf.en,rdaad:P50160,property,rdac:C10002,rdaa:P50160,rdaad:P50449,,Published
is recordist collective agent of,rdaad:recordistCollectiveAgentOf.en,rdaad:P50771,property,rdac:C10011,rdaa:P50771,rdaad:P50774,rdaad:P50160,Published
is recordist corporate body of,rdaad:recordistCorporateBodyOf.en,rdaad:P50922,property,rdac:C10005,rdaa:P50922,rdaad:P50925,rdaad:P50771,Published
is recordist family of,rdaad:recordistFamilyOf.en,rdaad:P51073,property,rdac:C10008,rdaa:P51073,rdaad:P51076,rdaad:P50771,Published
is recordist person of,rdaad:recordistPersonOf.en,rdaad:P50620,property,rdac:C10004,rdaa:P50620,rdaad:P50623,rdaad:P50160,Published
is remix artist agent of,rdaad:remixArtistAgentOf.en,rdaad:P50293,property,rdac:C10002,rdaa:P50293,rdaad:P50204,,Published
is remix artist collective agent of,rdaad:remixArtistCollectiveAgentOf.en,rdaad:P50699,property,rdac:C10011,rdaa:P50699,rdaad:P50693,rdaad:P50293,Published
is remix artist corporate body of,rdaad:remixArtistCorporateBodyOf.en,rdaad:P50850,property,rdac:C10005,rdaa:P50850,rdaad:P50844,rdaad:P50699,Published
is remix artist family of,rdaad:remixArtistFamilyOf.en,rdaad:P51001,property,rdac:C10008,rdaa:P51001,rdaad:P50995,rdaad:P50699,Published
is remix artist person of,rdaad:remixArtistPersonOf.en,rdaad:P50548,property,rdac:C10004,rdaa:P50548,rdaad:P50542,rdaad:P50293,Published
is research supervisor of,rdaad:researchSupervisorOf.en,rdaad:P50486,property,rdac:C10004,rdaa:P50486,rdaad:P50458,,Published
is researcher agent of,rdaad:researcherAgentOf.en,rdaad:P50265,property,rdac:C10002,rdaa:P50265,rdaad:P50305,,Published
is researcher collective agent of,rdaad:researcherCollectiveAgentOf.en,rdaad:P50709,property,rdac:C10011,rdaa:P50709,rdaad:P50357,rdaad:P50265,Published
is researcher corporate body of,rdaad:researcherCorporateBodyOf.en,rdaad:P50860,property,rdac:C10005,rdaa:P50860,rdaad:P50844,rdaad:P50709,Published
is researcher family of,rdaad:researcherFamilyOf.en,rdaad:P51011,property,rdac:C10008,rdaa:P51011,rdaad:P50320,rdaad:P50709,Published
is researcher person of,rdaad:researcherPersonOf.en,rdaad:P50558,property,rdac:C10004,rdaa:P50558,rdaad:P50311,rdaad:P50265,Published
is respondent of,rdaad:respondentOf.en,rdaad:P50001,property,rdac:C10004,rdaa:P50001,rdaad:P50542,,Published
is restorationist agent of expression of,rdaad:restorationistAgentOfExpressionOf.en,rdaad:P50273,property,rdac:C10002,rdaa:P50273,rdaad:P50447,,Published
is restorationist agent of item of,rdaad:restorationistAgentOfItemOf.en,rdaad:P50206,property,rdac:C10002,rdaa:P50206,rdaad:P50308,,Published
is restorationist collective agent of expression of,rdaad:restorationistCollectiveAgentOfExpressionOf.en,rdaad:P50763,property,rdac:C10011,rdaa:P50763,rdaad:P50744,rdaad:P50273,Published
is restorationist collective agent of item of,rdaad:restorationistCollectiveAgentOfItemOf.en,rdaad:P50780,property,rdac:C10011,rdaa:P50780,rdaad:P50363,rdaad:P50206,Published
is restorationist corporate body of expression of,rdaad:restorationistCorporateBodyOfExpressionOf.en,rdaad:P50914,property,rdac:C10005,rdaa:P50914,rdaad:P50895,rdaad:P50763,Published
is restorationist corporate body of item of,rdaad:restorationistCorporateBodyOfItemOf.en,rdaad:P50931,property,rdac:C10005,rdaa:P50931,rdaad:P50332,rdaad:P50780,Published
is restorationist family of expression of,rdaad:restorationistFamilyOfExpressionOf.en,rdaad:P51065,property,rdac:C10008,rdaa:P51065,rdaad:P51046,rdaad:P50763,Published
is restorationist family of item of,rdaad:restorationistFamilyOfItemOf.en,rdaad:P51082,property,rdac:C10008,rdaa:P51082,rdaad:P50323,rdaad:P50780,Published
is restorationist person of expression of,rdaad:restorationistPersonOfExpressionOf.en,rdaad:P50612,property,rdac:C10004,rdaa:P50612,rdaad:P50593,rdaad:P50273,Published
is restorationist person of item of,rdaad:restorationistPersonOfItemOf.en,rdaad:P50629,property,rdac:C10004,rdaa:P50629,rdaad:P50314,rdaad:P50206,Published
is reviser agent of,rdaad:reviserAgentOf.en,rdaad:P50447,property,rdac:C10002,rdaa:P50447,rdaad:P50161,,Published
is reviser collective agent of,rdaad:reviserCollectiveAgentOf.en,rdaad:P50744,property,rdac:C10011,rdaa:P50744,rdaad:P50776,rdaad:P50447,Published
is reviser corporate body of,rdaad:reviserCorporateBodyOf.en,rdaad:P50895,property,rdac:C10005,rdaa:P50895,rdaad:P50927,rdaad:P50744,Published
is reviser family of,rdaad:reviserFamilyOf.en,rdaad:P51046,property,rdac:C10008,rdaa:P51046,rdaad:P51078,rdaad:P50744,Published
is reviser person of,rdaad:reviserPersonOf.en,rdaad:P50593,property,rdac:C10004,rdaa:P50593,rdaad:P50625,rdaad:P50447,Published
is screenwriter agent of,rdaad:screenwriterAgentOf.en,rdaad:P50223,property,rdac:C10002,rdaa:P50223,rdaad:P50195,,Published
is screenwriter collective agent of,rdaad:screenwriterCollectiveAgentOf.en,rdaad:P50683,property,rdac:C10011,rdaa:P50683,rdaad:P50692,rdaad:P50223,Published
is screenwriter corporate body of,rdaad:screenwriterCorporateBodyOf.en,rdaad:P50834,property,rdac:C10005,rdaa:P50834,rdaad:P50843,rdaad:P50683,Published
is screenwriter family of,rdaad:screenwriterFamilyOf.en,rdaad:P50985,property,rdac:C10008,rdaa:P50985,rdaad:P50994,rdaad:P50683,Published
is screenwriter person of,rdaad:screenwriterPersonOf.en,rdaad:P50532,property,rdac:C10004,rdaa:P50532,rdaad:P50541,rdaad:P50223,Published
is sculptor agent of,rdaad:sculptorAgentOf.en,rdaad:P50222,property,rdac:C10002,rdaa:P50222,rdaad:P50192,,Published
is sculptor collective agent of,rdaad:sculptorCollectiveAgentOf.en,rdaad:P50716,property,rdac:C10011,rdaa:P50716,rdaad:P50691,rdaad:P50222,Published
is sculptor corporate body of,rdaad:sculptorCorporateBodyOf.en,rdaad:P50867,property,rdac:C10005,rdaa:P50867,rdaad:P50842,rdaad:P50716,Published
is sculptor family of,rdaad:sculptorFamilyOf.en,rdaad:P51018,property,rdac:C10008,rdaa:P51018,rdaad:P50993,rdaad:P50716,Published
is sculptor person of,rdaad:sculptorPersonOf.en,rdaad:P50565,property,rdac:C10004,rdaa:P50565,rdaad:P50540,rdaad:P50222,Published
is seller agent of,rdaad:sellerAgentOf.en,rdaad:P50067,property,rdac:C10002,rdaa:P50067,rdaad:P50163,,Published
is seller collective agent of,rdaad:sellerCollectiveAgentOf.en,rdaad:P50792,property,rdac:C10011,rdaa:P50792,rdaad:P50783,rdaad:P50067,Published
is seller corporate body of,rdaad:sellerCorporateBodyOf.en,rdaad:P50943,property,rdac:C10005,rdaa:P50943,rdaad:P50934,rdaad:P50792,Published
is seller family of,rdaad:sellerFamilyOf.en,rdaad:P51094,property,rdac:C10008,rdaa:P51094,rdaad:P51085,rdaad:P50792,Published
is seller person of,rdaad:sellerPersonOf.en,rdaad:P50641,property,rdac:C10004,rdaa:P50641,rdaad:P50632,rdaad:P50067,Published
is singer agent of,rdaad:singerAgentOf.en,rdaad:P50084,property,rdac:C10002,rdaa:P50084,rdaad:P50147,,Published
is singer collective agent of,rdaad:singerCollectiveAgentOf.en,rdaad:P50753,property,rdac:C10011,rdaa:P50753,rdaad:P50754,rdaad:P50084,Published
is singer corporate body of,rdaad:singerCorporateBodyOf.en,rdaad:P50904,property,rdac:C10005,rdaa:P50904,rdaad:P50905,rdaad:P50753,Published
is singer family of,rdaad:singerFamilyOf.en,rdaad:P51055,property,rdac:C10008,rdaa:P51055,rdaad:P51056,rdaad:P50753,Published
is singer person of,rdaad:singerPersonOf.en,rdaad:P50602,property,rdac:C10004,rdaa:P50602,rdaad:P50603,rdaad:P50084,Published
is software developer agent of,rdaad:softwareDeveloperAgentOf.en,rdaad:P50263,property,rdac:C10002,rdaa:P50263,rdaad:P50448,,Published
is software developer collective agent of,rdaad:softwareDeveloperCollectiveAgentOf.en,rdaad:P50761,property,rdac:C10011,rdaa:P50761,rdaad:P50775,rdaad:P50263,Published
is software developer corporate body of,rdaad:softwareDeveloperCorporateBodyOf.en,rdaad:P50912,property,rdac:C10005,rdaa:P50912,rdaad:P50926,rdaad:P50761,Published
