reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,*uri,*type,*name,subClassOf[0],subClassOf[1],*status
16327,"has encoding format",http://rdaregistry.info/Elements/rof/hasEncodingFormat.en,"A schema, standard, etc., used to encode the content of a resource.",,http://rdaregistry.info/Elements/rof/P10004,property,hasEncodingFormat,,,
16328,"has intermediation tool",http://rdaregistry.info/Elements/rof/hasIntermediationTool.en,"A tool intended to be applied to the carrier to enable the content of the resource to be perceived.","IntermediationTool identifies any physical or digital tool required to enable the resource content to be perceived as intended, including tools required to decode, decrypt or otherwise circumvent security measures.",http://rdaregistry.info/Elements/rof/P10005,property,hasIntermediationTool,,,
16329,"has fixation tool",http://rdaregistry.info/Elements/rof/hasFixationTool.en,"A tool used to infix the content of a resource.",,http://rdaregistry.info/Elements/rof/P10006,property,hasFixationTool,,,
16330,"has base material",http://rdaregistry.info/Elements/rof/hasBaseMaterial.en,"An underlying physical material on or in which the content of a resource is stored.","Applies to resources conveying content on a physical carrier. Resources conveying content by means of broadcasting or online transmission will have a BaseMaterial value not applicable.",http://rdaregistry.info/Elements/rof/P10007,property,hasBaseMaterial,,,
16331,"has storage medium format",http://rdaregistry.info/Elements/rof/hasStorageMediumFormat.en,"The physical form of the material on which the content of the resource is stored.",,http://rdaregistry.info/Elements/rof/P10008,property,hasStorageMediumFormat,,,
16332,"has housing format",http://rdaregistry.info/Elements/rof/hasHousingFormat.en,"The physical format of the encasing for the storage medium.","Applies to resources conveying content on a physical carrier. Resources conveying content by means of broadcasting or online transmission will have a HousingFormat value not applicable.",http://rdaregistry.info/Elements/rof/P10009,property,hasHousingFormat,,,
16333,"has interaction",http://rdaregistry.info/Elements/rof/hasInteraction.en,"A capacity to respond to actions performed by the user in relation to the content of the resource.",,http://rdaregistry.info/Elements/rof/P10011,property,hasInteraction,,,
16334,"has character",http://rdaregistry.info/Elements/rof/hasCharacter.en,"A fundamental form of communication in which the content of a resource is expressed.",,http://rdaregistry.info/Elements/rof/P10012,property,hasCharacter,,,
16335,"has sensory mode",http://rdaregistry.info/Elements/rof/hasSensoryMode.en,"A human sense through which the content of a resource is intended to be perceived.","This attribute refers to a human sense through which the content of a resource is intended to be perceived, as distinct from a sense through which it might be perceived either incidentally or with the aid of an intermediating tool other than one which would normally be expected to be used (e.g., a device for transforming digitally encoded alphabetic characters into simulated voice).",http://rdaregistry.info/Elements/rof/P10013,property,hasSensoryMode,,,
16336,"has form or genre",http://rdaregistry.info/Elements/rof/hasFormOrGenre.en,"A literary, musical, artistic, etc., form or genre associated with the content of a resource.",,http://rdaregistry.info/Elements/rof/P10014,property,hasFormOrGenre,,,
16337,"has extension mode",http://rdaregistry.info/Elements/rof/hasExtensionMode.en,"A means by which the content of the resource is expected to be extended after initial release.",,http://rdaregistry.info/Elements/rof/P10015,property,hasExtensionMode,,,
16338,"has revision mode",http://rdaregistry.info/Elements/rof/hasRevisionMode.en,"A means by which the content of the resource is expected to be revised after initial release.",,http://rdaregistry.info/Elements/rof/P10016,property,hasRevisionMode,,,
16339,"has capture method",http://rdaregistry.info/Elements/rof/hasCaptureMethod.en,"A process used to capture the content of a resource.","CaptureMethod is the method used in the initial capturing the content, not the method used to fix the content onto the carrier (c.f., FixationMethod).",http://rdaregistry.info/Elements/rof/P10017,property,hasCaptureMethod,,,
16340,"has subject",http://rdaregistry.info/Elements/rof/hasSubject.en,"A topic, discipline, place, event, person, etc., associated with the content of a resource; what the content is about.",,http://rdaregistry.info/Elements/rof/P10018,property,hasSubject,,,
16341,"has purpose",http://rdaregistry.info/Elements/rof/hasPurpose.en,"A use for which the content of a resource is intended.",,http://rdaregistry.info/Elements/rof/P10019,property,hasPurpose,,,
16342,"has extension requirement",http://rdaregistry.info/Elements/rof/hasExtensionRequirement.en,"An assessment of the necessity of extension of the content of the resource after initial release for its integrity.",,http://rdaregistry.info/Elements/rof/P10020,property,hasExtensionRequirement,,,
16343,"has revision requirement",http://rdaregistry.info/Elements/rof/hasRevisionRequirement.en,"An assessment of the necessity of revision of the content of the resource after initial release for its integrity.",,http://rdaregistry.info/Elements/rof/P10021,property,hasRevisionRequirement,,,
16344,"has extension termination",http://rdaregistry.info/Elements/rof/hasExtensionTermination.en,"An expectation as to the period of extension of the content of the resource after initial release.",,http://rdaregistry.info/Elements/rof/P10022,property,hasExtensionTermination,,,
16345,"has revision termination",http://rdaregistry.info/Elements/rof/hasRevisionTermination.en,"An expectation as to the period of revision of the content of the resource after initial release.",,http://rdaregistry.info/Elements/rof/P10023,property,hasRevisionTermination,,,
16346,"has image dimensionality",http://rdaregistry.info/Elements/rof/hasImageDimensionality.en,"The number of spatial dimensions in which the image content of a resource is intended to be perceived.","Applies only to content with a Character value image.",http://rdaregistry.info/Elements/rof/P10024,property,hasImageDimensionality,,,
16347,"has image movement",http://rdaregistry.info/Elements/rof/hasImageMovement.en,"The perceived presence or absence of movement in the image content of a resource.","Applies only to content with a Character value image.",http://rdaregistry.info/Elements/rof/P10025,property,hasImageMovement,,,
