*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],*status,instructionNumber,has element type,See Also[0]
has identifier for collective agent,rdaa:identifierForCollectiveAgent.en,"Relates a collective agent to a nomen that is an appellation of collective agent that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a collective agent.",,,,,,,,,,,identifier for collective agent,"A nomen that is an appellation of collective agent that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a collective agent.",rdaa:P50384,property,rdac:C10011,rdaa:P50379,rdaa:P50383,Published,,3,
has identifier for corporate body,rdaa:identifierForCorporateBody.en,"Relates a corporate body to a nomen that is an appellation of corporate body that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a corporate body.",,,,,,,,,,,identifier for corporate body,"A nomen that is an appellation of corporate body that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a corporate body.",rdaa:P50006,property,rdac:C10005,rdaa:P50380,rdaa:P50384,Published,11.12,3,
has identifier for family,rdaa:identifierForFamily.en,"Relates a family to a nomen that is an appellation of family that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a family.",,,,,,,,,,,identifier for family,"A nomen that is an appellation of family that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a family.",rdaa:P50052,property,rdac:C10008,rdaa:P50381,rdaa:P50384,Published,10.1,3,
has identifier for person,rdaa:identifierForPerson.en,"Relates a person to a nomen that is an appellation of person that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a person.",,,,,,,,,,,identifier for person,"A nomen that is an appellation of person that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a person.",rdaa:P50094,property,rdac:C10004,rdaa:P50382,rdaa:P50383,Published,9.18,3,
is illuminator agent of,rdaa:illuminatorAgentOf.en,"Relates an agent to an item that is decorated by an agent using precious metals or colour, often with elaborate designs and motifs.",,illuminator of,,,,,,,,,illuminator agent of,"An item that is decorated by an agent using precious metals or colour, often with elaborate designs and motifs.",rdaa:P50092,property,rdac:C10002,rdaa:P50308,,Published,18.5,2,
is illuminator collective agent of,rdaa:illuminatorCollectiveAgentOf.en,"Relates a collective agent to an item that is decorated by a collective agent using precious metals or colour, often with elaborate designs and motifs.",,,,,,,,,,,illuminator collective agent of,"An item that is decorated by a collective agent using precious metals or colour, often with elaborate designs and motifs.",rdaa:P50788,property,rdac:C10011,rdaa:P50363,rdaa:P50092,Published,,2,
is illuminator corporate body of,rdaa:illuminatorCorporateBodyOf.en,"Relates a corporate body to an item that is decorated by a corporate body using precious metals or colour, often with elaborate designs and motifs.",,,,,,,,,,,illuminator corporate body of,"An item that is decorated by a corporate body using precious metals or colour, often with elaborate designs and motifs.",rdaa:P50939,property,rdac:C10005,rdaa:P50332,rdaa:P50788,Published,,2,
is illuminator family of,rdaa:illuminatorFamilyOf.en,"Relates a family to an item that is decorated by a family using precious metals or colour, often with elaborate designs and motifs.",,,,,,,,,,,illuminator family of,"An item that is decorated by a family using precious metals or colour, often with elaborate designs and motifs.",rdaa:P51090,property,rdac:C10008,rdaa:P50323,rdaa:P50788,Published,,2,
is illuminator person of,rdaa:illuminatorPersonOf.en,"Relates a person to an item that is decorated by a person using precious metals or colour, often with elaborate designs and motifs.",,,,,,,,,,,illuminator person of,"An item that is decorated by a person using precious metals or colour, often with elaborate designs and motifs.",rdaa:P50637,property,rdac:C10004,rdaa:P50314,rdaa:P50092,Published,,2,
is illustrator of (Deprecated),rdaa:illustratorOf.en,"Relates an agent to an expression that includes a contribution of supplementing the content with drawings, diagrams, photographs, etc. (Deprecated)",,,,,,,,,,,illustrator of (Deprecated),"An expression that includes a contribution of supplementing the content with drawings, diagrams, photographs, etc. (Deprecated)",rdaa:P50159,property,rdac:C10002,rdaa:P50451,,Deprecated,18.5,2,
is inscriber of,rdaa:inscriberOf.en,"Relates a person to an item that involves a responsibility for inscribing a text, such as a statement of dedication or gift.",,,,,,,,,,,inscriber of,"An item that involves a responsibility for inscribing a text, such as a statement of dedication or gift.",rdaa:P50125,property,rdac:C10004,rdaa:P50636,,Published,18.5,2,
is instructor agent of,rdaa:instructorAgentOf.en,Relates an agent to an expression that includes a contribution by an agent of teaching or providing a demonstration.,,instructor of,,,,,,,,,instructor agent of,An expression that includes a contribution by an agent of teaching or providing a demonstration.,rdaa:P50074,property,rdac:C10002,rdaa:P50147,,Published,18.5,2,
is instructor collective agent of,rdaa:instructorCollectiveAgentOf.en,Relates a collective agent to an expression that includes a contribution by a collective agent of teaching or providing a demonstration.,,,,,,,,,,,instructor collective agent of,An expression that includes a contribution by a collective agent of teaching or providing a demonstration.,rdaa:P50770,property,rdac:C10011,rdaa:P50754,rdaa:P50074,Published,,2,
is instructor corporate body of,rdaa:instructorCorporateBodyOf.en,Relates a corporate body to an expression that includes a contribution by a corporate body of teaching or providing a demonstration.,,,,,,,,,,,instructor corporate body of,An expression that includes a contribution by a corporate body of teaching or providing a demonstration.,rdaa:P50921,property,rdac:C10005,rdaa:P50905,rdaa:P50770,Published,,2,
is instructor family of,rdaa:instructorFamilyOf.en,Relates a family to an expression that includes a contribution by a family of teaching or providing a demonstration.,,,,,,,,,,,instructor family of,An expression that includes a contribution by a family of teaching or providing a demonstration.,rdaa:P51072,property,rdac:C10008,rdaa:P51056,rdaa:P50770,Published,,2,
is instructor person of,rdaa:instructorPersonOf.en,Relates a person to an expression that includes a contribution by a person of teaching or providing a demonstration.,,,,,,,,,,,instructor person of,An expression that includes a contribution by a person of teaching or providing a demonstration.,rdaa:P50619,property,rdac:C10004,rdaa:P50603,rdaa:P50074,Published,,2,
is instrumental conductor agent of,rdaa:instrumentalConductorAgentOf.en,Relates an agent to an expression that includes a contribution by an agent of conducting and leading an instrumental performing group in a musical or dramatic presentation.,,instrumental conductor of,,,,,,,,,instrumental conductor agent of,An expression that includes a contribution by an agent of conducting and leading an instrumental performing group in a musical or dramatic presentation.,rdaa:P50269,property,rdac:C10002,rdaa:P50070,,Published,18.5,2,
is instrumental conductor collective agent of,rdaa:instrumentalConductorCollectiveAgentOf.en,Relates a collective agent to an expression that includes a contribution by a collective agent of conducting and leading an instrumental performing group in a musical or dramatic presentation.,,,,,,,,,,,instrumental conductor collective agent of,An expression that includes a contribution by a collective agent of conducting and leading an instrumental performing group in a musical or dramatic presentation.,rdaa:P50726,property,rdac:C10011,rdaa:P50743,rdaa:P50269,Published,,2,
is instrumental conductor corporate body of,rdaa:instrumentalConductorCorporateBodyOf.en,Relates a corporate body to an expression that includes a contribution by a corporate body of conducting and leading an instrumental performing group in a musical or dramatic presentation.,,,,,,,,,,,instrumental conductor corporate body of,An expression that includes a contribution by a corporate body of conducting and leading an instrumental performing group in a musical or dramatic presentation.,rdaa:P50877,property,rdac:C10005,rdaa:P50894,rdaa:P50726,Published,,2,
is instrumental conductor family of,rdaa:instrumentalConductorFamilyOf.en,Relates a family to an expression that includes a contribution by a family of conducting and leading an instrumental performing group in a musical or dramatic presentation.,,,,,,,,,,,instrumental conductor family of,An expression that includes a contribution by a family of conducting and leading an instrumental performing group in a musical or dramatic presentation.,rdaa:P51028,property,rdac:C10008,rdaa:P51045,rdaa:P50726,Published,,2,
is instrumental conductor person of,rdaa:instrumentalConductorPersonOf.en,Relates a person to an expression that includes a contribution by a person of conducting and leading an instrumental performing group in a musical or dramatic presentation.,,,,,,,,,,,instrumental conductor person of,An expression that includes a contribution by a person of conducting and leading an instrumental performing group in a musical or dramatic presentation.,rdaa:P50575,property,rdac:C10004,rdaa:P50592,rdaa:P50269,Published,,2,
is instrumentalist agent of,rdaa:instrumentalistAgentOf.en,Relates an agent to an expression that includes a contribution by an agent of playing a musical instrument.,,instrumentalist of,,,,,,,,,instrumentalist agent of,An expression that includes a contribution by an agent of playing a musical instrument.,rdaa:P50079,property,rdac:C10002,rdaa:P50147,,Published,18.5,2,
is instrumentalist collective agent of,rdaa:instrumentalistCollectiveAgentOf.en,Relates a collective agent to an expression that includes a contribution by a collective agent of playing a musical instrument.,,,,,,,,,,,instrumentalist collective agent of,An expression that includes a contribution by a collective agent of playing a musical instrument.,rdaa:P50755,property,rdac:C10011,rdaa:P50754,rdaa:P50079,Published,,2,
is instrumentalist corporate body of,rdaa:instrumentalistCorporateBodyOf.en,Relates a corporate body to an expression that includes a contribution by a corporate body of playing a musical instrument.,,,,,,,,,,,instrumentalist corporate body of,An expression that includes a contribution by a corporate body of playing a musical instrument.,rdaa:P50906,property,rdac:C10005,rdaa:P50905,rdaa:P50755,Published,,2,
is instrumentalist family of,rdaa:instrumentalistFamilyOf.en,Relates a family to an expression that includes a contribution by a family of playing a musical instrument.,,,,,,,,,,,instrumentalist family of,An expression that includes a contribution by a family of playing a musical instrument.,rdaa:P51057,property,rdac:C10008,rdaa:P51056,rdaa:P50755,Published,,2,
is instrumentalist person of,rdaa:instrumentalistPersonOf.en,Relates a person to an expression that includes a contribution by a person of playing a musical instrument.,,,,,,,,,,,instrumentalist person of,An expression that includes a contribution by a person of playing a musical instrument.,rdaa:P50604,property,rdac:C10004,rdaa:P50603,rdaa:P50079,Published,,2,
is interviewee agent of expression of,rdaa:intervieweeAgentOfExpressionOf.en,"Relates an agent to an expression that includes a contribution by an agent of being interviewed, usually by a reporter or some other kind of agent who gathers information.",,interviewee of expression of,,,,,,,,,interviewee agent of expression of,"An expression that includes a contribution by an agent of being interviewed, usually by a reporter or some other kind of agent who gathers information.",rdaa:P50155,property,rdac:C10002,rdaa:P50449,,Published,18.5,2,
is interviewee agent of work of,rdaa:intervieweeAgentOfWorkOf.en,"Relates an agent to a work that involves a responsibility of an agent for responding to an interviewer, usually a reporter, pollster, or some other kind of agent who gathers information.",,interviewee of,,,,,,,,,interviewee agent of work of,"A work that involves a responsibility of an agent for responding to an interviewer, usually a reporter, pollster, or some other kind of agent who gathers information.",rdaa:P50193,property,rdac:C10002,rdaa:P50204,,Published,18.5,2,
is interviewee collective agent of expression of,rdaa:intervieweeCollectiveAgentOfExpressionOf.en,"Relates a collective agent to an expression that includes a contribution by a collective agent of being interviewed, usually by a reporter or some other kind of agent who gathers information.",,,,,,,,,,,interviewee collective agent of expression of,"An expression that includes a contribution by a collective agent of being interviewed, usually by a reporter or some other kind of agent who gathers information.",rdaa:P50725,property,rdac:C10011,rdaa:P50774,rdaa:P50155,Published,,2,
is interviewee collective agent of work of,rdaa:intervieweeCollectiveAgentOfWorkOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for responding to an interviewer, usually a reporter, pollster, or some other kind of agent who gathers information.",,,,,,,,,,,interviewee collective agent of work of,"A work that involves a responsibility of a collective agent for responding to an interviewer, usually a reporter, pollster, or some other kind of agent who gathers information.",rdaa:P50710,property,rdac:C10011,rdaa:P50693,rdaa:P50193,Published,,2,
is interviewee corporate body of expression of,rdaa:intervieweeCorporateBodyOfExpressionOf.en,"Relates a corporate body to an expression that includes a contribution by a corporate body of being interviewed, usually by a reporter or some other kind of agent who gathers information.",,,,,,,,,,,interviewee corporate body of expression of,"An expression that includes a contribution by a corporate body of being interviewed, usually by a reporter or some other kind of agent who gathers information.",rdaa:P50876,property,rdac:C10005,rdaa:P50925,rdaa:P50725,Published,,2,
is interviewee corporate body of work of,rdaa:intervieweeCorporateBodyOfWorkOf.en,"Relates a corporate body to a work that involves a responsibility of a corporate body for responding to an interviewer, usually a reporter, pollster, or some other kind of agent who gathers information.",,,,,,,,,,,interviewee corporate body of work of,"A work that involves a responsibility of a corporate body for responding to an interviewer, usually a reporter, pollster, or some other kind of agent who gathers information.",rdaa:P50861,property,rdac:C10005,rdaa:P50844,rdaa:P50710,Published,,2,
is interviewee family of expression of,rdaa:intervieweeFamilyOfExpressionOf.en,"Relates a family to an expression that includes a contribution by a family of being interviewed, usually by a reporter or some other kind of agent who gathers information.",,,,,,,,,,,interviewee family of expression of,"An expression that includes a contribution by a family of being interviewed, usually by a reporter or some other kind of agent who gathers information.",rdaa:P51027,property,rdac:C10008,rdaa:P51076,rdaa:P50725,Published,,2,
is interviewee family of work of,rdaa:intervieweeFamilyOfWorkOf.en,"Relates a family to a work that involves a responsibility of a family for responding to an interviewer, usually a reporter, pollster, or some other kind of agent who gathers information.",,,,,,,,,,,interviewee family of work of,"A work that involves a responsibility of a family for responding to an interviewer, usually a reporter, pollster, or some other kind of agent who gathers information.",rdaa:P51012,property,rdac:C10008,rdaa:P50995,rdaa:P50710,Published,,2,
is interviewee person of expression of,rdaa:intervieweePersonOfExpressionOf.en,"Relates a person to an expression that includes a contribution by a person of being interviewed, usually by a reporter or some other kind of agent who gathers information.",,,,,,,,,,,interviewee person of expression of,"An expression that includes a contribution by a person of being interviewed, usually by a reporter or some other kind of agent who gathers information.",rdaa:P50574,property,rdac:C10004,rdaa:P50623,rdaa:P50155,Published,,2,
is interviewee person of work of,rdaa:intervieweePersonOfWorkOf.en,"Relates a person to a work that involves a responsibility of a person for responding to an interviewer, usually a reporter, pollster, or some other kind of agent who gathers information.",,,,,,,,,,,interviewee person of work of,"A work that involves a responsibility of a person for responding to an interviewer, usually a reporter, pollster, or some other kind of agent who gathers information.",rdaa:P50559,property,rdac:C10004,rdaa:P50542,rdaa:P50193,Published,,2,
is interviewer agent of expression of,rdaa:interviewerAgentOfExpressionOf.en,"Relates an agent to an expression that includes a contribution by an agent of interviewing, reporting, or some other kind of gathering of information.",,interviewer (expression) of,,,,,,,,,interviewer agent of expression of,"An expression that includes a contribution by an agent of interviewing, reporting, or some other kind of gathering of information.",rdaa:P50140,property,rdac:C10002,rdaa:P50449,,Published,18.5,2,
is interviewer agent of work of,rdaa:interviewerAgentOfWorkOf.en,"Relates an agent to a work that involves a responsibility by an agent for acting as an interviewer, reporter, pollster, or some other kind of agent who gathers information.",,interviewer of,,,,,,,,,interviewer agent of work of,"A work that involves a responsibility of an agent for acting as an interviewer, reporter, pollster, or some other kind of agent who gathers information.",rdaa:P50191,property,rdac:C10002,rdaa:P50204,,Published,18.5,2,
is interviewer collective agent of expression of,rdaa:interviewerCollectiveAgentOfExpressionOf.en,"Relates a collective agent to an expression that includes a contribution by a collective agent of interviewing, reporting, or some other kind of gathering of information.",,,,,,,,,,,interviewer collective agent of expression of,"An expression that includes a contribution by a collective agent of interviewing, reporting, or some other kind of gathering of information.",rdaa:P50739,property,rdac:C10011,rdaa:P50774,rdaa:P50140,Published,,2,
is interviewer collective agent of work of,rdaa:interviewerCollectiveAgentOfWorkOf.en,"Relates a collective agent to a work that involves a responsibility by a collective agent for acting as an interviewer, reporter, pollster, or some other kind of collective agent who gathers information.",,,,,,,,,,,interviewer collective agent of work of,"A work that involves a responsibility of a collective agent for acting as an interviewer, reporter, pollster, or some other kind of collective agent who gathers information.",rdaa:P50678,property,rdac:C10011,rdaa:P50693,rdaa:P50191,Published,,2,
is interviewer corporate body of expression of,rdaa:interviewerCorporateBodyOfExpressionOf.en,"Relates a corporate body to an expression that includes a contribution by a corporate body of interviewing, reporting, or some other kind of gathering of information.",,,,,,,,,,,interviewer corporate body of expression of,"An expression that includes a contribution by a corporate body of interviewing, reporting, or some kind of other gathering of information.",rdaa:P50890,property,rdac:C10005,rdaa:P50925,rdaa:P50739,Published,,2,
is interviewer corporate body of work of,rdaa:interviewerCorporateBodyOfWorkOf.en,"Relates a corporate body to a work that involves a responsibility by a corporate body for acting as an interviewer, reporter, pollster, or some other kind of corporate body who gathers information.",,,,,,,,,,,interviewer corporate body of work of,"A work that involves a responsibility of a corporate body for acting as an interviewer, reporter, pollster, or some other kind of corporate body who gathers information.",rdaa:P50829,property,rdac:C10005,rdaa:P50844,rdaa:P50678,Published,,2,
is interviewer family of expression of,rdaa:interviewerFamilyOfExpressionOf.en,"Relates a family to an expression that includes a contribution by a family of interviewing, reporting, or some other kind of gathering of information.",,,,,,,,,,,interviewer family of expression of,"An expression that includes a contribution by a family of interviewing, reporting, or some other kind of gathering of information.",rdaa:P51041,property,rdac:C10008,rdaa:P51076,rdaa:P50739,Published,,2,
is interviewer family of work of,rdaa:interviewerFamilyOfWorkOf.en,"Relates a family to a work that involves a responsibility by a family for acting as an interviewer, reporter, pollster, or some other kind of family who gathers information.",,,,,,,,,,,interviewer family of work of,"A work that involves a responsibility of a family for acting as an interviewer, reporter, pollster, or some other kind of family who gathers information.",rdaa:P50980,property,rdac:C10008,rdaa:P50995,rdaa:P50678,Published,,2,
is interviewer person of expression of,rdaa:interviewerPersonOfExpressionOf.en,"Relates a person to an expression that includes a contribution by a person of interviewing, reporting, or some other kind of gathering of information.",,,,,,,,,,,interviewer person of expression of,"An expression that includes a contribution by a person of interviewing, reporting, or some other kind of gathering of information.",rdaa:P50588,property,rdac:C10004,rdaa:P50623,rdaa:P50140,Published,,2,
is interviewer person of work of,rdaa:interviewerPersonOfWorkOf.en,"Relates a person to a work that involves a responsibility by a person for acting as an interviewer, reporter, pollster, or some other kind of person who gathers information.",,,,,,,,,,,interviewer person of work of,"A work that involves a responsibility of a person for acting as an interviewer, reporter, pollster, or some other kind of person who gathers information.",rdaa:P50527,property,rdac:C10004,rdaa:P50542,rdaa:P50191,Published,,2,
is inventor agent of,rdaa:inventorAgentOf.en,Relates an agent to a work that involves a responsibility of an agent for creating a new device or process.,,inventor of,,,,,,,,,inventor agent of,A work that involves a responsibility of an agent for creating a new device or process.,rdaa:P50188,property,rdac:C10002,rdaa:P50204,,Published,18.5,2,
is inventor collective agent of,rdaa:inventorCollectiveAgentOf.en,Relates a collective agent to a work that involves a responsibility of a collective agent for creating a new device or process.,,,,,,,,,,,inventor collective agent of,A work that involves a responsibility of a collective agent for creating a new device or process.,rdaa:P50677,property,rdac:C10011,rdaa:P50693,rdaa:P50188,Published,,2,
is inventor corporate body of,rdaa:inventorCorporateBodyOf.en,Relates a corporate body to a work that involves a responsibility of a corporate body for creating a new device or process.,,,,,,,,,,,inventor corporate body of,A work that involves a responsibility of a corporate body for creating a new device or process.,rdaa:P50828,property,rdac:C10005,rdaa:P50844,rdaa:P50677,Published,,2,
is inventor family of,rdaa:inventorFamilyOf.en,Relates a family to a work that involves a responsibility of a family for creating a new device or process.,,,,,,,,,,,inventor family of,A work that involves a responsibility of a family for creating a new device or process.,rdaa:P50979,property,rdac:C10008,rdaa:P50995,rdaa:P50677,Published,,2,
is inventor person of,rdaa:inventorPersonOf.en,Relates a person to a work that involves a responsibility of a person for creating a new device or process.,,,,,,,,,,,inventor person of,A work that involves a responsibility of a person for creating a new device or process.,rdaa:P50526,property,rdac:C10004,rdaa:P50542,rdaa:P50188,Published,,2,
is collection registrar agent of,rdaa:isCollectionRegistrarAgentOf.en,Relates an agent to a work that involves a responsibility of an agent for creating a metadata work.,,cataloguer agent of,,,,,,,,,collection registrar agent of,A work that involves a responsibility of an agent for creating a metadata work.,rdaa:P51118,property,rdac:C10002,rdaa:P50189,,Published,,2,
is collection registrar collective agent of,rdaa:isCollectionRegistrarCollectiveAgentOf.en,Relates a collective agent to a work that involves a responsibility of a collective agent for creating a metadata work.,,cataloguer collective agent of,,,,,,,,,collection registrar collective agent of,A work that involves a responsibility of a collective agent for creating a metadata work.,rdaa:P51119,property,rdac:C10011,rdaa:P50711,rdaa:P51118,Published,,2,
is collection registrar corporate body of,rdaa:isCollectionRegistrarCorporateBodyOf.en,Relates a corporate body to a work that involves a responsibility of a corporate body for creating a metadata work.,,cataloguer corporate body of,,,,,,,,,collection registrar corporate body of,A work that involves a responsibility of a corporate body for creating a metadata work.,rdaa:P51120,property,rdac:C10005,rdaa:P50862,rdaa:P51119,Published,,2,
is collection registrar family of,rdaa:isCollectionRegistrarFamilyOf.en,Relates a family to a work that involves a responsibility of a family for creating a metadata work.,,cataloguer family of,,,,,,,,,collection registrar family of,A work that involves a responsibility of a family for creating a metadata work.,rdaa:P51121,property,rdac:C10008,rdaa:P51013,rdaa:P51119,Published,,2,
is collection registrar person of,rdaa:isCollectionRegistrarPersonOf.en,Relates a person to a work that involves a responsibility of a person for creating a metadata work.,,cataloguer person of,,,,,,,,,collection registrar person of,A work that involves a responsibility of a person for creating a metadata work.,rdaa:P51122,property,rdac:C10004,rdaa:P50560,rdaa:P51118,Published,,2,
is collector agent of,rdaa:isCollectorAgentOf.en,Relates an agent to a work that involves a responsibility of an agent for collecting by selecting and arranging items that exemplify the embodiment of other works,,,,,,,,,,,collector agent of,A work that involves a responsibility of an agent for collecting by selecting and arranging items that exemplify the embodiment of other works,rdaa:P51113,property,rdac:C10002,rdaa:P50204,,Published,,2,
is collector collective agent of,rdaa:isCollectorCollectiveAgentof.en,Relates a collective agent to a work that involves a responsibility of a collective agent for collecting by selecting and arranging items that exemplify the embodiment of other works,,,,,,,,,,,collector collective agent of,A work that involves a responsibility of a collective agent for collecting by selecting and arranging items that exemplify the embodiment of other works,rdaa:P51114,property,rdac:C10011,rdaa:P50693,rdaa:P51113,Published,,2,
is collector corporate body of,rdaa:isCollectorCorporateBodyof.en,Relates a corporate body to a work that involves a responsibility of a corporate body for collecting by selecting and arranging items that exemplify the embodiment of other works,,,,,,,,,,,collector corporate body of,A work that involves a responsibility of a corporate body for collecting by selecting and arranging items that exemplify the embodiment of other works,rdaa:P51115,property,rdac:C10005,rdaa:P50844,rdaa:P51114,Published,,2,
is collector family of,rdaa:isCollectorFamilyof.en,Relates a family to a work that involves a responsibility of a family for collecting by selecting and arranging items that exemplify the embodiment of other works,,,,,,,,,,,collector family of,A work that involves a responsibility of a family for collecting by selecting and arranging items that exemplify the embodiment of other works,rdaa:P51116,property,rdac:C10008,rdaa:P50995,rdaa:P51114,Published,,2,
is collector person of,rdaa:isCollectorPersonof.en,Relates a person to a work that involves a responsibility of a person for collecting by selecting and arranging items that exemplify the embodiment of other works,,,,,,,,,,,collector person of,A work that involves a responsibility of a person for collecting by selecting and arranging items that exemplify the embodiment of other works,rdaa:P51117,property,rdac:C10004,rdaa:P50542,rdaa:P51113,Published,,2,
is issuing agent of,rdaa:issuingAgentOf.en,"Relates an agent to a work that involves a responsibility of an agent for issuing a work, such as an official organ of the body.",,issuing body of,,,,,,,,,issuing agent of,"A work that involves a responsibility of an agent for issuing a work, such as an official organ of the body.",rdaa:P50130,property,rdac:C10002,rdaa:P50305,,Published,18.5,2,
is issuing collective agent of,rdaa:issuingCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for issuing a work, such as an official organ of the body.",,,,,,,,,,,issuing collective agent of,"A work that involves a responsibility of a collective agent for issuing a work, such as an official organ of the body.",rdaa:P50697,property,rdac:C10011,rdaa:P50357,rdaa:P50130,Published,,2,
is issuing corporate body of,rdaa:issuingCorporateBodyOf.en,"Relates a corporate body to a work that involves a responsibility of a corporate body for issuing a work, such as an official organ of the body.",,,,,,,,,,,issuing corporate body of,"A work that involves a responsibility of a corporate body for issuing a work, such as an official organ of the body.",rdaa:P50848,property,rdac:C10005,rdaa:P50329,rdaa:P50697,Published,,2,
is issuing family of,rdaa:issuingFamilyOf.en,"Relates a family to a work that involves a responsibility of a family for issuing a work, such as an official organ of the body.",,,,,,,,,,,issuing family of,"A work that involves a responsibility of a family for issuing a work, such as an official organ of the body.",rdaa:P50999,property,rdac:C10008,rdaa:P50320,rdaa:P50697,Published,,2,
is issuing person of,rdaa:issuingPersonOf.en,"Relates a person to a work that involves a responsibility of a person for issuing a work, such as an official organ of the body.",,,,,,,,,,,issuing person of,"A work that involves a responsibility of a person for issuing a work, such as an official organ of the body.",rdaa:P50546,property,rdac:C10004,rdaa:P50311,rdaa:P50130,Published,,2,
has jointly held conference,rdaa:jointlyHeldConference.en,Relates a corporate body who is a conference to a conference that is jointly held with another conference.,,,,,,,,,,,jointly held conference,A corporate body who is a conference that is jointly held with another conference.,rdaa:P50303,property,rdac:C10005,rdaa:P50336,,Published,29.5,2,
is judge of,rdaa:judgeOf.en,Relates a person to a work that involves a responsibility for hearing and decision on legal matters in court.,,,,,,,,,,,judge of,A work that involves a responsibility for hearing and decision on legal matters in court.,rdaa:P50126,property,rdac:C10004,rdaa:P50542,,Published,18.5,2,
has jurisdiction governed,rdaa:jurisdictionGoverned.en,"Relates a corporate body to a place that is a jurisdiction governed by a law, regulation, etc., that was enacted by another government.",,,,,,,,,,,jurisdiction governed,"A place that is a jurisdiction governed by a law, regulation, etc., that was enacted by another government.",rdaa:P50425,property,rdac:C10005,rdaa:P50350,,Published,,2,
is jurisdiction governed of (Deprecated),rdaa:jurisdictionGovernedOf.en,"Relates a corporate body to a work that is a law, regulation, etc. that governs a jurisdiction that was enacted by another jurisdiction. (Deprecated)",,,,,,,,,,,jurisdiction governed of (Deprecated),"A work that is a law, regulation, etc. that governs a jurisdiction that was enacted by another jurisdiction. (Deprecated)",rdaa:P50069,property,rdac:C10005,rdaa:P50131,,Deprecated,18.5,,
is landscape architect agent of,rdaa:landscapeArchitectAgentOf.en,Relates an agent to a work that involves a responsibility of an agent for creating landscapes.,,landscape architect of,,,,,,,,,landscape architect agent of,A work that involves a responsibility of an agent for creating landscapes.,rdaa:P50221,property,rdac:C10002,rdaa:P50196,,Published,18.5,2,
is landscape architect collective agent of,rdaa:landscapeArchitectCollectiveAgentOf.en,Relates a collective agent to a work that involves a responsibility of a collective agent for creating landscapes.,,,,,,,,,,,landscape architect collective agent of,A work that involves a responsibility of a collective agent for creating landscapes.,rdaa:P50682,property,rdac:C10011,rdaa:P50680,rdaa:P50221,Published,,2,
is landscape architect corporate body of,rdaa:landscapeArchitectCorporateBodyOf.en,Relates a corporate body to a work that involves a responsibility of a corporate body for creating landscapes.,,,,,,,,,,,landscape architect corporate body of,A work that involves a responsibility of a corporate body for creating landscapes.,rdaa:P50833,property,rdac:C10005,rdaa:P50831,rdaa:P50682,Published,,2,
is landscape architect family of,rdaa:landscapeArchitectFamilyOf.en,Relates a family to a work that involves a responsibility of a family for creating landscapes.,,,,,,,,,,,landscape architect family of,A work that involves a responsibility of a family for creating landscapes.,rdaa:P50984,property,rdac:C10008,rdaa:P50982,rdaa:P50682,Published,,2,
is landscape architect person of,rdaa:landscapeArchitectPersonOf.en,Relates a person to a work that involves a responsibility of a person for creating landscapes.,,,,,,,,,,,landscape architect person of,A work that involves a responsibility of a person for creating landscapes.,rdaa:P50531,property,rdac:C10004,rdaa:P50529,rdaa:P50221,Published,,2,
has language of agent,rdaa:languageOfAgent.en,Relates an agent to a language that is used by an agent in its communications.,,,,,,,,,,,language of agent,A language that is used by an agent in its communications.,rdaa:P50401,property,rdac:C10002,,,Published,,5,
has language of collective agent,rdaa:languageOfCollectiveAgent.en,Relates a collective agent to a language that is used by a collective agent in its communications.,,,,,,,,,,,language of collective agent,A language that is used by a collective agent in its communications.,rdaa:P50402,property,rdac:C10011,rdaa:P50401,,Published,,5,
has language of corporate body,rdaa:languageOfCorporateBody.en,Relates a corporate body to a language that is used by a corporate body in its communications.,,,,,,,,,,,language of corporate body,A language that is used by a corporate body in its communications.,rdaa:P50023,property,rdac:C10005,rdaa:P50402,,Published,11.8,5,
has language of family,rdaa:languageOfFamily.en,Relates a family to a language that is used by a family in its communications.,,,,,,,,,,,language of family,A language that is used by a family in its communications.,rdaa:P50235,property,rdac:C10008,rdaa:P50402,,Published,10.8,5,
has language of person,rdaa:languageOfPerson.en,Relates a person to a language that is used by a person in its communications.,,,,,,,,,,,language of person,A language that is used by a person in its communications.,rdaa:P50102,property,rdac:C10004,rdaa:P50401,,Published,9.14,5,
