reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,domain,range,hasUnconstrained,subPropertyOf[0],subPropertyOf[1],inverseOf,sameAs[0],*status,instructionNumber,"has element type"
14511,"has emulsion on microfilm and microfiche",rdam:emulsionOnMicrofilmAndMicrofiche.en,"Relates a manifestation to a suspension of light-sensitive chemicals that is used as a coating on a microfilm or microfiche.",,,,,,,,,,,"emulsion on microfilm and microfiche","A suspension of light-sensitive chemicals that is used as a coating on a microfilm or microfiche.",rdam:P30122,property,emulsionOnMicrofilmAndMicrofiche,rdac:C10007,,rdau:P60344,rdam:P30084,,,,Published,3.7.2,4
14512,"has broadcast standard",rdam:broadcastStandard.en,"Relates a manifestation to a system used to format a manifestation of a video for television broadcast.",,,,,,,,,,,"broadcast standard","A system used to format a manifestation of a video for television broadcast.",rdam:P30123,property,broadcastStandard,rdac:C10007,,rdau:P60349,rdam:P30126,,,,Published,3.18.3,4
14513,"has digital file characteristic",rdam:digitalFileCharacteristic.en,"Relates a manifestation to a technical specification relating to the digital encoding of text, image, audio, video, and other types of data in a manifestation.",,,,,,,,,,,"digital file characteristic","A technical specification relating to the digital encoding of text, image, audio, video, and other types of data in a manifestation.",rdam:P30124,property,digitalFileCharacteristic,rdac:C10007,,rdau:P60350,,,,,Published,3.19,4
14514,"has sound characteristic",rdam:soundCharacteristic.en,"Relates a manifestation to a technical specification relating to the encoding of sound in a manifestation.",,,,,,,,,,,"sound characteristic","A technical specification relating to the encoding of sound in a manifestation.",rdam:P30125,property,soundCharacteristic,rdac:C10007,,rdau:P60351,,,,,Published,3.16,6
14515,"has video characteristic",rdam:videoCharacteristic.en,"Relates a manifestation to a technical specification relating to the encoding of video images in a manifestation.",,,,,,,,,,,"video characteristic","A technical specification relating to the encoding of video images in a manifestation.",rdam:P30126,property,videoCharacteristic,rdac:C10007,,rdau:P60352,,,,,Published,3.18,4
14516,"has projection characteristic of motion picture film",rdam:projectionCharacteristicOfMotionPictureFilm.en,"Relates a manifestation to a technical specification relating to the projection of a motion picture film.",,,,,,,,,,,"projection characteristic of motion picture film","A technical specification relating to the projection of a motion picture film.",rdam:P30127,property,projectionCharacteristicOfMotionPictureFilm,rdac:C10007,,rdau:P60353,,,,,Published,3.17,6
14517,"has variant title of manifestation",rdam:variantTitleOfManifestation.en,"Relates a manifestation to a title of manifestation that is not selected for preference in a specific application or context",,,,,,,,,,,"variant title of manifestation","A title of manifestation that is not selected for preference in a specific application or context",rdam:P30128,property,variantTitleOfManifestation,rdac:C10007,,rdau:P60355,rdam:P30134,rdax:P00023,,,Published,2.3.6,3
14520,"has abbreviated title",rdam:abbreviatedTitle.en,"Relates a manifestation to a title that has been abbreviated for purposes of indexing or identification.",,,,,,,,,,,"abbreviated title","A title that has been abbreviated for purposes of indexing or identification.",rdam:P30131,property,abbreviatedTitle,rdac:C10007,,rdau:P60359,rdam:P30134,,,,Published,2.3.10,3
14521,"has designation of named revision of edition",rdam:designationOfNamedRevisionOfEdition.en,"Relates a manifestation to a word, character, or group of words or characters, that identifies a particular revision of a named edition.",,,,,,,,,,,"designation of named revision of edition","A word, character, or group of words or characters, that identifies a particular revision of a named edition.",rdam:P30132,property,designationOfNamedRevisionOfEdition,rdac:C10007,,rdau:P60364,,,,,Published,2.5.6,6
14522,"has designation of edition",rdam:designationOfEdition.en,"Relates a manifestation to a word, character, or group of words or characters, that identifies an edition to which a manifestation belongs.",,,,,,,,,,,"designation of edition","A word, character, or group of words or characters, that identifies an edition to which a manifestation belongs.",rdam:P30133,property,designationOfEdition,rdac:C10007,,rdau:P60365,,,,,Published,2.5.2,6
14523,"has title of manifestation",rdam:titleOfManifestation.en,"Relates a manifestation to an appellation of manifestation in natural language and phrasing used in common discourse.",,,,,,,,,,,"title of manifestation","An appellation of manifestation in natural language and phrasing used in common discourse.",rdam:P30134,property,titleOfManifestation,rdac:C10007,,rdau:P60369,rdam:P30277,rdax:P00019,,,Published,2.3,3
14524,"has work manifested",rdam:workManifested.en,"Relates a manifestation to a work that is embodied by a manifestation.",,,,,,,,,,,"work manifested","A work that is embodied by a manifestation.",rdam:P30135,property,workManifested,rdac:C10007,,,rdam:P30265,,,,Published,17.8,3
14525,"is electronic reproduction of manifestation of",rdam:electronicReproductionOfManifestationOf.en,"Relates a manifestation to a manifestation in an analog format that is transferred to a digital format.",,,,,,,,,,,"electronic reproduction of manifestation of","A manifestation in an analog format that is transferred to a digital format.",rdam:P30136,property,electronicReproductionOfManifestationOf,rdac:C10007,,rdau:P60469,rdam:P30043,,,,Published,24.5,2
14526,"has note on manifestation",rdam:noteOnManifestation.en,"Relates a manifestation to a broad unstructured description of one or more attributes of a manifestation.",,"note on frequency",,,,,,,,,"note on manifestation","A broad unstructured description of one or more attributes of a manifestation.",rdam:P30137,property,noteOnManifestation,rdac:C10007,,rdau:P60470,rdax:P00015,,,,Published,2.17,6
14527,"has special playback characteristic",rdam:specialPlaybackCharacteristic.en,"Relates a manifestation to an equalization system, noise-reduction system, etc., used in making an audio recording.",,,,,,,,,,,"special playback characteristic","An equalization system, noise-reduction system, etc., used in making an audio recording.",rdam:P30138,property,specialPlaybackCharacteristic,rdac:C10007,,rdau:P60481,rdam:P30125,,,,Published,3.16.9,6
14528,"has expression manifested",rdam:expressionManifested.en,"Relates a manifestation to an expression that is embodied by a manifestation.",,,,,,,,,,,"expression manifested","An expression that is embodied by a manifestation.",rdam:P30139,property,expressionManifested,rdac:C10007,,,rdam:P30266,,,,Published,17.10,3
14529,"has related item of manifestation",rdam:relatedItemOfManifestation.en,"Relates a manifestation to an item that is associated with a manifestation.",,,,,,,,,,,"related item of manifestation","An item that is associated with a manifestation.",rdam:P30140,property,relatedItemOfManifestation,rdac:C10007,,rdau:P60313,rdam:P30264,rdax:P00005,,,Published,,1
14530,"has contact information",rdam:contactInformation.en,"Relates a manifestation to a name, address, etc., of an agent from which a manifestation may be obtained.","An agent includes the distributor, manufacturer, or publisher of a published manifestation, or the archival repository that holds the manifestation.",,,,,,,,,,"contact information","A name, address, etc., of an agent from which a manifestation may be obtained.",rdam:P30141,property,contactInformation,rdac:C10007,,rdau:P60490,,,,,Published,4.3,6
14531,"has other title information",rdam:otherTitleInformation.en,"Relates a manifestation to a word, character, or group of words or characters that appears in conjunction with, and is subordinate to, a title proper of a manifestation.",,,,,,,,,,,"other title information","A word, character, or group of words or characters that appears in conjunction with, and is subordinate to, a title proper of a manifestation.",rdam:P30142,property,otherTitleInformation,rdac:C10007,,rdau:P60493,,,,,Published,2.3.4,6
14532,"has other title information of series",rdam:otherTitleInformationOfSeries.en,"Relates a manifestation to a word, character, or group of words or characters that appears in conjunction with, and is subordinate to, a title of series.",,"other title information of subseries",,,,,,,,,"other title information of series","A word, character, or group of words or characters that appears in conjunction with, and is subordinate to, a title of series.",rdam:P30143,property,otherTitleInformationOfSeries,rdac:C10007,,rdau:P60494,,,,,Published,2.12.4,6
14534,"has restriction on access to manifestation",rdam:restrictionOnAccessToManifestation.en,"Relates a manifestation to a limitation placed on access to a manifestation.",,,,,,,,,,,"restriction on access to manifestation","A limitation placed on access to a manifestation.",rdam:P30145,property,restrictionOnAccessToManifestation,rdac:C10007,,rdau:P60496,,,,,Published,4.4,6
14535,"has restriction on use of manifestation",rdam:restrictionOnUseOfManifestation.en,"Relates a manifestation to a limitation placed on reproduction, publication, exhibition, etc., of a manifestation.",,,,,,,,,,,"restriction on use of manifestation","A limitation placed on reproduction, publication, exhibition, etc., of a manifestation.",rdam:P30146,property,restrictionOnUseOfManifestation,rdac:C10007,,rdau:P60497,,,,,Published,4.5,6
14536,"has first alphanumeric designation of sequence",rdam:firstAlphanumericDesignationOfSequence.en,"Relates a manifestation to a designation in the form of numbers or alphabetic characters that is used to indicate the first in a sequence of numbering of the parts or iterations of a manifestation.",,"numeric and/or alphabetic designation of first issue or part of sequence",,,,,,,,,"first alphanumeric designation of sequence","A designation in the form of numbers or alphabetic characters that is used to indicate the first in a sequence of numbering of the parts or iterations of a manifestation.",rdam:P30147,property,firstAlphanumericDesignationOfSequence,rdac:C10007,,rdau:P60499,,,,,Published,2.6.2,6
14537,"has last alphanumeric designation of sequence",rdam:lastAlphanumericDesignationOfSequence.en,"Relates a manifestation to a designation in the form of numbers or alphabetic characters that is used to indicate the last in a sequence of numbering of the parts or iterations of a manifestation.",,"numeric and/or alphabetic designation of last issue or part of sequence",,,,,,,,,"last alphanumeric designation of sequence","A designation in the form of numbers or alphabetic characters that is used to indicate the last in a sequence of numbering of the parts or iterations of a manifestation.",rdam:P30148,property,lastAlphanumericDesignationOfSequence,rdac:C10007,,rdau:P60500,,,,,Published,2.6.4,6
14538,"has first chronological designation of sequence",rdam:firstChronologicalDesignationOfSequence.en,"Relates a manifestation to a designation in the form of a date or other timespan that is used to indicate the first in a sequence of numbering of the parts or iterations of a manifestation.","A designation includes a year; year and month; month, day, and year.","chronological designation of first issue or part of sequence",,,,,,,,,"first chronological designation of sequence","A designation in the form of a date or other timespan that is used to indicate the first in a sequence of numbering of the parts or iterations of a manifestation.",rdam:P30149,property,firstChronologicalDesignationOfSequence,rdac:C10007,,rdau:P60501,,,,,Published,2.6.3,6
14539,"has last chronological designation of sequence",rdam:lastChronologicalDesignationOfSequence.en,"Relates a manifestation to a designation in the form of a date or other timespan that is used to indicate the last in a sequence of numbering of the parts or iterations of a manifestation.","A designation includes a year; year and month; month, day, and year.","chronological designation of last issue or part of sequence",,,,,,,,,"last chronological designation of sequence","A designation in the form of a date or other timespan that is used to indicate the last in a sequence of numbering of the parts or iterations of a manifestation.",rdam:P30150,property,lastChronologicalDesignationOfSequence,rdac:C10007,,rdau:P60502,,,,,Published,2.6.5,6
14540,"has parallel other title information",rdam:parallelOtherTitleInformation.en,"Relates a manifestation to an other title information in another language or script.",,,,,,,,,,,"parallel other title information","An other title information in another language or script.",rdam:P30151,property,parallelOtherTitleInformation,rdac:C10007,,rdau:P60507,rdam:P30142,,,,Published,2.3.5,3
14541,"has parallel other title information of series",rdam:parallelOtherTitleInformationOfSeries.en,"Relates a manifestation to an other title information of series in another language or script.",,"parallel other title information of subseries",,,,,,,,,"parallel other title information of series","An other title information of series in another language or script.",rdam:P30152,property,parallelOtherTitleInformationOfSeries,rdac:C10007,,rdau:P60508,rdam:P30143,rdam:P30151,,,Published,2.12.5,3
14543,"has uniform resource locator",rdam:uniformResourceLocator.en,"Relates a manifestation to an address of an online resource.","A Uniform Resource Locator includes all manifestation identifiers intended to provide online access to a manifestation using a standard Internet browser.",URL,,,,,,,,,"Uniform Resource Locator","An address of an online resource.",rdam:P30154,property,uniformResourceLocator,rdac:C10007,,rdau:P60511,,,,,Published,4.6,6
14544,"has layout",rdam:layout.en,"Relates a manifestation to an arrangement of text, images, tactile notation, etc., in a manifestation.",,,,,,,,,,,layout,"An arrangement of text, images, tactile notation, etc., in a manifestation.",rdam:P30155,property,layout,rdac:C10007,,rdau:P60513,,,,,Published,3.11,4
14545,"has title proper",rdam:titleProper.en,"Relates a manifestation to title of manifestation that is selected for preference in a specific application or context.","An alternative title is treated as part of a title proper.","preferred title of manifestation","earlier title proper","later title proper",,,,,,,"title proper","A title of manifestation that is selected for preference in a specific application or context.",rdam:P30156,property,titleProper,rdac:C10007,,rdau:P60515,rdam:P30134,rdax:P00021,,,Published,2.3.2,3
14546,"has title of series",rdam:titleOfSeries.en,"Relates a manifestation to a title that identifies a series to which a manifestation belongs.",,"title proper of subseries","title proper of series",,,,,,,,"title of series","A title that identifies a series to which a manifestation belongs.",rdam:P30157,property,titleOfSeries,rdac:C10007,,rdau:P60516,rdam:P30134,,,,Published,2.12.2,3
14548,"has resolution",rdam:resolution.en,"Relates a manifestation to a clarity or fineness of detail in a digital image, expressed by the measurement of the image in pixels, etc.",,,,,,,,,,,resolution,"A clarity or fineness of detail in a digital image, expressed by the measurement of the image in pixels, etc.",rdam:P30159,property,resolution,rdac:C10007,,rdau:P60519,rdam:P30124,,,,Published,3.19.5,6
14549,"has term of availability",rdam:termOfAvailability.en,"Relates a manifestation to a condition under which the publisher, distributor, etc., will normally supply a manifestation or the price of a manifestation.",,,,,,,,,,,"term of availability","A condition under which the publisher, distributor, etc., will normally supply a manifestation or the price of a manifestation.",rdam:P30160,property,termOfAvailability,rdac:C10007,,rdau:P60521,,,,,Published,4.2,6
14550,"has track configuration",rdam:trackConfiguration.en,"Relates a manifestation to a configuration of the audio track on a soundtrack film.",,,,,,,,,,,"track configuration","A configuration of the audio track on a soundtrack film.",rdam:P30161,property,trackConfiguration,rdac:C10007,,rdau:P60522,rdam:P30125,,,,Published,3.16.6,4
14551,"has equipment or system requirement",rdam:equipmentOrSystemRequirement.en,"Relates a manifestation to a system or equipment required for use, playback, etc., of an electronic analog or digital manifestation.",,,,,,,,,,,"equipment or system requirement","A system or equipment required for use, playback, etc., of an electronic analog or digital manifestation.",rdam:P30162,property,equipmentOrSystemRequirement,rdac:C10007,,rdau:P60528,,,,,Published,3.20,6
14552,"has presentation format",rdam:presentationFormat.en,"Relates a manifestation to a format used in the production of a projected image.",,,,,,,,,,,"presentation format","A format used in the production of a projected image.",rdam:P30163,property,presentationFormat,rdac:C10007,,rdau:P60529,rdam:P30127,,,,Published,3.17.2,4
14553,"has groove characteristic",rdam:grooveCharacteristic.en,"Relates a manifestation to a groove width of an analog disc or a groove pitch of an analog cylinder.",,,,,,,,,,,"groove characteristic","A groove width of an analog disc or a groove pitch of an analog cylinder.",rdam:P30164,property,grooveCharacteristic,rdac:C10007,,rdau:P60532,rdam:P30125,,,,Published,3.16.5,5
14554,"has numbering of sequence",rdam:numberingOfSequence.en,"Relates a manifestation to the first and last designations of a sequence of manifestations of the individual parts of a manifestation or parts or issues of a work.","Numbering may include dates or other timespans, alphanumeric or other characters, and an accompanying caption.","numbering of serials",,,,,,,,,"numbering of sequence","The first and last designations of a sequence of manifestations of the individual parts of a manifestation or parts or issues of a work.",rdam:P30165,property,numberingOfSequence,rdac:C10007,,rdau:P60533,,,,,Published,2.6,6
